timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
2041516000,0,0,0,0,0
2042020000,0,0,0,0,0
2042532000,0,0,0,0,0
2043036000,0,0,0,0,0
2043540000,0,0,0,0,0
2044052000,0,0,0,0,0
2044556000,0,0,0,0,0
2045060000,0,0,0,0,0
2045564000,0,0,0,0,0
2046068000,0,0,0,0,0
2046572000,0,0,0,0,0
2047080000,0,0,0,0,0
2047584000,0,0,0,0,0
2048092000,0,0,0,0,0
2048596000,0,0,0,0,0
2049104000,0,0,0,0,0
2049608000,0,0,0,0,0
2050112000,0,0,0,0,0
2050616000,0,0,0,0,0
2051120000,0,0,0,0,0
2051624000,0,0,0,0,0
2052132000,0,0,0,0,0
2052636000,0,0,0,0,0
2053140000,0,0,0,0,0
2053644000,0,0,0,0,0
2054148000,0,0,0,0,0
2054652000,0,0,0,0,0
2055156000,0,0,0,0,0
2055660000,0,0,0,0,0
2056164000,0,0,0,0,0
2056672000,0,0,0,0,0
2057176000,0,0,0,0,0
2057684000,0,0,0,0,0
2058188000,0,0,0,0,0
2058692000,0,0,0,0,0
2059196000,0,0,0,0,0
2059700000,0,0,0,0,0
2060204000,0,0,0,0,0
2060712000,0,0,0,0,0
2061216000,0,0,0,0,0
2061720000,0,0,0,0,0
2062228000,0,0,0,0,0
2062732000,0,0,0,0,0
2063236000,0,0,0,0,0
2063740000,0,0,0,0,0
2064248000,0,0,0,0,0
2064752000,0,0,0,0,0
2065256000,0,0,0,0,0
2065760000,0,0,0,0,0
2066264000,0,0,0,0,0
2066772000,0,0,0,0,0
2067276000,0,0,0,0,0
2067780000,0,0,0,0,0
2068284000,0,0,0,0,0
2068788000,0,0,0,0,0
2069292000,0,0,0,0,0
2069796000,0,0,0,0,0
2070300000,0,0,0,0,0
2070804000,0,0,0,0,0
2071308000,0,0,0,0,0
2071812000,0,0,0,0,0
2072316000,0,0,0,0,0
2072820000,0,0,0,0,0
2073324000,0,0,0,0,0
2073828000,0,0,0,0,0
2074332000,0,0,0,0,0
2074836000,0,0,0,0,0
2075340000,0,0,0,0,0
2075844000,0,0,0,0,0
2076348000,0,0,0,0,0
2076856000,0,0,0,0,0
2077364000,0,0,0,0,0
2077872000,0,0,0,0,0
2078384000,0,0,0,0,0
2078888000,0,0,0,0,0
2079392000,0,0,0,0,0
2079896000,0,0,0,0,0
2080400000,0,0,0,0,0
2080904000,0,0,0,0,0
2081408000,0,0,0,0,0
2081912000,0,0,0,0,0
2082416000,0,0,0,0,0
2082920000,0,0,0,0,0
2083424000,0,0,0,0,0
2083928000,0,0,0,0,0
2084432000,0,0,0,0,0
2084944000,0,0,0,0,0
2085452000,0,0,0,0,0
2085956000,0,0,0,0,0
2086460000,0,0,0,0,0
2086968000,0,0,0,0,0
2087472000,0,0,0,0,0
2087980000,0,0,0,0,0
2088484000,0,0,0,0,0
2088988000,0,0,0,0,0
2089492000,0,0,0,0,0
2089996000,0,0,0,0,0
