timestamp,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
2043324000,1,0,1,0,0,0,0
2043828000,1,0,1,0,0,0,0
2044328000,1,0,1,0,0,0,0
2044832000,1,0,1,0,0,0,0
2045336000,1,0,1,0,0,0,0
2045840000,1,0,1,0,0,0,0
2046344000,1,0,1,0,0,0,0
2046852000,1,0,1,0,0,0,0
2047356000,1,0,1,0,0,0,0
2047864000,1,0,1,0,0,0,0
2048368000,1,0,1,0,0,0,0
2048876000,1,0,1,0,0,0,0
2049380000,1,0,1,0,0,0,0
2049884000,1,0,1,0,0,0,0
2050388000,1,0,1,0,0,0,0
2050892000,1,0,1,0,0,0,0
2051396000,1,0,1,0,0,0,0
2051612000,1,0,1,0,0,0,0
2052120000,1,0,1,0,0,0,0
2052624000,1,0,1,0,0,0,0
2053128000,1,0,1,0,0,0,0
2053632000,1,0,1,0,0,0,0
2054136000,1,0,1,0,0,0,0
2054640000,1,0,1,0,0,0,0
2055144000,1,0,1,0,0,0,0
2055648000,1,0,1,0,0,0,0
2056152000,1,0,1,0,0,0,0
2056660000,1,0,1,0,0,0,0
2057104000,1,0,1,0,0,0,0
2057608000,1,0,1,0,0,0,0
2058116000,1,0,1,0,0,0,0
2058620000,1,0,1,0,0,0,0
2059124000,1,0,1,0,0,0,0
2059628000,1,0,1,0,0,0,0
2060132000,1,0,1,0,0,0,0
2060640000,1,0,1,0,0,0,0
2061144000,1,0,1,0,0,0,0
2061648000,1,0,1,0,0,0,0
2062156000,1,0,1,0,0,0,0
2062660000,1,0,1,0,0,0,0
2063164000,1,0,1,0,0,0,0
2063668000,1,0,1,0,0,0,0
2064176000,1,0,1,0,0,0,0
2064548000,1,0,1,0,0,0,0
2065052000,1,0,1,0,0,0,0
2065556000,1,0,1,0,0,0,0
2066060000,1,0,1,0,0,0,0
2066564000,1,0,1,0,0,0,0
2067072000,1,0,1,0,0,0,0
2067576000,1,0,1,0,0,0,0
2068080000,1,0,1,0,0,0,0
2068584000,1,0,1,0,0,0,0
2069088000,1,0,1,0,0,0,0
2069592000,1,0,1,0,0,0,0
2070096000,1,0,1,0,0,0,0
2070600000,1,0,1,0,0,0,0
2071104000,1,0,1,0,0,0,0
2071608000,1,0,1,0,0,0,0
2072112000,1,0,1,0,0,0,0
2072616000,1,0,1,0,0,0,0
2073120000,1,0,1,0,0,0,0
2073624000,1,0,1,0,0,0,0
2073984000,1,0,1,0,0,0,0
2074488000,1,0,1,0,0,0,0
2074992000,1,0,1,0,0,0,0
2075496000,1,0,1,0,0,0,0
2076000000,1,0,1,0,0,0,0
2076508000,1,0,1,0,0,0,0
2077012000,1,0,1,0,0,0,0
2077512000,1,0,1,0,0,0,0
2078016000,1,0,1,0,0,0,0
2078516000,1,0,1,0,0,0,0
2079020000,1,0,1,0,0,0,0
2079524000,1,0,1,0,0,0,0
2080028000,1,0,1,0,0,0,0
2080532000,1,0,1,0,0,0,0
2081036000,1,0,1,0,0,0,0
2081540000,1,0,1,0,0,0,0
2081660000,1,0,1,0,0,0,0
2081672000,1,0,1,0,0,0,0
2081684000,1,0,1,0,0,0,0
2082188000,1,0,1,0,0,0,0
2082692000,1,0,1,0,0,0,0
2083196000,1,0,1,0,0,0,0
2083700000,1,0,1,0,0,0,0
2084204000,1,0,1,0,0,0,0
2084712000,1,0,1,0,0,0,0
2085212000,1,0,1,0,0,0,0
2085716000,1,0,1,0,0,0,0
2086220000,1,0,1,0,0,0,0
2086724000,1,0,1,0,0,0,0
2087232000,1,0,1,0,0,0,0
2087740000,1,0,1,0,0,0,0
2088244000,1,0,1,0,0,0,0
2088748000,1,0,1,0,0,0,0
2089252000,1,0,1,0,0,0,0
2089348000,0,0,1,0,0,0,0
2089852000,0,0,1,0,0,0,0
