timestamp,mission_id,geofence_id,home_position_counter,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
2043324000,0,0,153,-1,0,0,0,0,0,0,0,0,0,0
2051600000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2081672000,0,0,153,-1,0,0,0,0,0,0,0,0,0,0
2087336000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087384000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087432000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087488000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087536000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087584000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087632000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087688000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087736000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087740000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087792000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087840000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087896000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087944000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2087992000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088040000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088096000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088144000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088192000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088240000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088244000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088296000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088344000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088400000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088448000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088496000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088544000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088600000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088648000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088696000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088748000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088800000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088848000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088904000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2088952000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089000000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089048000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089104000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089152000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089200000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089248000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089252000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
2089304000,0,0,153,-1,0,0,0,0,0,0,1,0,0,0
