timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,delta_terrain,eph,epv,terrain_alt,lat_lon_valid,alt_valid,lat_lon_reset_counter,alt_reset_counter,terrain_reset_counter,terrain_alt_valid,dead_reckoning
2016252000,2016252000,47.397549585649394,8.546708212457515,488.05664,488.05664,-0.0,-0.0,0.48365062,0.29233354,487.958,1,1,5,5,5,0,0
2016260000,2016260000,47.397549585118334,8.546708211084619,488.05667,488.05667,-0.0,-0.0,0.484525,0.29272836,487.95792,1,1,5,5,5,0,0
2016268000,2016268000,47.397549584589,8.54670820981874,488.05667,488.05667,-0.0,-0.0,0.4854025,0.29312378,487.95782,1,1,5,5,5,0,0
2016276000,2016276000,47.397549584061906,8.546708208636081,488.05667,488.05667,-0.0,-0.0,0.48628318,0.29351982,487.95773,1,1,5,5,5,0,0
2016292000,2016292000,47.39754958281303,8.54670820617318,488.05667,488.05667,-0.0,-0.0,0.48803726,0.2932917,487.95728,1,1,5,5,5,0,0
2016300000,2016300000,47.397549582077005,8.546708204880375,488.05667,488.05667,-0.0,-0.0,0.4889272,0.29368827,487.95718,1,1,5,5,5,0,0
2016308000,2016308000,47.39754958126161,8.5467082035866,488.05667,488.05667,-0.0,-0.0,0.4898203,0.29408547,487.9571,1,1,5,5,5,0,0
2016316000,2016316000,47.39754958043442,8.546708202355449,488.05667,488.05667,-0.0,-0.0,0.4907166,0.2944833,487.957,1,1,5,5,5,0,0
2016332000,2016332000,47.39754957874639,8.546708200098704,488.0566,488.0566,-0.0,-0.0,0.49251878,0.29528087,487.95682,1,1,5,5,5,0,0
2016340000,2016340000,47.39754957782712,8.54670819906921,488.05658,488.05658,-0.0,-0.0,0.49342465,0.29568058,487.95673,1,1,5,5,5,0,0
2016348000,2016348000,47.397549576867355,8.546708198058287,488.05655,488.05655,-0.0,-0.0,0.49433377,0.29608095,487.95667,1,1,5,5,5,0,0
2016356000,2016356000,47.397549575876816,8.546708197044262,488.05652,488.05652,-0.0,-0.0,0.49522495,0.2954343,487.95685,1,1,5,5,5,0,0
2016372000,2016372000,47.39754957386078,8.546708195170874,488.05643,488.05643,-0.0,-0.0,0.49705872,0.2962353,487.95673,1,1,5,5,5,0,0
2016380000,2016380000,47.39754957278155,8.546708194277667,488.0564,488.0564,-0.0,-0.0,0.4979804,0.29663673,487.95667,1,1,5,5,5,0,0
2016388000,2016388000,47.39754957162861,8.546708193381129,488.05634,488.05634,-0.0,-0.0,0.4989053,0.29703882,487.9566,1,1,5,5,5,0,0
2016396000,2016396000,47.39754957042801,8.546708192478592,488.0563,488.0563,-0.0,-0.0,0.49983346,0.2974415,487.95654,1,1,5,5,5,0,0
2016412000,2016412000,47.39754957004293,8.546708190019377,488.05637,488.05637,-0.0,-0.0,0.45887452,0.2841893,487.96075,1,1,5,5,5,0,0
2016420000,2016420000,47.397549570802596,8.546708188444347,488.05646,488.05646,-0.0,-0.0,0.45965752,0.28456962,487.9607,1,1,5,5,5,0,0
2016428000,2016428000,47.39754957153289,8.54670818700285,488.05655,488.05655,-0.0,-0.0,0.460433,0.2840201,487.96097,1,1,5,5,5,0,0
2016436000,2016436000,47.39754957219218,8.54670818567696,488.05664,488.05664,-0.0,-0.0,0.46122184,0.28440043,487.9609,1,1,5,5,5,0,0
2016452000,2016452000,47.39754957316068,8.546708183325766,488.0568,488.0568,-0.0,-0.0,0.4628085,0.28516304,487.9608,1,1,5,5,5,0,0
2016460000,2016460000,47.39754957350576,8.546708182254772,488.05685,488.05685,-0.0,-0.0,0.46360633,0.28554532,487.96072,1,1,5,5,5,0,0
2016468000,2016468000,47.39754957379132,8.546708181303508,488.05692,488.05692,-0.0,-0.0,0.46440718,0.2859282,487.96066,1,1,5,5,5,0,0
2016476000,2016476000,47.39754957401449,8.546708180453622,488.057,488.057,-0.0,-0.0,0.465211,0.28631175,487.9606,1,1,5,5,5,0,0
2016492000,2016492000,47.3975495743267,8.546708178960715,488.05713,488.05713,-0.0,-0.0,0.46682778,0.28708076,487.96045,1,1,5,5,5,0,0
2016500000,2016500000,47.397549574418846,8.546708178247824,488.05716,488.05716,-0.0,-0.0,0.4676287,0.28651097,487.95975,1,1,5,5,5,0,0
2016508000,2016508000,47.39754957448471,8.546708177590164,488.0572,488.0572,-0.0,-0.0,0.46844447,0.28689578,487.95966,1,1,5,5,5,0,0
2016516000,2016516000,47.39754957454839,8.546708176976193,488.05722,488.05722,-0.0,-0.0,0.46926332,0.28728124,487.95956,1,1,5,5,5,0,0
2016532000,2016532000,47.39754957458924,8.546708175952144,488.0573,488.0573,-0.0,-0.0,0.47091016,0.28805408,487.95938,1,1,5,5,5,0,0
2016540000,2016540000,47.39754957457265,8.546708175591053,488.05734,488.05734,-0.0,-0.0,0.47173813,0.28844145,487.9593,1,1,5,5,5,0,0
2016548000,2016548000,47.39754957446685,8.54670817529905,488.05737,488.05737,-0.0,-0.0,0.4725692,0.28882948,487.9592,1,1,5,5,5,0,0
2016556000,2016556000,47.39754957433894,8.546708175038265,488.05743,488.05743,-0.0,-0.0,0.47340152,0.28921813,487.9591,1,1,5,5,5,0,0
2016572000,2016572000,47.39754957397334,8.546708174606675,488.05753,488.05753,-0.0,-0.0,0.47506535,0.28901675,487.95895,1,1,5,5,5,0,0
