timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
2016668000,0,0,0,1,0
2018692000,0,0,0,1,0
2020708000,0,0,0,1,0
2022724000,0,0,0,1,0
2024756000,0,0,0,1,0
2026772000,0,0,0,1,0
2028788000,0,0,0,1,0
2030796000,0,0,0,1,0
2032812000,0,0,0,1,0
2034828000,0,0,0,1,0
2036844000,0,0,0,1,0
2038860000,0,0,0,1,0
2040876000,0,0,0,1,0
2042900000,0,0,0,1,0
2044916000,0,0,0,1,0
2046932000,0,0,0,1,0
2048948000,0,0,0,1,0
2050964000,0,0,0,1,0
2052980000,0,0,0,1,0
2054996000,0,0,0,1,0
2057012000,0,0,0,1,0
2059028000,0,0,0,1,0
2061036000,0,0,0,1,0
2063052000,0,0,0,1,0
2065068000,0,0,0,1,0
2067084000,0,0,0,1,0
2069100000,0,0,0,1,0
