timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
2016708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0815585,0.010592092,1.0618132e-10,0.010917559,-0.013215823,-9.79238,-0.00221575,-0.0008309064,-0.0025353292,0.0055578863,0.004466398,0.004202446,0.00012316425,8.135203e-05,6.419309e-05,11.832729,11.832729
2017708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07945062,0.010327547,1.7131087e-10,0.0026815059,-0.040701255,-9.821686,-0.0020453075,0.0038988679,-0.002300971,0.0032761064,0.002933932,0.0051774,0.00010670983,0.00014683028,5.6354533e-05,11.832729,11.832729
2018708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08114412,0.0106021045,1.1767635e-10,0.042904094,-0.005745914,-9.7891245,-0.005901565,-0.0019813918,-0.0048363004,0.004387962,0.0033103465,0.004567969,5.456252e-05,8.516871e-05,5.9669066e-05,11.832729,11.832729
2019708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.079217404,0.011075845,2.011802e-10,0.012258314,0.017142655,-9.799085,-0.0007456852,0.002130529,-0.00080960087,0.0020651787,0.006869414,0.0035638623,0.00014038279,4.962335e-05,0.00017275073,11.832729,11.832729
2020708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08091607,0.0107969055,1.1180871e-09,-0.009385269,0.009002376,-10.15697,-0.11779694,0.007542073,-0.0006604638,0.004166317,0.0058536674,0.014971408,0.0013605091,0.00014900434,8.121491e-05,11.832703,11.832703
2021708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08304861,0.011267135,3.0815023e-10,0.031124622,0.048075747,-10.001443,0.021965753,-0.018258633,-0.0043462794,0.0043082274,0.003500904,0.004877555,9.0860616e-05,8.143336e-05,5.602261e-05,11.830116,11.830116
2022708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08481403,0.0110749705,1.2929276e-10,0.03380613,-0.04951192,-9.802436,-0.0073503247,0.0019174763,-0.0033662356,0.004853417,0.007422113,0.005301978,0.00012239166,7.506152e-05,4.644878e-05,11.825077,11.825077
2023708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08231757,0.011387466,2.1363579e-10,0.019057846,-0.045010824,-9.611762,-0.011888351,-0.0021731395,0.0008309063,0.010595249,0.0079090055,0.005923284,6.921547e-05,0.00016272203,6.823104e-05,11.820232,11.820232
2024708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07492925,0.011001826,1.2585574e-10,0.0023942022,-0.029879471,-9.487455,-0.0083303675,0.0020879183,0.0020453078,0.0026769382,0.0014684564,0.019038409,0.00015137321,4.1677937e-05,8.448689e-05,11.81687,11.81687
2025708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08622528,0.010990082,1.784111e-10,-0.02288857,0.005458951,-9.763171,-0.002876214,-0.010013486,0.00042610563,0.004871932,0.013424588,0.0059126355,7.3075644e-05,0.00010373857,7.246097e-05,11.815597,11.815597
