timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
2043324000,-0.004819624,0,0,0,0,0,0,0,0,0
2043828000,-0.00558742,0,0,0,0,0,0,0,0,0
2044328000,-0.005575649,0,0,0,0,0,0,0,0,0
2044832000,-0.0052578966,0,0,0,0,0,0,0,0,0
2045336000,-0.004586016,0,0,0,0,0,0,0,0,0
2045840000,-0.004026614,0,0,0,0,0,0,0,0,0
2046344000,-0.003350213,0,0,0,0,0,0,0,0,0
2046852000,-0.002527432,0,0,0,0,0,0,0,0,0
2047356000,-0.0021537922,0,0,0,0,0,0,0,0,0
2047864000,-0.002237342,0,0,0,0,0,0,0,0,0
2048368000,-0.0051862407,0,0,0,0,0,0,0,0,0
2048876000,-0.006593716,0,0,0,0,0,0,0,0,0
2049380000,-0.008919959,0,0,0,0,0,0,0,0,0
2049884000,-0.008486453,0,0,0,0,0,0,0,0,0
2050388000,-0.008207307,0,0,0,0,0,0,0,0,0
2050892000,-0.0074860584,0,0,0,0,0,0,0,0,0
2051396000,-0.0062661218,0,0,0,0,0,0,0,0,0
2051612000,-0.0063586957,0,0,0,0,0,0,0,0,0
2052120000,-0.011657271,0,0,0,0,0,0,0,0,0
2052624000,-0.016733406,0,0,0,0,0,0,0,0,0
2053128000,-0.016302424,0,0,0,0,0,0,0,0,0
2053632000,-0.01487942,0,0,0,0,0,0,0,0,0
2054136000,-0.01406372,0,0,0,0,0,0,0,0,0
2054640000,-0.0133896135,0,0,0,0,0,0,0,0,0
2055144000,-0.0120504685,0,0,0,0,0,0,0,0,0
2055648000,-0.011569838,0,0,0,0,0,0,0,0,0
2056152000,-0.0110557955,0,0,0,0,0,0,0,0,0
2056660000,-0.009585302,0,0,0,0,0,0,0,0,0
2057104000,-0.0077198623,0,0,0,0,0,0,0,0,0
2057612000,-0.0066196728,0,0,0,0,0,0,0,0,0
2058116000,-0.0067947377,0,0,0,0,0,0,0,0,0
2058620000,-0.0057607866,0,0,0,0,0,0,0,0,0
2059124000,-0.0049536335,0,0,0,0,0,0,0,0,0
2059628000,-0.0049001556,0,0,0,0,0,0,0,0,0
2060132000,-0.0047084107,0,0,0,0,0,0,0,0,0
2060640000,-0.0032917801,0,0,0,0,0,0,0,0,0
