timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
2045128000,0,0,0,1,0
2047152000,0,0,0,1,0
2049176000,0,0,0,1,0
2051192000,0,0,0,1,0
2053232000,0,0,0,1,0
2055248000,0,0,0,1,0
2057256000,0,0,0,1,0
2059280000,0,0,0,1,0
2061296000,0,0,0,1,0
2063320000,0,0,0,1,0
2065352000,0,0,0,1,0
2067376000,0,0,0,1,0
2069392000,0,0,0,1,0
2071408000,0,0,0,1,0
2073424000,0,0,0,1,0
2075448000,0,0,0,1,0
2077464000,0,0,0,1,0
2079472000,0,0,0,1,0
2081488000,0,0,0,1,0
2083496000,0,0,0,1,0
2085512000,0,0,0,1,0
2087536000,0,0,0,1,0
2089552000,0,0,0,1,0
