timestamp,time_estimate,safe_time_estimate,valid
2043096000,0.0,0.0,0
2045128000,0.0,0.0,0
2047152000,0.032782435,100.036064,1
2049176000,0.31105343,100.342155,1
2051192000,1.3216255,101.45379,1
2053232000,1.7820814,101.96029,1
2055248000,1.9279203,102.12071,1
2057256000,1.9834155,102.181755,1
2059280000,3.7668862,104.14358,1
2061296000,31.685389,134.85393,1
2063320000,33.137924,136.45172,1
2065352000,33.64277,137.00705,1
2067376000,33.030117,136.33313,1
2069392000,32.490562,135.73962,1
2071408000,32.707886,135.97867,1
2073424000,32.861652,136.14783,1
2075448000,32.77273,136.05,1
2077464000,31.68992,134.85892,1
2079472000,31.3926,134.53186,1
2081488000,31.340715,134.4748,1
2083496000,31.645609,134.81017,1
2085512000,32.111153,135.32227,1
2087536000,0.0,0.0,0
2089552000,0.0,0.0,0
