timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
5004000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.0005518,nan
5028000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.0005002854,nan
5204000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,0.0005673617,nan
5404000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-2.4269462e-05,nan
5604000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.0015619842,nan
5804000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.0019223683,nan
6004000,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,1.5865837,nan
6204000,0.010709579,0.0009546964,0.0054284185,-0.0005119059,-0.0005119059,0.6994881,-0.06399412,-0.06399412,-0.06399412,-4.0,-4.0,-4.0,1.5851012,-0.001481365
6404000,0.0102187265,0.003951317,0.0036881096,-0.00051183207,-0.00051183207,0.69948816,-0.063989505,-0.063989505,-0.063989505,-4.0,-4.0,-4.0,1.5852176,0.005585054
6604000,0.01001958,0.008009513,0.00054476917,-0.00051182933,-0.00051182933,0.69948816,-0.063989334,-0.063989334,-0.063989334,-4.0,-4.0,-4.0,1.5868726,-0.0007353432
6804000,0.010252748,0.012387017,-0.0029646351,-0.0005118401,-0.0005118401,0.69948816,-0.063990004,-0.063990004,-0.063990004,-4.0,-4.0,-4.0,1.586862,0.005585054
7004000,0.009849568,0.01387369,-0.00485546,-0.0005119558,-0.0005119558,0.69948804,-0.06399724,-0.06399724,-0.06399724,-4.0,-4.0,-4.0,1.5870559,-0.005585054
7204000,0.008832628,0.014253737,-0.007419178,-0.00051193376,-0.00051193376,0.69948804,-0.06399586,-0.06399586,-0.06399586,-4.0,-4.0,-4.0,1.5866299,0.005585054
7404000,0.0067734816,0.012734842,-0.008640722,-0.00051185675,-0.00051185675,0.6994881,-0.06399105,-0.06399105,-0.06399105,-4.0,-4.0,-4.0,1.5858573,0.004316341
7604000,0.004089553,0.01111509,-0.009952766,-0.0005118762,-0.0005118762,0.6994881,-0.06399226,-0.06399226,-0.06399226,-4.0,-4.0,-4.0,1.5850648,-0.005585054
7804000,0.0023698031,0.011357601,-0.010684799,-0.0005119117,-0.0005119117,0.6994881,-0.06399448,-0.06399448,-0.06399448,-4.0,-4.0,-4.0,1.5836865,-0.0029533324
8004000,0.0005270151,0.013514922,-0.011753398,-0.0005118675,-0.0005118675,0.6994881,-0.06399172,-0.06399172,-0.06399172,-4.0,-4.0,-4.0,1.5837946,0.00029891566
8204000,0.0013018646,0.0133110285,-0.011050687,-0.00051194127,-0.00051194127,0.69948804,-0.06399633,-0.06399633,-0.06399633,-4.0,-4.0,-4.0,1.583015,0.0
8404000,0.0018238649,0.01277232,-0.010989194,-0.00051198323,-0.00051198323,0.699488,-0.06399895,-0.06399895,-0.06399895,-4.0,-4.0,-4.0,1.5832101,0.00017021084
8604000,0.0015912871,0.00849971,-0.00916057,-0.0005117608,-0.0005117608,0.6994882,-0.06398505,-0.06398505,-0.06398505,-4.0,-4.0,-4.0,1.5822959,-0.005585054
