timestamp,time_estimate,safe_time_estimate,valid
0,0.0,0.0,0
0,0.0,0.0,0
7820000,0.0,0.0,0
9844000,0.0,0.0,0
11868000,0.0,0.0,0
13876000,0.0,0.0,0
15892000,0.0,0.0,0
17900000,0.0,0.0,0
19924000,0.003478976,100.00383,1
21948000,0.04383602,100.04822,1
23972000,0.43716192,100.48088,1
25996000,1.4405298,101.58458,1
28028000,1.834899,102.01839,1
30044000,3.586432,103.945076,1
32076000,31.462563,134.60883,1
34100000,33.35058,136.68564,1
36108000,35.27039,138.79742,1
38132000,37.2519,140.97708,1
40156000,39.27371,143.20108,1
42172000,40.397453,144.4372,1
44196000,40.14589,144.16048,1
46220000,40.23799,144.2618,1
48236000,40.401917,144.44211,1
50284000,40.19604,144.21564,1
52304000,38.714935,142.58643,1
54332000,36.883266,140.5716,1
56356000,35.24633,138.77097,1
58388000,34.49423,137.94365,1
60404000,34.52729,137.98001,1
62428000,34.96732,138.46405,1
64444000,35.167263,138.68399,1
66468000,0.0,0.0,0
