timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
4060000,3906000,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
4460000,4306000,0.0,0.0005981446,0.00040000002,0,0,0,0,0,0,0,0,0,0,0,0
4860000,4706000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
5260000,5106000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
5660000,5506000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
6060000,5906000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
6468000,6310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
6860000,6706000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
7260000,7106000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
7660000,7506000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
8060000,7906000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
8460000,8306000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
8860000,8706000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
9260000,9106000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
9660000,9506000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
10060000,9906000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
10460000,10306000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
10860000,10706000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
11260000,11106000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
11660000,11506000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
12060000,11906000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
12268000,12110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
12660000,12506000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
13060000,12906000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
13460000,13302000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
