timestamp,lat,lon,alt,x,y,z,roll,pitch,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
3984000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,0,0
3996000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,0,0
4008000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1,0,0
4020000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,9,1,1,0,0
4032000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1,0,0
4044000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,0,0
4056000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,12,1,1,0,0
4068000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,13,1,1,0,0
4080000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,0,0
4092000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,15,1,1,0,0
4104000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,16,1,1,0,0
4116000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,17,1,1,0,0
4128000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,18,1,1,0,0
4140000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,19,1,1,0,0
4152000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,0,0
4164000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,0,0
4176000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1,0,0
4188000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,23,1,1,0,0
4200000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,24,1,1,0,0
4212000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,25,1,1,0,0
4224000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,26,1,1,0,0
4236000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,27,1,1,0,0
4248000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,0,0
4260000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,29,1,1,0,0
4272000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1,0,0
4284000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,31,1,1,0,0
4296000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,32,1,1,0,0
4308000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,33,1,1,0,0
4320000,47.3977508,8.5456074,488.104,0.0,0.0,0.0,0.0,0.0,0.0,34,1,1,0,0
4332000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,35,1,1,0,0
4344000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,36,1,1,0,0
4356000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,37,1,1,0,0
4368000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,38,1,1,0,0
4380000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,39,1,1,0,0
4392000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,40,1,1,0,0
4404000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,41,1,1,0,0
4416000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,42,1,1,0,0
4428000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,43,1,1,0,0
4440000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,44,1,1,0,0
4452000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,45,1,1,0,0
4464000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,46,1,1,0,0
4476000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,47,1,1,0,0
4488000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,48,1,1,0,0
4500000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,49,1,1,0,0
4512000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,50,1,1,0,0
4524000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,51,1,1,0,0
4536000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,52,1,1,0,0
4548000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,53,1,1,0,0
4560000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,54,1,1,0,0
4572000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,55,1,1,0,0
4584000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,56,1,1,0,0
4596000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,57,1,1,0,0
4608000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,58,1,1,0,0
4620000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,59,1,1,0,0
4632000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,60,1,1,0,0
4644000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,61,1,1,0,0
4656000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,62,1,1,0,0
4668000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,63,1,1,0,0
4680000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,64,1,1,0,0
4692000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,65,1,1,0,0
4704000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,66,1,1,0,0
4716000,47.3977508,8.5456074,488.11,0.0,0.0,0.0,0.0,0.0,0.0,67,1,1,0,0
4728000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,68,1,1,0,0
4740000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,69,1,1,0,0
4752000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,70,1,1,0,0
4764000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,71,1,1,0,0
4776000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,72,1,1,0,0
4788000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,73,1,1,0,0
4800000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,74,1,1,0,0
4812000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,75,1,1,0,0
4824000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,76,1,1,0,0
4836000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,77,1,1,0,0
4848000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,78,1,1,0,0
4860000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,79,1,1,0,0
4872000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,80,1,1,0,0
4884000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,81,1,1,0,0
4896000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,82,1,1,0,0
4908000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,83,1,1,0,0
4920000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,84,1,1,0,0
4932000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,85,1,1,0,0
4944000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,86,1,1,0,0
4956000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,87,1,1,0,0
4968000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,88,1,1,0,0
4980000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,89,1,1,0,0
4992000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,90,1,1,0,0
5004000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,0.0,0.0,91,1,1,0,0
