timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
5780000,0,0,0,1,0
7820000,0,0,0,1,0
9844000,0,0,0,1,0
11868000,0,0,0,1,0
13876000,0,0,0,1,0
15892000,0,0,0,1,0
17900000,0,0,0,1,0
19924000,0,0,0,1,0
21948000,0,0,0,1,0
23972000,0,0,0,1,0
25996000,0,0,0,1,0
28028000,0,0,0,1,0
30044000,0,0,0,1,0
32076000,0,0,0,1,0
34100000,0,0,0,1,0
36108000,0,0,0,1,0
38132000,0,0,0,1,0
40156000,0,0,0,1,0
42172000,0,0,0,1,0
44196000,0,0,0,1,0
46220000,0,0,0,1,0
48236000,0,0,0,1,0
50284000,0,0,0,1,0
52304000,0,0,0,1,0
54332000,0,0,0,1,0
56356000,0,0,0,1,0
58388000,0,0,0,1,0
60404000,0,0,0,1,0
62428000,0,0,0,1,0
64444000,0,0,0,1,0
66468000,0,0,0,1,0
