timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
4044000,3892000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075,0.007500001,0.0075000008,1.0110238,1.0110242,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4060000,3908000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075,0.007500001,0.0075000008,1.0111288,1.0111291,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4068000,3916000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.0111831,1.0111836,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4076000,3924000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.0112389,1.0112393,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4084000,3932000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.0112958,1.0112963,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4100000,3948000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.0114132,1.0114136,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4108000,3956000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.22354,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.011474,1.0114744,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4116000,3964000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.0115361,1.0115365,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4124000,3972000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075000003,1.0115994,1.0115999,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4140000,3988000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0117301,1.0117306,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4148000,3996000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0117973,1.0117977,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4156000,4004000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0118657,1.0118662,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4164000,4012000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0119356,1.0119361,1.0000012,0.0,0.0,0.0,0.0,0.0,0.0
4180000,4028000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.663548,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0120789,1.0120794,1.0000012,0.0,0.0,0.0,0.0,0.0,0.0
4188000,4036000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.007065,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0121526,1.012153,1.0000012,0.0,0.0,0.0,0.0,0.0,0.0
4196000,4044000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.007065,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0122274,1.0122279,1.0000012,0.0,0.0,0.0,0.0,0.0,0.0
4204000,4052000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.007065,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.007500001,0.0075000003,1.0123036,1.0123041,1.0000012,0.0,0.0,0.0,0.0,0.0,0.0
4220000,4068000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.007065,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.007500001,1.0124598,1.0124602,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4228000,4076000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.007065,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.007500001,1.0125397,1.0125403,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
4236000,4084000,25.200663,25.200663,10.207127,103.692375,103.692375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.007065,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.007500001,1.012621,1.0126216,1.0000013,0.0,0.0,0.0,0.0,0.0,0.0
