timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3888000,0,0.70711,7.217292e-05,7.245941e-05,0.70711005,0.0,0.0,0.0,0.0,0
3892000,0,0.70711,7.226111e-05,7.254759e-05,0.70711005,0.0,0.0,0.0,0.0,0
3900000,0,0.70711,7.243748e-05,7.272396e-05,0.70711005,0.0,0.0,0.0,0.0,0
3908000,0,0.70711,7.2613846e-05,7.290033e-05,0.70711005,0.0,0.0,0.0,0.0,0
3920000,0,0.70711,7.28784e-05,7.316488e-05,0.70711005,0.0,0.0,0.0,0.0,0
3928000,0,0.70711,7.305477e-05,7.334125e-05,0.70711005,0.0,0.0,0.0,0.0,0
3940000,0,0.70711,7.331932e-05,7.360581e-05,0.70711005,0.0,0.0,0.0,0.0,0
3948000,0,0.70711,7.349569e-05,7.378218e-05,0.70711005,0.0,0.0,0.0,0.0,0
3960000,0,0.70711,7.3760246e-05,7.404674e-05,0.70711005,0.0,0.0,0.0,0.0,0
3968000,0,0.70711,7.3936615e-05,7.4223106e-05,0.70711005,0.0,0.0,0.0,0.0,0
3980000,0,0.70711,7.420117e-05,7.448766e-05,0.70711005,0.0,0.0,0.0,0.0,0
3988000,0,0.70711,7.437754e-05,7.466403e-05,0.70711005,0.0,0.0,0.0,0.0,0
4000000,0,0.70711,7.46421e-05,7.492858e-05,0.70711005,0.0,0.0,0.0,0.0,0
4008000,0,0.70711,7.481847e-05,7.510495e-05,0.70711005,0.0,0.0,0.0,0.0,0
4020000,0,0.70711,7.508302e-05,7.5369506e-05,0.70711005,0.0,0.0,0.0,0.0,0
4028000,0,0.70711,7.525939e-05,7.5545875e-05,0.70711005,0.0,0.0,0.0,0.0,0
4040000,0,0.70711,7.5523945e-05,7.581043e-05,0.70711005,0.0,0.0,0.0,0.0,0
4048000,0,0.70711,7.5700314e-05,7.59868e-05,0.70711005,0.0,0.0,0.0,0.0,0
4060000,0,0.70711,7.596487e-05,7.625135e-05,0.70711005,0.0,0.0,0.0,0.0,0
4068000,0,0.70711,7.614124e-05,7.642773e-05,0.70711005,0.0,0.0,0.0,0.0,0
4080000,0,0.70711,7.640579e-05,7.669228e-05,0.70711005,0.0,0.0,0.0,0.0,0
4088000,0,0.70711,7.658216e-05,7.686865e-05,0.70711005,0.0,0.0,0.0,0.0,0
4100000,0,0.70711,7.684672e-05,7.7133205e-05,0.70711005,0.0,0.0,0.0,0.0,0
4108000,0,0.70711,7.702309e-05,7.7309574e-05,0.70711005,0.0,0.0,0.0,0.0,0
