timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
30268000,30268000,0.69732493,1.0853426e-05,0.058860675,1.0020673,0.00038415904,1.0,1
30372000,30372000,0.69723827,1.0599591e-05,0.053377174,1.0020463,0.0003159227,1.0,1
30460000,30460000,0.6971435,1.03753855e-05,-0.07717194,1.0020083,0.0006603968,1.0,1
30564000,30564000,0.6971286,1.0159923e-05,0.06775832,1.0019926,0.0005091178,1.0,1
30668000,30668000,0.697126,9.913336e-06,0.05211904,1.0019547,0.00030123274,1.0,1
30764000,30764000,0.69711524,9.733636e-06,-0.013989873,1.0019162,2.1704695e-05,1.0,1
30868000,30868000,0.69722223,9.502784e-06,0.0915543,1.0019261,0.000929564,1.0,1
30972000,30972000,0.6972082,9.297972e-06,-0.058140554,1.0018998,0.00037487934,1.0,1
31068000,31068000,0.69722706,9.100955e-06,0.00945729,1.0018542,9.919423e-06,1.0,1
31172000,31172000,0.69728357,8.929658e-06,-0.029221974,1.00182,9.470806e-05,1.0,1
31268000,31268000,0.6972916,8.749717e-06,-0.00930538,1.0017667,9.604156e-06,1.0,1
31372000,31372000,0.6974052,8.578648e-06,-0.07052162,1.0017378,0.00055163016,1.0,1
31468000,31468000,0.69745183,8.413947e-06,-0.04561419,1.0016934,0.00023079298,1.0,1
31572000,31572000,0.69759816,8.24321e-06,-0.3119045,1.0016649,0.010791413,1.0,1
31668000,31668000,0.6976915,8.091894e-06,-0.037126698,1.0016286,0.00015290559,1.0,1
31764000,31764000,0.69779474,7.946462e-06,-0.08248513,1.0016031,0.00075476745,1.0,1
31868000,31868000,0.6978248,7.7953555e-06,0.010858312,1.0015624,1.3079892e-05,1.0,1
31972000,31972000,0.69789904,7.662329e-06,-0.07972997,1.0015409,0.0007052319,1.0,1
32068000,32068000,0.69798815,7.533459e-06,-0.073167644,1.0015084,0.00059393793,1.0,1
32164000,32164000,0.6980384,7.4201807e-06,-0.03115486,1.0014874,0.00010768708,1.0,1
32268000,32268000,0.69811493,7.3007977e-06,-0.014736228,1.0014604,2.4093304e-05,1.0,1
32372000,32372000,0.69817203,7.185638e-06,-0.010051288,1.0014409,1.1209225e-05,1.0,1
32468000,32468000,0.6982344,7.0738015e-06,-0.019663507,1.0014108,4.2900978e-05,1.0,1
32572000,32572000,0.6982755,6.9762e-06,-0.026492719,1.0013964,7.787616e-05,1.0,1
32668000,32668000,0.69833696,6.871301e-06,0.020051636,1.0013703,4.46131e-05,1.0,1
32772000,32772000,0.69841677,6.77063e-06,-0.110609956,1.0013566,0.0013575542,1.0,1
32868000,32868000,0.6984606,6.6723355e-06,-0.01872799,1.0013286,3.8919137e-05,1.0,1
32972000,32972000,0.6985133,6.5781323e-06,-0.13356546,1.0013139,0.0019795913,1.0,1
33068000,33068000,0.69855106,6.4946394e-06,-0.0022010002,1.0012875,5.375748e-07,1.0,1
33164000,33164000,0.6986107,6.4054643e-06,-0.14574927,1.0012711,0.0023573202,1.0,1
33268000,33268000,0.69869304,6.3119132e-06,-0.06817827,1.0012507,0.00051582995,1.0,1
33372000,33372000,0.6988048,6.2289823e-06,-0.23847547,1.0012422,0.0063111107,1.0,1
33468000,33468000,0.6988261,6.1475307e-06,0.054227665,1.0012193,0.00032633985,1.0,1
33564000,33564000,0.6988381,6.068794e-06,-0.11969405,1.0012015,0.0015899413,1.0,1
33668000,33668000,0.69888365,5.9860686e-06,0.08441248,1.0011842,0.00079078204,1.0,1
33772000,33772000,0.6989103,5.9059994e-06,-0.028946944,1.0011709,9.299395e-05,1.0,1
33860000,33860000,0.69894236,5.8468445e-06,-0.010463227,1.0011563,1.2150296e-05,1.0,1
33972000,33972000,0.69899505,5.7717584e-06,-0.038301066,1.0011449,0.00016281045,1.0,1
34068000,34068000,0.69900346,5.7036773e-06,-0.04790183,1.001125,0.00025466745,1.0,1
34172000,34172000,0.6990446,5.64446e-06,-0.07293523,1.0011208,0.00059039914,1.0,1
34268000,34268000,0.6991188,5.5856494e-06,-0.068269715,1.0011076,0.00051728863,1.0,1
34364000,34364000,0.69914263,5.5221185e-06,0.060711987,1.0010961,0.00040910108,1.0,1
34468000,34468000,0.69917464,5.46115e-06,-0.03112245,1.0010799,0.000107506894,1.0,1
34572000,34572000,0.69922435,5.3959984e-06,-0.03895677,1.0010722,0.00016844494,1.0,1
34668000,34668000,0.69922245,5.3488525e-06,0.032596353,1.0010555,0.00011793355,1.0,1
34772000,34772000,0.6992602,5.2869295e-06,0.028984219,1.0010483,9.324502e-05,1.0,1
34868000,34868000,0.6992603,5.2367386e-06,0.04098636,1.0010312,0.00018646124,1.0,1
34964000,34964000,0.6992884,5.187709e-06,-0.16565076,1.0010232,0.0030457918,1.0,1
35068000,35068000,0.6993399,5.140535e-06,-0.021750748,1.0010145,5.251284e-05,1.0,1
35164000,35164000,0.699384,5.0934723e-06,-0.080776244,1.0010089,0.0007242473,1.0,1
35268000,35268000,0.6993846,5.043272e-06,0.024643335,1.0009948,6.741005e-05,1.0,1
35372000,35372000,0.6994017,4.989485e-06,-0.16421098,1.0009862,0.0029931862,1.0,1
35468000,35468000,0.69944227,4.945847e-06,-0.084155284,1.0009749,0.0007861349,1.0,1
35572000,35572000,0.69947433,4.903872e-06,-0.010094909,1.0009725,1.13120195e-05,1.0,1
35668000,35668000,0.699484,4.8572865e-06,0.17528906,1.0009588,0.0034107582,1.0,1
35772000,35772000,0.6995192,4.8126485e-06,-0.093452655,1.0009549,0.0009694519,1.0,1
35868000,35868000,0.69956285,4.7725107e-06,-0.070436984,1.0009443,0.00055074313,1.0,1
35972000,35972000,0.699578,4.7296007e-06,-0.0009471737,1.0009384,9.958854e-08,1.0,1
36068000,36068000,0.6996054,4.6956247e-06,0.03142356,1.0009284,0.00010961381,1.0,1
36172000,36172000,0.69963187,4.658671e-06,-0.004064262,1.0009264,1.8336597e-06,1.0,1
36268000,36268000,0.6996516,4.6217115e-06,-0.06297326,1.0009135,0.00044022358,1.0,1
36364000,36364000,0.69968295,4.5896563e-06,-0.15045425,1.0009098,0.0025128785,1.0,1
36468000,36468000,0.6996914,4.546656e-06,0.106141105,1.000899,0.0012506462,1.0,1
36564000,36564000,0.6997135,4.5119477e-06,0.060144097,1.0008932,0.00040156487,1.0,1
