timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
3888000,0.0,0.0,0.0
3892000,0.0,0.0,0.0
4088000,0.0,0.0,0.0
4288000,0.0,0.0,0.0
4488000,0.0,0.0,0.0
4688000,0.0,0.0,0.0
4888000,0.0,0.0,0.0
5088000,0.0,0.0,0.0
5288000,0.0,0.0,0.0
5488000,0.0,0.0,0.0
5688000,0.0,0.0,0.0
5888000,0.0,0.0,0.0
6088000,0.0,0.0,0.0
6288000,0.0,0.0,0.0
6488000,0.0,0.0,0.0
6688000,0.0,0.0,0.0
6888000,0.0,0.0,0.0
7088000,0.0,0.0,0.0
7288000,0.0,0.0,0.0
7488000,0.0,0.0,0.0
7684000,0.0,0.0,0.0
7888000,0.0,0.0,0.0
8088000,0.0,0.0,0.0
8288000,0.0,0.0,0.0
8488000,0.0,0.0,0.0
8688000,0.0,0.0,0.0
8888000,0.0,0.0,0.0
9088000,0.0,0.0,0.0
9288000,0.0,0.0,0.0
9488000,0.0,0.0,0.0
9688000,0.0,0.0,0.0
9888000,0.0,0.0,0.0
10088000,0.0,0.0,0.0
10288000,0.0,0.0,0.0
10488000,0.0,0.0,0.0
10688000,0.0,0.0,0.0
10888000,0.0,0.0,0.0
11084000,0.0,0.0,0.0
11288000,0.0,0.0,0.0
11488000,0.0,0.0,0.0
11688000,0.0,0.0,0.0
11888000,0.0,0.0,0.0
12088000,0.0,0.0,0.0
12288000,0.0,0.0,0.0
12488000,0.0,0.0,0.0
12688000,0.0,0.0,0.0
12888000,0.0,0.0,0.0
13088000,0.0,0.0,0.0
13288000,0.0,0.0,0.0
13484000,0.0,0.0,0.0
13688000,0.0,0.0,0.0
13888000,0.0,0.0,0.0
14088000,0.0,0.0,0.0
14288000,0.0,0.0,0.0
14488000,0.0,0.0,0.0
14688000,0.0,0.0,0.0
14888000,0.0,0.0,0.0
15088000,0.0,0.0,0.0
15288000,0.0,0.0,0.0
15488000,0.0,0.0,0.0
15688000,0.0,0.0,0.0
15884000,0.0,0.0,0.0
16088000,0.0,0.0,0.0
16288000,0.0,0.0,0.0
16488000,0.0,0.0,0.0
16688000,0.0,0.0,0.0
16888000,0.0,0.0,0.0
17088000,0.0,0.0,0.0
17288000,0.0,0.0,0.0
17488000,0.0,0.0,0.0
17688000,0.0,0.0,0.0
17888000,0.0,0.0,0.0
18088000,0.0,0.0,0.0
18288000,0.0,0.0,0.0
18484000,0.0,0.0,0.0
18688000,0.0,0.0,0.0
18888000,0.0,0.0,0.0
19088000,0.0,0.0,0.0
19288000,0.0,0.0,0.0
19488000,0.0,0.0,0.0
19688000,0.0,0.0,0.0
19888000,0.00036758708,-0.0012027227,0.00010898661
20088000,0.00093795307,-0.0026313185,0.00010861962
20288000,0.0016156074,-0.0041758134,6.7842186e-05
20484000,0.002391317,-0.005707103,-2.3477714e-06
20688000,0.003109305,-0.0073833996,-4.645737e-05
20888000,0.003826615,-0.009273231,-5.5218527e-05
21088000,0.0048300503,-0.011050517,-0.00010001529
21288000,0.0059848335,-0.012872622,-8.8192115e-05
21488000,0.00747007,-0.015043645,-9.2522e-05
21688000,0.009042293,-0.016980998,-0.00013697459
21888000,0.010937457,-0.019143153,-0.000121411606
22088000,0.0131043065,-0.020747082,-9.9147495e-05
22288000,0.015616113,-0.022286616,-4.3276348e-05
22488000,0.018265001,-0.023852747,-3.3355278e-05
22688000,0.01979568,-0.0242008,2.4251489e-05
