timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
3844000,3844000,197388,0.009248013,-0.22092049,0.43330473,0
3976000,3916000,197388,0.010345868,-0.21631296,0.42856708,0
3988000,3988000,197388,0.0103404755,-0.21164812,0.4254954,0
4120000,4060000,197388,0.009229738,-0.21536554,0.4275707,0
4132000,4132000,197388,0.010376677,-0.21692343,0.43042585,0
4264000,4203636,197388,0.009518652,-0.21636316,0.4311543,0
4276000,4276000,197388,0.013743796,-0.22416094,0.4274299,0
4408000,4347636,197388,0.011357859,-0.21712725,0.42922363,0
4420000,4420000,197388,0.016367568,-0.21190646,0.43287683,0
4552000,4492000,197388,0.0129907,-0.21525615,0.42887884,0
4564000,4564000,197388,0.011022707,-0.21630345,0.42689115,0
4696000,4635636,197388,0.0088675115,-0.21595652,0.42973328,0
4708000,4708000,197388,0.007841621,-0.22071938,0.4172943,0
4840000,4780000,197388,0.012127782,-0.21685378,0.4288754,0
4852000,4852000,197388,0.0049009393,-0.21671921,0.4306289,0
4984000,4924000,197388,0.009721434,-0.21603377,0.42720762,0
4996000,4996000,197388,0.015684329,-0.222078,0.4273218,0
5128000,5068000,197388,0.009703893,-0.21609521,0.43073052,0
5140000,5140000,197388,0.006843156,-0.2172554,0.4290655,0
5272000,5211272,197388,0.012008277,-0.21524188,0.42883375,0
5280000,5280000,197388,0.012904858,-0.21483909,0.43135646,0
5400000,5349600,197388,0.007067879,-0.21659373,0.42891574,0
5424000,5420000,197388,0.0061717094,-0.21562394,0.4298523,0
5536000,5487555,197388,0.011228084,-0.21767999,0.42913738,0
5572000,5560000,197388,0.011280136,-0.21356821,0.42846715,0
5680000,5631555,197388,0.0095638465,-0.21797888,0.42708367,0
5716000,5704000,197388,0.011635272,-0.21485284,0.43057346,0
5824000,5775555,197388,0.011831004,-0.21479101,0.43004543,0
5860000,5848000,197388,0.012702493,-0.21704772,0.43044776,0
5968000,5919555,197388,0.010638244,-0.21627378,0.42841187,0
6004000,5992000,197388,0.010790069,-0.2150436,0.431436,0
6112000,6064000,197388,0.0081503615,-0.21409373,0.43049923,0
6148000,6136000,197388,0.008299256,-0.21599852,0.43227482,0
6256000,6208000,197388,0.010022243,-0.21739736,0.4274086,0
6292000,6280000,197388,0.010766996,-0.21551445,0.42989668,0
6400000,6352000,197388,0.009139434,-0.21537809,0.42810977,0
6432000,6422666,197388,0.0122362925,-0.21734641,0.42762798,0
6544000,6495111,197388,0.00966597,-0.2145425,0.42797834,0
6568000,6562000,197388,0.008184007,-0.2159755,0.4306069,0
6688000,6633600,197388,0.009636858,-0.2139089,0.4300408,0
6712000,6706000,197388,0.011267152,-0.21513367,0.42683914,0
