timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
5088000,-0.005772497,0.006617197,-0.0001360849,0.0,0.0,-0.001,0
5092000,-0.005626689,0.0069989306,-0.00016163365,0.0,0.0,-0.001,0
5108000,-0.0051395013,0.008098693,-0.0004989773,0.0,0.0,-0.001,0
5124000,-0.004659613,0.009029194,-0.00012037983,0.0,0.0,-0.001,0
5148000,-0.0041040624,0.010243796,-0.00045458195,0.0,0.0,-0.001,0
5168000,-0.004157877,0.011960399,0.00011894875,0.0,0.0,-0.001,0
5188000,-0.0032454596,0.012657891,-4.611397e-05,0.0,0.0,-0.001,0
5208000,-0.0028226431,0.012732965,0.00029606782,0.0,0.0,-0.001,0
5228000,-0.002583033,0.012639924,-0.00011658165,0.0,0.0,-0.001,0
5248000,-0.00215437,0.0129141165,-0.00010838878,0.0,0.0,-0.001,0
5268000,-0.0019891306,0.012262439,-0.00019204797,0.0,0.0,-0.001,0
5288000,-0.0020779467,0.011444742,0.00026578567,0.0,0.0,-0.001,0
5304000,-0.002323327,0.011662778,0.00011842151,0.0,0.0,-0.001,0
5328000,-0.0037588296,0.011276362,-2.7144153e-05,0.0,0.0,-0.001,0
5348000,-0.0044610887,0.011552045,0.00022009952,0.0,0.0,-0.001,0
5368000,-0.005107652,0.010678508,4.7802867e-05,0.0,0.0,-0.001,0
5388000,-0.0056676,0.010463819,-8.2132465e-07,0.0,0.0,-0.001,0
5408000,-0.006305333,0.010086005,2.369679e-05,0.0,0.0,-0.001,0
5428000,-0.0062324903,0.0098976195,4.159317e-05,0.0,0.0,-0.001,0
5448000,-0.0070490222,0.00983513,5.070954e-05,0.0,0.0,-0.001,0
5464000,-0.0069292355,0.009338071,0.00010179475,0.0,0.0,-0.001,0
5484000,-0.0068051666,0.008298953,0.00019327848,0.0,0.0,-0.001,0
5508000,-0.006995764,0.007930756,0.00028496858,0.0,0.0,-0.001,0
5528000,-0.007131455,0.006869588,0.0002764027,0.0,0.0,-0.001,0
5544000,-0.0069878516,0.006690201,-0.00011134159,0.0,0.0,-0.001,0
5568000,-0.0076454286,0.005733918,-5.4205186e-05,0.0,0.0,-0.001,0
5588000,-0.007633231,0.005198109,0.00019861979,0.0,0.0,-0.001,0
5608000,-0.0077671125,0.005206587,8.88583e-05,0.0,0.0,-0.001,0
5628000,-0.0075085433,0.0053609605,0.00019389496,0.0,0.0,-0.001,0
5648000,-0.007358301,0.0048161726,0.00011800998,0.0,0.0,-0.001,0
