timestamp,mission_id,geofence_id,home_position_counter,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
1592248000,0,0,150,-1,0,0,0,0,0,0,0,0,0,0
1600524000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1638716000,0,0,150,-1,0,0,0,0,0,0,0,0,0,0
1644628000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644676000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644724000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644772000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644776000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644828000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644876000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644932000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1644980000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645028000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645076000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645132000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645180000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645228000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645280000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645332000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645380000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645436000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645484000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645532000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645580000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645636000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645684000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645732000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645780000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645784000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645836000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645884000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645940000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1645988000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646036000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646084000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646140000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646188000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646236000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646284000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646288000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646340000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646388000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646444000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646492000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646540000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
1646588000,0,0,150,-1,0,0,0,0,0,0,1,0,0,0
