timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1592244000,1592088000,0.7081668,0.0005373279,0.0013926432,0.7060436,-0.044070628,0.0040882225,-0.012251094,0.0,0.0,-488.1567,-0.00023099892,-0.000118735974,0.00018241732,0.006372134,-0.0031001805,0.0024800748,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100335,0.0042608664,0.0,0.0,-488.0567,4.2754677e-05,4.25135e-05,0.0070065693,0.013832289,0.014003175,0.005139753,0.11192886,0.112314925,0.082625546,1.5742462e-07,1.5785173e-07,2.9291039e-07,0.0027910247,0.0027876806,8.760972e-06,0.0006978255,6.119035e-06,0.00080264854,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592252000,1592096000,0.7081826,0.00054501934,0.0014013043,0.70602775,-0.045002915,0.0044897757,-0.012355432,0.0,0.0,-488.1568,-0.00023099892,-0.000118735974,0.00018241732,0.006372134,-0.0031001805,0.0024800748,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100335,0.0042608664,0.0,0.0,-488.0568,4.2780764e-05,4.253943e-05,0.007006664,0.0138893165,0.014061427,0.005148284,0.112332314,0.11272228,0.082850315,1.5748863e-07,1.5791574e-07,2.929744e-07,0.0027910252,0.002787681,8.761548e-06,0.00069782557,6.119099e-06,0.0008026486,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592260000,1592104000,0.7081901,0.00054332335,0.0014178831,0.70602024,-0.045144953,0.004362335,-0.012351148,0.0,0.0,-488.1569,-0.00023099892,-0.000118735974,0.00018241732,0.006372134,-0.0031001805,0.0024800748,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100335,0.0042608664,0.0,0.0,-488.0569,4.2806874e-05,4.2565378e-05,0.0070067584,0.013946507,0.014119479,0.005156814,0.11273798,0.11313187,0.083075754,1.5755263e-07,1.5797974e-07,2.930384e-07,0.0027910257,0.0027876815,8.762124e-06,0.0006978256,6.119163e-06,0.00080264866,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592268000,1592112000,0.7081822,0.00056500244,0.0014298946,0.70602816,-0.04545708,0.0043630837,-0.01284454,0.0,0.0,-488.15698,-0.00023099892,-0.000118735974,0.00018241732,0.006372134,-0.0031001805,0.0024800748,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100335,0.0042608664,0.0,0.0,-488.05698,4.283301e-05,4.2591357e-05,0.0070068548,0.014004189,0.014178108,0.0051653455,0.11314587,0.11354372,0.08330187,1.5761664e-07,1.5804375e-07,2.931024e-07,0.0027910261,0.002787682,8.7626995e-06,0.0006978257,6.1192272e-06,0.0008026487,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592276000,1592120000,0.70817465,0.0005670731,0.0014268709,0.7060357,-0.045606896,0.0048055407,-0.013056412,0.0,0.0,-488.15707,-0.00023099892,-0.000118735974,0.00018241732,0.006372134,-0.0031001805,0.0024800748,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100335,0.0042608664,0.0,0.0,-488.05707,4.2859177e-05,4.2617372e-05,0.007006953,0.014061844,0.014236683,0.005173878,0.113556005,0.11395784,0.08352867,1.5768065e-07,1.5810775e-07,2.931664e-07,0.0027910266,0.0027876825,8.763275e-06,0.00069782574,6.1192914e-06,0.0008026488,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592284000,1592128000,0.70819676,0.0005356391,0.0014732606,0.7060135,-0.045598987,0.0042819064,-0.012217022,0.0,0.0,-488.15704,-0.00023099895,-0.00011873596,0.00018241732,0.00637213,-0.0031001768,0.0024799036,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100337,0.0042608664,0.0,0.0,-488.05704,4.2885345e-05,4.2643383e-05,0.0070070475,0.014119112,0.014294716,0.005166132,0.11396838,0.114374235,0.08319286,1.5774465e-07,1.5817176e-07,2.932304e-07,0.002791027,0.002787683,8.7627695e-06,0.0006978258,6.1193555e-06,0.00080264884,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592300000,1592144000,0.70822144,0.00050703844,0.0015369719,0.7059886,-0.04649602,0.0036493356,-0.012378506,0.0,0.0,-488.15723,-0.00023099895,-0.00011873596,0.00018241732,0.00637213,-0.0031001768,0.0024799036,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100337,0.0042608664,0.0,0.0,-488.05722,4.293776e-05,4.269548e-05,0.0070072403,0.014235326,0.014412895,0.0051831994,0.114799894,0.11521388,0.08364677,1.5787266e-07,1.5829977e-07,2.9335843e-07,0.002791028,0.0027876839,8.763921e-06,0.0006978259,6.1194837e-06,0.00080264895,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592308000,1592152000,0.70823,0.00047745,0.0015415425,0.70597994,-0.046942953,0.0033391137,-0.012296461,0.0,0.0,-488.15732,-0.00023099895,-0.00011873596,0.00018241732,0.00637213,-0.0031001768,0.0024799036,0.21520229,0.012830192,0.42494673,-0.01151204,-0.0010100337,0.0042608664,0.0,0.0,-488.0573,4.2964e-05,4.272156e-05,0.0070073367,0.014293614,0.01447217,0.0051917345,0.115219064,0.11563716,0.08387473,1.5793667e-07,1.5836378e-07,2.9342243e-07,0.0027910285,0.0027876843,8.764497e-06,0.000697826,6.119548e-06,0.000802649,0.0003198642,0.0006965447,0.00080107636,1.0,1.0,0.010000001,25
1592316000,1592160000,0.70826334,0.00051281083,0.001566608,0.7059465,-0.04726989,0.003320898,-0.012315654,0.0,0.0,-488.1574,-0.0002309741,-0.00011862642,0.00018281656,0.006372192,-0.0031002336,0.0024799036,0.21520418,0.012830322,0.42494625,-0.011512059,-0.0010084813,0.0042618224,0.0,0.0,-488.0574,4.2980377e-05,4.2731004e-05,0.007006778,0.014343203,0.014526794,0.0052002706,0.11562923,0.116058104,0.08410338,1.5795355e-07,1.5839815e-07,2.9308077e-07,0.002791029,0.0027876848,8.765072e-06,0.0006978225,6.119022e-06,0.0008026461,0.000319864,0.0006965416,0.0008010739,1.0,1.0,0.010000001,25
1592324000,1592168000,0.70825505,0.0005280708,0.0015661985,0.7059548,-0.04812296,0.003088576,-0.01291725,0.0,0.0,-488.1575,-0.0002309741,-0.00011862642,0.00018281656,0.006372192,-0.0031002336,0.0024799036,0.21520418,0.012830322,0.42494625,-0.011512059,-0.0010084813,0.0042618224,0.0,0.0,-488.0575,4.3006647e-05,4.2757107e-05,0.0070068743,0.014402246,0.014587046,0.0052088094,0.11605282,0.11648596,0.08433271,1.5801756e-07,1.5846216e-07,2.9314478e-07,0.0027910294,0.0027876853,8.765648e-06,0.00069782254,6.1190863e-06,0.00080264616,0.000319864,0.0006965416,0.0008010739,1.0,1.0,0.010000001,25
