timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1591996000,1591834000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1592396000,1592238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1592796000,1592634000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1593196000,1593038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1593596000,1593438000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1593996000,1593838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1594396000,1594238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1594796000,1594634000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1595196000,1595034000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1595596000,1595438000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1595996000,1595838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1596396000,1596234000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1596796000,1596634000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1597196000,1597038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1597596000,1597434000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1597996000,1597834000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1598396000,1598238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1598796000,1598638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1599196000,1599038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1599596000,1599438000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1599996000,1599838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1600396000,1600238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1600796000,1600638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1601196000,1601038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1601596000,1601434000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1601996000,1601838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1602396000,1602238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1602796000,1602638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
