timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1592244000,0.0021305173,0.012250538,0.006391599,4000,0,0.02274492,-0.0861911,-9.841368,4000,0,0,0,1
1592248000,-0.000532634,0.0069242166,0.0031958008,4000,0,0.034715924,-0.06464328,-9.853339,4000,0,0,0,1
1592252000,0.0045273774,-0.0042610536,-0.0010652745,4000,0,0.044292733,-0.041898366,-9.800665,4000,0,0,0,1
1592256000,-0.0010652543,-0.0026631488,-0.0079894895,4000,0,0.034715924,0.0035914732,-9.749191,4000,0,0,0,1
1592260000,-0.011185265,0.0013316066,-0.0111852875,4000,0,0.009576809,-0.038307063,-9.770737,4000,0,0,0,1
1592264000,-0.0053263316,-0.0013315936,-0.0087884255,4000,0,-0.01436521,-0.0814027,-9.825806,4000,0,0,0,1
1592268000,0.0015978833,-0.0034621002,0.007989491,4000,0,-0.049081136,-0.028730253,-9.721657,4000,0,0,0,1
1592272000,0.00026630485,-0.0071905493,0.026365295,4000,0,-0.02274492,1.681706e-07,-9.635467,4000,0,0,0,1
1592276000,-0.0005326776,-6.6895596e-09,0.018908447,4000,0,-0.017956512,0.043095805,-9.805455,4000,0,0,0,1
1592280000,0.0007989048,0.0069242227,-0.0069242204,4000,0,-0.05865795,0.043095805,-9.876081,4000,0,0,0,1
1592284000,0.0077231154,-0.002130541,-0.021038994,4000,0,-0.050278246,-0.029927354,-9.776724,4000,0,0,0,1
1592288000,0.010119977,-0.005859004,-0.008522125,4000,0,-0.038307235,-0.038307063,-9.777922,4000,0,0,0,1
1592292000,0.0042610453,-0.0013316083,0.004527379,4000,0,-0.02633622,-0.008379537,-9.788693,4000,0,0,0,1
1592296000,0.00266316,0.00026631597,0.0029294793,4000,0,-0.029927526,0.022745091,-9.815031,4000,0,0,0,1
1592300000,-0.0005326368,0.0047936877,0.0018642175,4000,0,-0.029927526,0.027533494,-9.824608,4000,0,0,0,1
1592304000,-0.0074568614,0.009853691,-0.0023968343,4000,0,0.038307235,-0.032321557,-9.792284,4000,0,0,0,1
1592308000,-0.0050600274,0.0061252555,-0.007989483,4000,0,0.11013329,-0.04070126,-9.804258,4000,0,0,0,1
1592312000,0.0031957922,0.003994724,-0.0058589675,4000,0,0.07541737,0.010774079,-9.769541,4000,0,0,0,1
1592316000,0.0023968625,0.007456845,0.0021305338,4000,0,-0.07062895,0.050278414,-9.783907,4000,0,0,0,1
1592320000,-0.000532607,0.008255792,0.012516867,4000,0,-0.1628057,0.073023334,-9.879675,4000,0,0,0,1
1592328000,-0.0023968862,0.015180008,0.0050600246,4000,0,-0.16759415,0.034716096,-9.830593,4000,0,0,0,1
1592336000,0.0031958057,0.0015979098,0.009054743,4000,0,-0.01316811,-0.022744745,-9.858126,4000,0,0,0,1
1592344000,0.004793681,0.008788441,0.004793686,4000,0,0.047884032,-0.07302299,-9.858126,4000,0,0,0,1
1592348000,-0.0010652707,0.0042610564,0.00026632615,4000,0,0.0071826056,-0.07900849,-9.812637,4000,0,0,0,1
1592352000,0.0018642022,0.0045273723,-0.007190539,4000,0,-0.019153617,-0.02633605,-9.792285,4000,0,0,0,1
1592356000,0.014381082,0.009321035,-0.0071905516,4000,0,0.062249243,0.037110306,-9.823412,4000,0,0,0,1
1592360000,0.002663157,0.006924245,-0.006657879,4000,0,0.13527241,0.04549001,-9.8677025,4000,0,0,0,1
1592364000,-0.008788445,0.0023968716,-0.007723145,4000,0,0.11013329,0.022745093,-9.902418,4000,0,0,0,1
1592368000,-0.007989487,1.2037336e-08,-0.002929471,4000,0,0.06584056,0.023942191,-9.886856,4000,0,0,0,1
1592372000,-0.009054755,-0.0045273635,0.00079896045,4000,0,0.077811554,-0.02873025,-9.835382,4000,0,0,0,1
1592376000,0.005059999,0.0013315965,0.0047936942,4000,0,0.08259997,-0.119709924,-9.79827,4000,0,0,0,1
1592380000,0.021305284,0.009853708,0.014114762,4000,0,0.040701427,-0.04788387,-9.7803135,4000,0,0,0,1
1592384000,0.016777964,0.0023967992,0.017576827,4000,0,0.06943185,0.10773926,-9.803061,4000,0,0,0,1
1592392000,-0.002663178,0.0069242097,0.0018642275,4000,0,0.12449849,0.13168128,-9.843762,4000,0,0,0,1
1592396000,-0.006657899,-0.00026631844,0.0018642286,4000,0,0.077811554,0.104147956,-9.818621,4000,0,0,0,1
1592400000,-0.011717906,-0.0058589815,-0.009054737,4000,0,0.056263745,0.0011972727,-9.801862,4000,0,0,0,1
1592408000,-0.014913707,-0.0018641751,-0.0034621195,4000,0,-0.07062895,0.07062913,-9.8198185,4000,0,0,0,1
