timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
1592244000,0.0,0.7082547,0.0,0.0,0.7059571,0.0,0.0,-0.001
1592252000,0.0,0.70824075,0.0,0.0,0.705971,0.0,0.0,-0.001
1592300000,0.0,0.7082461,0.0,0.0,0.70596564,0.0,0.0,-0.001
1592340000,0.0,0.70820117,0.0,0.0,0.70601076,0.0,0.0,-0.001
1592396000,0.0,0.70816237,0.0,0.0,0.7060496,0.0,0.0,-0.001
1592444000,0.0,0.70805216,0.0,0.0,0.7061602,0.0,0.0,-0.001
1592492000,0.0,0.70803946,0.0,0.0,0.7061729,0.0,0.0,-0.001
1592548000,0.0,0.70798224,0.0,0.0,0.7062303,0.0,0.0,-0.001
1592596000,0.0,0.7079829,0.0,0.0,0.7062297,0.0,0.0,-0.001
1592644000,0.0,0.70801115,0.0,0.0,0.70620126,0.0,0.0,-0.001
1592700000,0.0,0.70802563,0.0,0.0,0.7061868,0.0,0.0,-0.001
1592748000,0.0,0.7080658,0.0,0.0,0.7061464,0.0,0.0,-0.001
1592796000,0.0,0.70821655,0.0,0.0,0.70599526,0.0,0.0,-0.001
1592844000,0.0,0.7081382,0.0,0.0,0.7060739,0.0,0.0,-0.001
1592900000,0.0,0.7081617,0.0,0.0,0.7060503,0.0,0.0,-0.001
1592948000,0.0,0.7082026,0.0,0.0,0.7060093,0.0,0.0,-0.001
1592996000,0.0,0.70810395,0.0,0.0,0.7061082,0.0,0.0,-0.001
1593044000,0.0,0.70807844,0.0,0.0,0.70613384,0.0,0.0,-0.001
1593100000,0.0,0.7080477,0.0,0.0,0.7061646,0.0,0.0,-0.001
1593148000,0.0,0.7080286,0.0,0.0,0.7061838,0.0,0.0,-0.001
1593196000,0.0,0.70805013,0.0,0.0,0.70616215,0.0,0.0,-0.001
1593244000,0.0,0.708084,0.0,0.0,0.70612824,0.0,0.0,-0.001
1593300000,0.0,0.708077,-0.002427039,-0.0047099125,0.70611537,0.0,0.0,-0.008903288
1593348000,0.0,0.7080752,-0.0029112785,-0.0048294454,0.70611453,0.0,0.0,-0.015321037
1593396000,0.0,0.70807666,-0.0025305145,-0.0041328836,0.706119,0.0,0.0,-0.022220552
1593444000,0.0,0.7080767,-0.0025182439,-0.0041078534,0.70611906,0.0,0.0,-0.029658293
1593492000,0.0,0.7080755,-0.00284246,-0.0039248755,0.70612013,0.0,0.0,-0.03773354
1593540000,0.0,0.7080777,-0.0022208926,-0.004500067,0.7061167,0.0,0.0,-0.046399605
1593596000,0.0,0.70807743,-0.0023165308,-0.005221803,0.7061118,0.0,0.0,-0.05674217
1593644000,0.0,0.7080779,-0.0021440047,-0.0052497583,0.70611155,0.0,0.0,-0.06565537
1593700000,0.0,0.7080781,-0.0021055185,-0.004419035,0.7061173,0.0,0.0,-0.076733775
1593740000,0.0,0.70807827,-0.002036308,-0.0045832973,0.7061162,0.0,0.0,-0.08503319
1593796000,0.0,0.70807964,-0.0014980274,-0.004723667,0.70611525,0.0,0.0,-0.09722663
1593844000,0.0,0.7080779,-0.0021368526,-0.004586291,0.7061162,0.0,0.0,-0.10814067
1593900000,0.0,0.708078,-0.0021229452,-0.0046250755,0.7061159,0.0,0.0,-0.12158436
1593948000,0.0,0.7080775,-0.0022901294,-0.004524898,0.70611656,0.0,0.0,-0.1333328
1593996000,0.0,0.708078,-0.0021146387,-0.0047964617,0.7061148,0.0,0.0,-0.14510186
1594044000,0.0,0.7080795,-0.0015522725,-0.004143739,0.7061189,0.0,0.0,-0.15771917
1594100000,0.0,0.7080771,-0.0024139984,-0.0041592317,0.7061189,0.0,0.0,-0.17310728
1594140000,0.0,0.7080791,-0.0017363308,-0.004605914,0.706116,0.0,0.0,-0.18437804
1594196000,0.0,0.70807964,-0.0014943276,-0.005109695,0.70611256,0.0,0.0,-0.20044614
1594244000,0.0,0.70808023,-0.001188868,-0.0052321735,0.70611167,0.0,0.0,-0.21451482
1594300000,0.0,0.7076388,-0.0010692416,-0.005090897,0.7065552,0.0,0.0,-0.23143554
1594348000,0.0,0.7076584,-0.0022455757,-0.0050972165,0.70653284,0.0,0.0,-0.24663712
1594396000,0.0,0.70767134,-0.0021774017,-0.005373635,0.70651805,0.0,0.0,-0.2625221
1594444000,0.0,0.7076223,-0.002131725,-0.005001966,0.70657,0.0,0.0,-0.2785659
1594500000,0.0,0.7074672,-0.0019703084,-0.0045600664,0.7067287,0.0,0.0,-0.29841384
1594540000,0.0,0.7074922,-0.0020631833,-0.0045712614,0.7067034,0.0,0.0,-0.31257975
1594596000,0.0,0.7074044,-0.0016990128,-0.0050394214,0.70678914,0.0,0.0,-0.3181113
1594644000,0.0,0.7074042,-0.0014474525,-0.0049244426,0.7067906,0.0,0.0,-0.32177386
1594700000,0.0,0.7074218,-0.0013646996,-0.0052376795,0.706771,0.0,0.0,-0.32832488
1594748000,0.0,0.7075165,-0.0020297274,-0.005491163,0.7066726,0.0,0.0,-0.33410016
1594796000,0.0,0.70756483,-0.0015782423,-0.0053639337,0.70662636,0.0,0.0,-0.3384364
1594844000,0.0,0.70752585,-0.001311992,-0.0057573775,0.7066628,0.0,0.0,-0.3427543
1594900000,0.0,0.7075478,-0.0017869809,-0.005456012,0.7066422,0.0,0.0,-0.35012734
1594948000,0.0,0.707473,-0.0018363263,-0.005351225,0.7067179,0.0,0.0,-0.35573408
1594996000,0.0,0.70748544,-0.001677178,-0.0056088986,0.7067037,0.0,0.0,-0.36044815
1595044000,0.0,0.7074521,-0.0014703269,-0.005827397,0.70673573,0.0,0.0,-0.36494315
1595100000,0.0,0.7075446,-0.0005700434,-0.006106192,0.7066421,0.0,0.0,-0.37294957
1595148000,0.0,0.70753825,-0.0013440236,-0.006364974,0.7066452,0.0,0.0,-0.37933737
1595196000,0.0,0.7076468,-0.0018133343,-0.0061947936,0.7065368,0.0,0.0,-0.3840421
1595244000,0.0,0.70759803,-0.0018535814,-0.0062927566,0.70658475,0.0,0.0,-0.38937515
1595300000,0.0,0.7075631,-0.0009739906,-0.0066124895,0.70661855,0.0,0.0,-0.3977199
1595348000,0.0,0.7075917,-0.0006366555,-0.006116683,0.70659477,0.0,0.0,-0.4045288
1595396000,0.0,0.7075065,-0.00052011287,-0.006663571,0.7066753,0.0,0.0,-0.41052845
1595444000,0.0,0.7075636,-0.0008922397,-0.0065128556,0.70661914,0.0,0.0,-0.41663286
1595500000,0.0,0.70767283,-0.0010128021,-0.007345714,0.7065014,0.0,0.0,-0.4262018
1595548000,0.0,0.70770717,-0.00080462685,-0.0073936256,0.70646673,0.0,0.0,-0.433328
1595596000,0.0,0.7076502,-0.0005192591,-0.0085935285,0.7065105,0.0,0.0,-0.4395444
1595644000,0.0,0.70758617,-0.00012318154,-0.0072823744,0.7065896,0.0,0.0,-0.44603693
1595700000,0.0,0.7076689,-0.00035477654,-0.008024721,0.7064986,0.0,0.0,-0.4559896
1595740000,0.0,0.70763534,-0.00021070648,-0.008209645,0.7065301,0.0,0.0,-0.46223277
1595796000,0.0,0.70774704,0.0004681674,-0.008627609,0.7064132,0.0,0.0,-0.47030738
1595844000,0.0,0.70783126,0.000814494,-0.00865364,0.70632815,0.0,0.0,-0.4774024
1595900000,0.0,0.7078296,0.0007577564,-0.00818642,0.7063354,0.0,0.0,-0.4883344
1595948000,0.0,0.7078952,0.0014111635,-0.009359188,0.70625407,0.0,0.0,-0.4964068
1595996000,0.0,0.70790786,0.0013626182,-0.0086104125,0.7062511,0.0,0.0,-0.50380766
1596044000,0.0,0.70782554,0.0014370044,-0.008505963,0.70633465,0.0,0.0,-0.5113526
1596092000,0.0,0.7077982,0.0018059612,-0.008622284,0.7063598,0.0,0.0,-0.52172816
