timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1591300000,0,1,1,1,1,1,1,0,0,0,1,1
1592300000,0,1,1,1,1,1,1,0,0,0,1,1
1593300000,0,1,1,1,1,1,1,0,0,0,1,1
1594132000,0,1,0,0,1,1,1,0,0,0,1,0
1594172000,0,0,0,0,1,0,1,0,0,0,1,0
1595172000,0,0,0,0,1,0,0,0,0,0,1,0
1596172000,0,0,0,0,1,0,0,0,0,0,1,0
1596260000,0,0,0,0,0,0,0,0,0,0,1,0
1597260000,0,0,0,0,0,0,0,0,0,0,1,0
1598260000,0,0,0,0,0,0,0,1,0,0,1,0
1599260000,0,0,0,0,0,0,0,1,0,0,1,0
1600260000,0,0,0,0,0,0,0,1,0,0,1,0
1601260000,0,0,0,0,0,0,0,0,0,0,1,0
1602260000,0,0,0,0,0,0,0,0,0,0,1,0
1603260000,0,0,0,0,0,0,0,0,0,0,1,0
1604260000,0,0,0,0,0,0,0,0,0,0,1,0
1605260000,0,0,0,0,0,0,0,0,0,0,1,0
1606260000,0,0,0,0,0,0,0,0,0,0,1,0
1607260000,0,0,0,0,0,0,0,0,0,0,1,0
1608260000,0,0,0,0,0,0,0,0,0,0,1,0
1609260000,0,0,0,0,0,0,0,0,0,0,1,0
1610260000,0,0,0,0,0,0,0,0,0,0,1,0
1611260000,0,0,0,0,0,0,0,0,0,0,1,0
1612260000,0,0,0,0,0,0,0,0,0,0,1,0
1613260000,0,0,0,0,0,0,0,0,0,1,1,0
1614260000,0,0,0,0,0,0,0,0,1,0,1,0
1615260000,0,0,0,0,0,0,0,0,1,0,1,0
1616260000,0,0,0,0,0,0,0,0,1,0,1,0
1617260000,0,0,0,0,0,0,0,0,1,0,1,0
1618260000,0,0,0,0,0,0,0,0,1,0,1,0
1619260000,0,0,0,0,0,0,0,0,1,0,1,0
1620260000,0,0,0,0,0,0,0,0,1,0,1,0
1621260000,0,0,0,0,0,0,0,0,1,0,1,0
1622260000,0,0,0,0,0,0,0,0,1,0,1,0
1623260000,0,0,0,0,0,0,0,0,1,0,1,0
1624260000,0,0,0,0,0,0,0,0,1,0,1,0
1625260000,0,0,0,0,0,0,0,0,1,0,1,0
1626260000,0,0,0,0,0,0,0,0,1,0,1,0
1627260000,0,0,0,0,0,0,0,0,1,0,1,0
1628260000,0,0,0,0,0,0,0,0,1,0,1,0
1629260000,0,0,0,0,0,0,0,0,1,0,1,0
1630260000,0,0,0,0,0,0,0,0,1,0,1,0
1631260000,0,0,0,0,0,0,0,0,1,0,1,0
1632260000,0,0,0,0,0,0,0,0,0,0,1,0
1633260000,0,0,0,0,0,0,0,0,0,0,1,0
1634260000,0,0,0,0,0,0,0,0,0,0,1,0
1635260000,0,0,0,0,0,0,0,0,0,0,1,0
1636260000,0,0,0,0,0,0,0,0,0,0,1,0
1637260000,0,0,0,0,0,0,0,0,0,0,1,0
1638260000,0,0,0,0,0,0,0,0,0,0,1,0
1639108000,0,0,0,0,1,1,0,1,0,0,1,0
1640108000,0,0,0,0,1,1,0,1,0,0,1,0
1641108000,0,0,0,0,1,1,0,1,0,0,1,0
1642108000,0,0,0,0,1,1,0,1,0,0,1,0
1643108000,0,0,0,0,1,1,0,1,0,0,1,0
1643892000,0,1,0,0,1,1,1,0,0,0,1,0
1644244000,0,1,1,0,1,1,1,0,0,0,1,0
1644580000,0,1,1,1,1,1,1,0,0,0,1,0
1644812000,0,1,1,1,1,1,1,0,0,0,1,1
1645812000,0,1,1,1,1,1,1,0,0,0,1,1
1646812000,0,1,1,1,1,1,1,0,0,0,1,1
