timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
1592248000,0,5.5424356e-05,5.1151834e-05,7.80075e-08,0.0,0.0,0.0
1592252000,0,5.542436e-05,5.115182e-05,7.800862e-08,0.0,0.0,0.0
1592260000,0,5.5424374e-05,5.1151783e-05,7.801084e-08,0.0,0.0,0.0
1592268000,0,5.5269527e-05,5.1156498e-05,7.7826904e-08,0.0,0.0,0.0
1592280000,0,5.4834956e-05,5.0856812e-05,7.729372e-08,0.0,0.0,0.0
1592288000,0,5.4713e-05,5.0732917e-05,7.712407e-08,0.0,0.0,0.0
1592300000,0,5.4732733e-05,5.0154515e-05,7.704509e-08,0.0,0.0,0.0
1592308000,0,5.4538097e-05,4.929059e-05,7.6746005e-08,0.0,0.0,0.0
1592320000,0,5.462911e-05,5.062142e-05,7.690114e-08,0.0,0.0,0.0
1592328000,0,5.4331198e-05,5.022162e-05,7.6668506e-08,0.0,0.0,0.0
1592340000,0,5.4437107e-05,4.9356797e-05,7.657918e-08,0.0,0.0,0.0
1592348000,0,5.4225387e-05,4.7048503e-05,7.618118e-08,0.0,0.0,0.0
1592360000,0,5.468632e-05,5.0252398e-05,7.694516e-08,0.0,0.0,0.0
1592368000,0,5.457055e-05,5.0584847e-05,7.691753e-08,0.0,0.0,0.0
1592380000,0,5.471561e-05,4.9569353e-05,7.689435e-08,0.0,0.0,0.0
1592388000,0,5.4629385e-05,4.8775717e-05,7.679663e-08,0.0,0.0,0.0
1592400000,0,5.47376e-05,4.958296e-05,7.6999186e-08,0.0,0.0,0.0
1592408000,0,5.4890843e-05,4.955569e-05,7.713688e-08,0.0,0.0,0.0
1592416000,0,5.478553e-05,4.9052e-05,7.6974764e-08,0.0,0.0,0.0
1592428000,0,5.4635337e-05,4.9135928e-05,7.67824e-08,0.0,0.0,0.0
1592440000,0,5.458881e-05,5.086126e-05,7.699339e-08,0.0,0.0,0.0
1592448000,0,5.490078e-05,5.1258416e-05,7.728496e-08,0.0,0.0,0.0
1592460000,0,5.467681e-05,4.933771e-05,7.689919e-08,0.0,0.0,0.0
1592468000,0,5.486792e-05,5.0147275e-05,7.719072e-08,0.0,0.0,0.0
1592480000,0,5.4776454e-05,5.072668e-05,7.717861e-08,0.0,0.0,0.0
1592488000,0,5.479673e-05,5.076159e-05,7.720811e-08,0.0,0.0,0.0
1592500000,0,5.5005512e-05,5.101934e-05,7.742403e-08,0.0,0.0,0.0
1592508000,0,5.497276e-05,5.076374e-05,7.7367254e-08,0.0,0.0,0.0
1592520000,0,5.465284e-05,4.9951566e-05,7.69868e-08,0.0,0.0,0.0
1592528000,0,5.4517237e-05,4.916375e-05,7.676666e-08,0.0,0.0,0.0
1592540000,0,5.4817276e-05,5.191534e-05,7.727494e-08,0.0,0.0,0.0
1592548000,0,5.4548902e-05,5.1719482e-05,7.705455e-08,0.0,0.0,0.0
1592560000,0,5.452029e-05,5.056944e-05,7.685323e-08,0.0,0.0,0.0
1592568000,0,5.4482476e-05,4.9978316e-05,7.681245e-08,0.0,0.0,0.0
1592580000,0,5.4713426e-05,5.1050578e-05,7.712281e-08,0.0,0.0,0.0
1592588000,0,5.4701206e-05,5.1112143e-05,7.710308e-08,0.0,0.0,0.0
1592600000,0,5.4619104e-05,5.091223e-05,7.694382e-08,0.0,0.0,0.0
1592608000,0,5.4643733e-05,5.0491017e-05,7.689289e-08,0.0,0.0,0.0
1592620000,0,5.4505304e-05,4.9198126e-05,7.654846e-08,0.0,0.0,0.0
1592628000,0,5.4586948e-05,5.028314e-05,7.663872e-08,0.0,0.0,0.0
1592640000,0,5.444776e-05,5.058309e-05,7.655249e-08,0.0,0.0,0.0
1592644000,0,5.4704247e-05,5.0583723e-05,7.674701e-08,0.0,0.0,0.0
1592660000,0,5.4270422e-05,4.7342222e-05,7.5961815e-08,0.0,0.0,0.0
1592668000,0,5.4496944e-05,4.9162947e-05,7.627127e-08,0.0,0.0,0.0
1592680000,0,5.4597233e-05,5.0692237e-05,7.653105e-08,0.0,0.0,0.0
1592688000,0,5.48595e-05,5.0957624e-05,7.671409e-08,0.0,0.0,0.0
1592700000,0,5.4604207e-05,4.886089e-05,7.6287996e-08,0.0,0.0,0.0
1592708000,0,5.471889e-05,4.9463117e-05,7.643361e-08,0.0,0.0,0.0
1592720000,0,5.4887318e-05,4.9510123e-05,7.653823e-08,0.0,0.0,0.0
1592728000,0,5.4765416e-05,4.9014667e-05,7.633434e-08,0.0,0.0,0.0
1592740000,0,5.4639986e-05,4.9201295e-05,7.6121026e-08,0.0,0.0,0.0
1592748000,0,5.491538e-05,5.1288498e-05,7.656138e-08,0.0,0.0,0.0
1592760000,0,5.4895143e-05,5.122888e-05,7.648524e-08,0.0,0.0,0.0
1592768000,0,5.4648186e-05,4.93632e-05,7.604035e-08,0.0,0.0,0.0
1592780000,0,5.4855675e-05,5.017311e-05,7.6317434e-08,0.0,0.0,0.0
1592788000,0,5.4772547e-05,5.0603627e-05,7.6253485e-08,0.0,0.0,0.0
1592800000,0,5.484929e-05,5.0818377e-05,7.6296324e-08,0.0,0.0,0.0
1592808000,0,5.4982975e-05,5.0979917e-05,7.639471e-08,0.0,0.0,0.0
1592820000,0,5.4922937e-05,5.056186e-05,7.6238976e-08,0.0,0.0,0.0
1592828000,0,5.466849e-05,5.001874e-05,7.5917605e-08,0.0,0.0,0.0
1592840000,0,5.447935e-05,4.908188e-05,7.557486e-08,0.0,0.0,0.0
1592848000,0,5.4794487e-05,5.1701314e-05,7.602111e-08,0.0,0.0,0.0
1592860000,0,5.4487384e-05,5.064697e-05,7.569478e-08,0.0,0.0,0.0
1592868000,0,5.4585194e-05,5.098396e-05,7.567207e-08,0.0,0.0,0.0
1592880000,0,5.453234e-05,5.0258754e-05,7.558782e-08,0.0,0.0,0.0
1592888000,0,5.4660453e-05,5.0927556e-05,7.573712e-08,0.0,0.0,0.0
1592900000,0,5.4698685e-05,5.1116214e-05,7.575505e-08,0.0,0.0,0.0
1592908000,0,5.4626966e-05,5.0996317e-05,7.5634084e-08,0.0,0.0,0.0
1592920000,0,5.4612734e-05,5.025853e-05,7.550567e-08,0.0,0.0,0.0
1592928000,0,5.4554122e-05,4.9348426e-05,7.530934e-08,0.0,0.0,0.0
1592940000,0,5.4727407e-05,5.1129082e-05,7.5520795e-08,0.0,0.0,0.0
1592948000,0,5.4482e-05,5.080429e-05,7.528145e-08,0.0,0.0,0.0
1592956000,0,5.4609056e-05,5.0518633e-05,7.5290444e-08,0.0,0.0,0.0
1592968000,0,5.4308814e-05,4.756382e-05,7.475319e-08,0.0,0.0,0.0
1592976000,0,5.4359778e-05,4.810545e-05,7.4783e-08,0.0,0.0,0.0
1592988000,0,5.452983e-05,4.9651335e-05,7.510183e-08,0.0,0.0,0.0
1593000000,0,5.484827e-05,5.085731e-05,7.535067e-08,0.0,0.0,0.0
1593008000,0,5.4549906e-05,4.8548452e-05,7.490582e-08,0.0,0.0,0.0
1593020000,0,5.475115e-05,4.9536367e-05,7.5149316e-08,0.0,0.0,0.0
1593028000,0,5.4914086e-05,4.9640093e-05,7.5266996e-08,0.0,0.0,0.0
1593040000,0,5.474502e-05,4.9008002e-05,7.499363e-08,0.0,0.0,0.0
1593048000,0,5.4611162e-05,4.8561415e-05,7.4768074e-08,0.0,0.0,0.0
1593060000,0,5.493011e-05,5.128394e-05,7.522092e-08,0.0,0.0,0.0
1593068000,0,5.4597815e-05,5.017107e-05,7.486397e-08,0.0,0.0,0.0
1593080000,0,5.4680226e-05,4.934968e-05,7.475057e-08,0.0,0.0,0.0
1593088000,0,5.48131e-05,4.9801674e-05,7.4923314e-08,0.0,0.0,0.0
1593100000,0,5.4768818e-05,5.059842e-05,7.490683e-08,0.0,0.0,0.0
1593108000,0,5.4822372e-05,5.0711165e-05,7.493462e-08,0.0,0.0,0.0
1593120000,0,5.495492e-05,5.086551e-05,7.500593e-08,0.0,0.0,0.0
1593128000,0,5.4936554e-05,5.056434e-05,7.492877e-08,0.0,0.0,0.0
1593140000,0,5.4653163e-05,4.9774775e-05,7.455652e-08,0.0,0.0,0.0
1593148000,0,5.451845e-05,4.9197908e-05,7.4325e-08,0.0,0.0,0.0
1593160000,0,5.485599e-05,5.1913124e-05,7.4770796e-08,0.0,0.0,0.0
1593168000,0,5.448807e-05,5.148143e-05,7.440641e-08,0.0,0.0,0.0
1593180000,0,5.4454238e-05,4.9977574e-05,7.415657e-08,0.0,0.0,0.0
1593188000,0,5.450208e-05,5.0120972e-05,7.422756e-08,0.0,0.0,0.0
1593200000,0,5.4688247e-05,5.1060102e-05,7.442967e-08,0.0,0.0,0.0
1593208000,0,5.4775788e-05,5.1280054e-05,7.4501045e-08,0.0,0.0,0.0
1593220000,0,5.4619784e-05,5.090449e-05,7.427468e-08,0.0,0.0,0.0
1593228000,0,5.4562915e-05,5.034149e-05,7.414741e-08,0.0,0.0,0.0
1593240000,0,5.453432e-05,4.9211365e-05,7.3946566e-08,0.0,0.0,0.0
1593248000,0,5.474936e-05,5.1133746e-05,7.4201445e-08,0.0,0.0,0.0
1593260000,0,5.4508735e-05,4.9799593e-05,7.3931986e-08,0.0,0.0,0.0
1593268000,0,5.4494325e-05,4.961324e-05,7.3764326e-08,0.0,0.0,0.0
1593280000,0,5.4352033e-05,4.7974307e-05,7.353481e-08,0.0,0.0,0.0
1593288000,0,5.433763e-05,4.8306258e-05,7.346305e-08,0.0,0.0,0.0
1593300000,0,5.4470456e-05,4.993095e-05,7.372494e-08,0.0,0.0,0.0
1593308000,0,5.4859065e-05,5.1107952e-05,7.406582e-08,0.0,0.0,0.0
1593320000,0,5.4528406e-05,4.8793536e-05,7.357112e-08,0.0,0.0,0.0
1593328000,0,5.4693046e-05,4.9458642e-05,7.3745866e-08,0.0,0.0,0.0
1593340000,0,5.4715205e-05,4.9609327e-05,7.371527e-08,0.0,0.0,0.0
1593348000,0,5.460635e-05,4.922784e-05,7.354634e-08,0.0,0.0,0.0
1593360000,0,5.439857e-05,4.8599213e-05,7.32054e-08,0.0,0.0,0.0
1593368000,0,5.4670014e-05,5.1110394e-05,7.357195e-08,0.0,0.0,0.0
1593380000,0,5.4770302e-05,5.1149775e-05,7.36172e-08,0.0,0.0,0.0
1593388000,0,5.444306e-05,4.9293783e-05,7.314026e-08,0.0,0.0,0.0
1593400000,0,5.437032e-05,4.9857113e-05,7.311661e-08,0.0,0.0,0.0
1593408000,0,5.4462835e-05,5.0153507e-05,7.3193036e-08,0.0,0.0,0.0
1593420000,0,5.452413e-05,4.999102e-05,7.316443e-08,0.0,0.0,0.0
1593428000,0,5.4406057e-05,4.926704e-05,7.295499e-08,0.0,0.0,0.0
1593440000,0,5.4302312e-05,5.1288076e-05,7.2853666e-08,0.0,0.0,0.0
1593448000,0,5.415604e-05,5.133261e-05,7.276202e-08,0.0,0.0,0.0
1593460000,0,5.4021257e-05,4.947522e-05,7.244277e-08,0.0,0.0,0.0
1593468000,0,5.4091634e-05,5.0306753e-05,7.25416e-08,0.0,0.0,0.0
1593480000,0,5.414435e-05,5.095965e-05,7.256455e-08,0.0,0.0,0.0
