timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1592248000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1592748000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1593252000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1593756000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1594264000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1594772000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1595276000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1595780000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1596284000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1596788000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1597292000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1597796000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1598304000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1598812000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1599312000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1599816000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1600320000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1600536000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1601040000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1601540000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1602044000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1602548000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1603052000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1603556000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1604060000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1604564000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1605068000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1605572000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1606076000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1606580000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1607084000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1607588000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1608092000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1608596000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1609100000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1609604000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1610108000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1610612000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1611116000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1611620000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1612124000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1612484000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1612988000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1613492000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
