timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1592248000,1592248000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1592252000,1592252000,0.0017705278,0.000117453215,0.00037185478,0.001740164,nan,nan,nan,nan,nan,nan,nan,nan,0
1592348000,1592348000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1592444000,1592444000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1592548000,1592548000,0.0006844863,0.0002005492,0.00048336614,0.0026315982,nan,nan,nan,nan,nan,nan,nan,nan,0
1592648000,1592648000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1592748000,1592748000,0.0006264609,0.0013735391,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
1592848000,1592848000,4.6338788e-05,0.0020605489,0.0003671364,0.0015259753,nan,nan,nan,nan,nan,nan,nan,nan,0
1592944000,1592944000,4.656613e-10,0.0020000003,0.0,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
1593048000,1593048000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
1593148000,1593148000,0.0,0.0019999996,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
1593248000,1593248000,0.0,0.0019999999,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
1593348000,1593348000,0.011132246,0.016480207,0.009284306,0.019771753,nan,nan,nan,nan,nan,nan,nan,nan,0
1593448000,1593448000,0.03013058,0.025424255,0.023456365,0.034672707,nan,nan,nan,nan,nan,nan,nan,nan,0
1593548000,1593548000,0.047385298,0.04491912,0.041154824,0.052139163,nan,nan,nan,nan,nan,nan,nan,nan,0
