timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1592248000,1592248000,0.0,0.0,-0.001
1592252000,1592252000,0.0,0.0,-0.001
1592268000,1592268000,0.0,0.0,-0.001
1592288000,1592288000,0.0,0.0,-0.001
1592308000,1592308000,0.0,0.0,-0.001
1592328000,1592328000,0.0,0.0,-0.001
1592348000,1592348000,0.0,0.0,-0.001
1592368000,1592368000,0.0,0.0,-0.001
1592388000,1592388000,0.0,0.0,-0.001
1592408000,1592408000,0.0,0.0,-0.001
1592424000,1592424000,0.0,0.0,-0.001
1592444000,1592444000,0.0,0.0,-0.001
1592468000,1592468000,0.0,0.0,-0.001
1592488000,1592488000,0.0,0.0,-0.001
1592508000,1592508000,0.0,0.0,-0.001
1592524000,1592524000,0.0,0.0,-0.001
1592548000,1592548000,0.0,0.0,-0.001
1592568000,1592568000,0.0,0.0,-0.001
1592588000,1592588000,0.0,0.0,-0.001
1592608000,1592608000,0.0,0.0,-0.001
1592628000,1592628000,0.0,0.0,-0.001
1592648000,1592648000,0.0,0.0,-0.001
1592668000,1592668000,0.0,0.0,-0.001
1592688000,1592688000,0.0,0.0,-0.001
1592708000,1592708000,0.0,0.0,-0.001
1592728000,1592728000,0.0,0.0,-0.001
1592748000,1592748000,0.0,0.0,-0.001
1592768000,1592768000,0.0,0.0,-0.001
1592788000,1592788000,0.0,0.0,-0.001
1592808000,1592808000,0.0,0.0,-0.001
1592828000,1592828000,0.0,0.0,-0.001
1592848000,1592848000,0.0,0.0,-0.001
1592868000,1592868000,0.0,0.0,-0.001
1592888000,1592888000,0.0,0.0,-0.001
1592908000,1592908000,0.0,0.0,-0.001
1592928000,1592928000,0.0,0.0,-0.001
1592944000,1592944000,0.0,0.0,-0.001
1592968000,1592968000,0.0,0.0,-0.001
1592988000,1592988000,0.0,0.0,-0.001
1593008000,1593008000,0.0,0.0,-0.001
1593028000,1593028000,0.0,0.0,-0.001
1593048000,1593048000,0.0,0.0,-0.001
1593068000,1593068000,0.0,0.0,-0.001
1593088000,1593088000,0.0,0.0,-0.001
1593108000,1593108000,0.0,0.0,-0.001
1593128000,1593128000,0.0,0.0,-0.001
1593148000,1593148000,0.0,0.0,-0.001
1593168000,1593168000,0.0,0.0,-0.001
1593188000,1593188000,0.0,0.0,-0.001
1593208000,1593208000,0.0,0.0,-0.001
1593224000,1593224000,0.0,0.0,-0.001
1593248000,1593248000,0.0,0.0,-0.001
1593268000,1593268000,0.0,0.0,-0.0038791012
1593288000,1593288000,0.0,0.0,-0.0057619694
1593304000,1593304000,0.0,0.0,-0.007864399
1593328000,1593328000,0.0,0.0,-0.0110244565
1593348000,1593348000,0.0,0.0,-0.014167129
1593368000,1593368000,0.0,0.0,-0.016273387
1593388000,1593388000,0.0,0.0,-0.019976392
1593404000,1593404000,0.0,0.0,-0.022220552
1593428000,1593428000,0.0,0.0,-0.025977947
1593448000,1593448000,0.0,0.0,-0.02842098
1593468000,1593468000,0.0,0.0,-0.03233851
1593488000,1593488000,0.0,0.0,-0.034951646
1593508000,1593508000,0.0,0.0,-0.039196454
1593528000,1593528000,0.0,0.0,-0.042077824
1593548000,1593548000,0.0,0.0,-0.046399605
1593568000,1593568000,0.0,0.0,-0.04948713
1593588000,1593588000,0.0,0.0,-0.053777352
1593604000,1593604000,0.0,0.0,-0.05674217
1593624000,1593624000,0.0,0.0,-0.05960603
1593648000,1593648000,0.0,0.0,-0.0641684
1593668000,1593668000,0.0,0.0,-0.06877973
1593688000,1593688000,0.0,0.0,-0.07184822
1593708000,1593708000,0.0,0.0,-0.076733775
1593728000,1593728000,0.0,0.0,-0.08011933
1593748000,1593748000,0.0,0.0,-0.08503319
1593768000,1593768000,0.0,0.0,-0.088509634
1593788000,1593788000,0.0,0.0,-0.093534574
1593808000,1593808000,0.0,0.0,-0.09722663
1593828000,1593828000,0.0,0.0,-0.102719344
1593848000,1593848000,0.0,0.0,-0.10628201
1593868000,1593868000,0.0,0.0,-0.1118478
1593888000,1593888000,0.0,0.0,-0.11558971
1593908000,1593908000,0.0,0.0,-0.12158436
1593924000,1593924000,0.0,0.0,-0.12541664
