timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw
2208000,0.003867185,-0.0022113032,-0.00014189133,0.008629466,-0.004377724,-0.0012963779,-0.0002465295919744039,-0.0008684617278349713,-0.00012147238403100368
2216000,0.0038502226,-0.002218703,-0.00016283905,0.008244474,-0.004505767,-0.0015503074,,,
2232000,0.0037990708,-0.002244093,-0.000211695,0.008013168,-0.005667406,-0.0015847314,,,
2240000,0.003767921,-0.002260747,-0.00023679833,0.0077523445,-0.005955693,-0.002059892,-0.0001135528214464034,-0.0004947211329532392,-4.200017580368874e-05
2248000,0.0037349039,-0.0022799375,-0.00026638486,0.008155013,-0.0063529466,-0.0026246584,-0.00012203378124523146,-0.000368852438619943,-9.918127725276888e-05
2256000,0.0037012391,-0.0023004971,-0.0002998773,0.008034717,-0.0062490697,-0.0029060717,,,
2272000,0.0036109984,-0.0023350846,-0.0003797545,0.006623592,-0.005971295,-0.004188781,,,
2280000,0.0035574993,-0.002353286,-0.0004274308,0.006495606,-0.0064524077,-0.0050028358,-0.0003844450734771111,-0.000351526898121124,-0.0002922296920819777
2288000,0.0034986543,-0.0023744782,-0.00048317102,0.0058628917,-0.0068103275,-0.0058544264,-0.00035065267544113436,-0.00039486783069374797,-0.0004614930599651702
2296000,0.0034344739,-0.002395862,-0.00054427655,0.00583864,-0.006357518,-0.006499108,,,
2312000,0.003297978,-0.0024239272,-0.0006802832,0.005298654,-0.0059219585,-0.007689876,,,
2320000,0.003223001,-0.0024383892,-0.000754186,0.0049675843,-0.005788076,-0.0076565035,-0.0005199348582812251,-0.00031636903240969764,-0.000598406892272701
2328000,0.0031452917,-0.002449804,-0.0008251433,0.005092227,-0.0051576197,-0.006994958,-0.0004577450294718383,-0.0003387968528171243,-0.00066872339902987
2336000,0.0030697181,-0.0024547947,-0.000890178,0.005761948,-0.0045497497,-0.0063227513,,,
2352000,0.0029077958,-0.0024594825,-0.0010021385,0.004490401,-0.004380237,-0.0046743164,,,
2360000,0.0028122943,-0.0024580199,-0.0010521861,0.004040873,-0.0047935136,-0.004746414,-0.0003562639076220833,-0.000254652931313266,-0.0006983000414887995
2368000,0.0027133848,-0.0024592509,-0.0011000627,0.0038049202,-0.0048896587,-0.0043293633,-0.0003799957865607217,-0.000274790308869666,-0.000790078828845263
2376000,0.0026093288,-0.0024577582,-0.0011477672,0.0030320634,-0.0043227333,-0.0045823148,,,
2392000,0.0024461413,-0.0024337287,-0.0012335638,0.0018986608,-0.0038832098,-0.0048916857,,,
2400000,0.0023606515,-0.0024162752,-0.0012775913,0.002058468,-0.0033460057,-0.0046359682,-1.7831211245269235e-05,0.00010123520059107863,-0.0007654609130463427
2408000,0.0022736853,-0.0023947735,-0.0013191382,0.0019441956,-0.0029524644,-0.004360472,-7.055165088362427e-05,0.00010662848237385444,-0.0006592830110398761
2416000,0.0021843703,-0.002369608,-0.0013607697,0.001533413,-0.002326198,-0.004673292,,,
2432000,0.0019903982,-0.0023108304,-0.001447249,0.00024399959,-0.0023169355,-0.004468504,,,
2440000,0.0018889077,-0.0022841475,-0.001488246,0.0007461577,-0.0026004275,-0.0044252356,-0.0005443307879879607,0.00023970093982262966,-0.0008524963163489496
2448000,0.001786222,-0.0022595674,-0.0015318564,-0.00011509063,-0.0027945274,-0.0049700984,-0.0005358814880944032,0.0003031234128720436,-0.0007949543107469526
2456000,0.0016775081,-0.0022362447,-0.0015767558,-0.0003977833,-0.0030181133,-0.004657483,,,
2472000,0.0014557005,-0.0022010605,-0.0016641072,-0.00069956994,-0.0042548394,-0.0048157102,,,
2480000,0.0013425789,-0.0021889613,-0.001711918,-0.000978177,-0.004155383,-0.005607866,-0.000640067880626896,0.00035864659771844956,-0.0006957391005133279
2488000,0.0012294687,-0.002175009,-0.0017621727,-0.000698662,-0.0037984499,-0.0053895847,-0.0006850192808384333,0.0003480764350825619,-0.0007319951479349739
2496000,0.0011168013,-0.0021565014,-0.0018106644,-0.00096913794,-0.0030509548,-0.00535771,,,
2512000,0.00088271295,-0.002109514,-0.0019124281,-0.0016035469,-0.0022506744,-0.00618276,,,
2520000,0.0007672141,-0.002079213,-0.001966809,-0.000988621,-0.0017098072,-0.005967865,-0.0008269544675894633,0.000366674191385935,-0.0003843829679853155
2528000,0.00065539975,-0.0020478002,-0.0020228452,-0.000900537,-0.001741109,-0.0066951606,-0.0009053850489888374,0.00027255330106549787,-0.00041863650998636505
2536000,0.0005425416,-0.0020164938,-0.0020830114,-0.0013160965,-0.0016523509,-0.0067803706,,,
2552000,0.00029579268,-0.0019488994,-0.0021920032,-0.0028672586,-0.0012957565,-0.005436595,,,
2560000,0.0001606604,-0.0019184352,-0.0022422348,-0.0031620143,-0.001914689,-0.0057786107,-0.0010364185609044807,0.0001104129335059638,-0.00016848837731753147
2568000,2.313951e-05,-0.0018900437,-0.0022942787,-0.0036364205,-0.0017131087,-0.005852983,-0.0010547181272863874,0.00010145216237229012,-0.00016781092728299088
2576000,-0.00011678459,-0.0018576863,-0.002344807,-0.0038709627,-0.0009690268,-0.005396148,,,
2592000,-0.0003441477,-0.0017771214,-0.0024271938,-0.004540289,-0.0002374264,-0.005108229,,,
2600000,-0.0004313776,-0.0017265707,-0.0024637617,-0.0045211683,0.0007232151,-0.005920847,-0.0011868175941149573,0.00014877181147622401,-0.00016900337044805259
2608000,-0.000516314,-0.0016697117,-0.0025049206,-0.0044190073,0.0014580059,-0.0060218563,-0.0011922984194990033,-4.649304175328937e-05,-0.00013753885345088918
2616000,-0.00060188654,-0.0016085557,-0.0025445586,-0.0047738454,0.0018838403,-0.0056531867,,,
2632000,-0.00077699,-0.0014783264,-0.0026248202,-0.004749366,0.0019103957,-0.0060876044,,,
2640000,-0.0008636148,-0.0014174049,-0.0026691514,-0.0054100887,0.0017302622,-0.0065989476,-0.001427944772037799,-6.302282422063529e-05,-0.00025509152655908994
2648000,-0.00095341116,-0.0013573756,-0.0027162465,-0.0056266305,0.0016759515,-0.0067655547,-0.001501536095648369,-1.9488561521353768e-05,-0.00028604446956583717
2656000,-0.0010461763,-0.0012984605,-0.0027636844,-0.006530056,0.0015094344,-0.006457817,,,
2672000,-0.0012331869,-0.0011922884,-0.0028461188,-0.005820593,0.00096270005,-0.0059853373,,,
