timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
13899000,13741000,13747000,47.3977508,8.5456074,0,1.0,1.0,-0.008287482,-0.0081170015,-0.008360483,-0.005117154,1.1378012,1.1382362,2.4145643e-06,2.3153616e-06,-2.4980072e-06,-1.3511362e-06,0,0,1
14299000,14141000,14147000,47.3977508,8.5456074,0,1.0,1.0,-0.0061936686,-0.0067068096,-0.007397454,-0.0058236676,1.1370934,1.1375312,1.3494592e-06,1.5817166e-06,-1.9875415e-06,-1.4536164e-06,0,0,1
14699000,14541000,14547000,47.3977508,8.5456074,0,1.0,1.0,-0.0041474784,-0.006239955,-0.0059530204,-0.006008684,1.1364615,1.13693,6.054434e-07,1.3699009e-06,-1.3732756e-06,-1.4164095e-06,0,0,1
15099000,14945000,14947000,47.3977508,8.5456074,0,1.0,1.0,-0.0063648876,-0.0062091,-0.006137085,-0.0060982504,1.1359305,1.1364138,1.4265588e-06,1.357003e-06,-1.397088e-06,-1.3898606e-06,0,0,1
15499000,15345000,15347000,47.3977508,8.5456074,0,1.0,1.0,-0.004899469,-0.00029304164,-0.0055870335,-0.0035181574,1.1355186,1.1359872,8.4559775e-07,3.0237455e-09,-1.1519812e-06,-7.734886e-07,0,0,1
15899000,15745000,15747000,47.3977508,8.5456074,0,1.0,1.0,-0.005909507,-0.00063541444,-0.005730355,-0.002236938,1.1351311,1.13561,1.2305987e-06,1.4221484e-08,-1.1869223e-06,-4.3603652e-07,0,0,1
16299000,16145000,16147000,47.3977508,8.5456074,0,1.0,1.0,-0.004301698,-0.00041131477,-0.005095396,-0.0014255499,1.1348298,1.1352863,6.522425e-07,5.960781e-09,-9.492868e-07,-2.4489174e-07,0,0,1
16699000,16545000,16547000,47.3977508,8.5456074,0,1.0,1.0,-0.0038869074,-0.0006597439,-0.00455829,-0.0010851916,1.1345254,1.1349921,5.3266496e-07,1.5339737e-08,-7.641215e-07,-1.4286861e-07,0,0,1
17099000,16945000,16947000,47.3977508,8.5456074,0,1.0,1.0,-0.0044359206,0.00043322693,-0.0045039034,-0.00041033886,1.1342504,1.1347206,6.939347e-07,6.6160983e-09,-7.329274e-07,-7.643096e-08,0,0,1
17499000,17345000,17347000,47.3977508,8.5456074,0,1.0,1.0,-0.001698492,-0.0041675153,-0.003257054,-0.0020801951,1.1340377,1.1344849,1.0175587e-07,6.123725e-07,-4.5240668e-07,-3.1462721e-07,0,0,1
17899000,17745000,17747000,47.3977508,8.5456074,0,1.0,1.0,-0.0022817994,-0.0030673824,-0.0028236075,-0.0025189451,1.1338081,1.1342528,1.8368571e-07,3.318073e-07,-3.3297513e-07,-3.2226282e-07,0,0,1
18099000,17945000,17947000,47.3977508,8.5456074,0,1.0,1.0,0.0035532208,-0.0038703042,-0.0010016565,-0.0029050477,1.1194192,1.1197846,4.511403e-07,5.350763e-07,-1.08942146e-07,-3.8306666e-07,0,0,1
18499000,18345000,18347000,47.3977508,8.5456074,0,1.0,1.0,0.005416629,-0.0020784796,0.0018509149,-0.002537684,1.1215814,1.121963,1.046375e-06,1.5401854e-07,4.045322e-07,-2.812675e-07,0,0,1
18899000,18745000,18747000,47.3977508,8.5456074,0,1.0,1.0,0.002483683,-0.006158156,0.0021321452,-0.0041467827,1.1235234,1.1238949,2.1961915e-07,1.3496949e-06,3.2234863e-07,-7.5612417e-07,0,0,1
19299000,19145000,19147000,47.3977508,8.5456074,0,1.0,1.0,0.0001546588,-0.010648205,0.0012532623,-0.007036304,1.1251928,1.1255256,8.5031987e-10,4.029558e-06,1.7946049e-07,-2.210984e-06,0,0,1
19699000,19545000,19547000,47.3977508,8.5456074,0,1.0,1.0,0.00093052746,-0.013081723,0.0011098245,-0.009723157,1.1265996,1.1268846,3.074318e-08,6.0744983e-06,1.133639e-07,-3.9281013e-06,0,0,1
20099000,19945000,19947000,47.3977508,8.5456074,0,1.0,1.0,0.0027856715,-0.008650262,0.0018546454,-0.009246315,1.127715,1.127997,2.7524564e-07,2.6534478e-06,1.8531134e-07,-3.3615886e-06,0,0,1
20499000,20345000,20347000,47.3977508,8.5456074,0,1.0,1.0,0.003410292,-0.012641281,0.002546044,-0.010755189,1.1285944,1.1288713,4.1219744e-07,5.6623635e-06,2.861496e-07,-4.3841555e-06,0,0,1
20899000,20745000,20747000,47.3977508,8.5456074,0,1.0,1.0,0.0068159965,-0.013222479,0.004443801,-0.011851762,1.1292783,1.1295754,1.6455751e-06,6.191139e-06,8.903388e-07,-5.1872594e-06,0,0,1
21107000,20949000,20955000,47.3977508,8.5456074,0,1.0,1.0,-0.0039369906,-0.0047172904,0.0020152763,-0.009784387,1.1168958,1.117194,5.551062e-07,7.9674e-07,4.7148828e-07,-3.915007e-06,0,0,1
21507000,21349000,21355000,47.3977508,8.5456074,0,1.0,1.0,0.0009936421,-0.0068438966,0.0015612167,-0.0084775025,1.1192974,1.1195931,3.528373e-08,1.6734265e-06,2.7761956e-07,-2.9187488e-06,0,0,1
21907000,21749000,21755000,47.3977508,8.5456074,0,1.0,1.0,0.0065370966,-0.006274675,0.0037727188,-0.0074984683,1.1214076,1.1217066,1.5242854e-06,1.4039873e-06,8.316933e-07,-2.2455215e-06,0,0,1
