timestamp,time_estimate,safe_time_estimate,valid
0,0.0,0.0,0
0,0.0,0.0,0
8355000,0.0,0.0,0
10371000,0.0,0.0,0
12387000,0.0,0.0,0
14403000,0.0,0.0,0
16419000,0.0,0.0,0
18435000,0.0,0.0,0
20451000,0.0,0.0,0
22467000,0.0,0.0,0
24483000,0.0,0.0,0
26499000,0.0,0.0,0
28515000,0.0,0.0,0
30531000,0.0,0.0,0
32555000,0.0,0.0,0
34571000,0.0,0.0,0
36587000,0.0,0.0,0
38603000,0.0,0.0,0
40619000,0.0,0.0,0
42635000,0.0,0.0,0
44651000,0.0,0.0,0
46667000,0.0,0.0,0
48691000,0.0,0.0,0
50699000,0.0,0.0,0
52715000,0.0,0.0,0
