timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
11235000,-0.00091735675,0.004227849,-0.0017120629,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11435000,-0.0011316584,0.009549659,0.0009332823,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11635000,-0.0039493996,0.0035293507,-0.0011394606,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11835000,0.0032804485,0.007734025,0.00039661588,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12035000,0.0062295087,0.01055096,-0.00012193761,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12235000,0.0016360991,0.0015873887,-0.0009149877,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12435000,0.0078800805,0.006218304,-0.0012158703,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12635000,-0.0018089251,0.0011964994,-0.0008221123,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12835000,0.00023970404,0.0031426495,0.00074068934,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
13035000,0.003466777,0.0,-0.0001420837,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
13235000,-0.006131474,-0.0028462156,-0.0010043435,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
13435000,-0.006222779,0.0006263547,0.0011096986,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
13635000,1.7462298e-10,0.0,7.2759576e-11,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
13835000,-0.0054429206,0.008217258,-2.2937977e-05,0.0,0.0,3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14035000,0.0028971971,0.0016612934,-0.00024259834,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14235000,-0.0029773437,0.0013917289,-0.0022140963,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14435000,-0.0068294597,-0.0024559554,-0.0007783562,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
14635000,-0.011302931,-0.0029655213,-0.0005144242,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
14835000,-0.008792932,-0.0014408344,-0.00046211117,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
15035000,-0.0008181939,-0.0012176847,-0.00122916,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
15235000,-9.043951e-05,0.008928374,-0.000336988,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15435000,-0.013599209,0.004199707,-0.00030041358,0.0,0.0,3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15635000,-1.1641532e-10,-1.3096724e-10,-0.001072885,0.0,0.0,0.0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
15835000,-4.9133785e-05,2.910383e-11,0.0006657481,0.0,0.0,-1.1641532e-10,0,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
16035000,-0.0014612029,0.0084709115,0.00034354063,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16235000,-0.011175509,0.0026636766,0.00012769771,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16435000,-0.002035762,0.008017453,-0.001724165,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16635000,0.005828264,0.010539383,0.000288552,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16835000,-0.0022005043,-0.0048719402,0.00044196454,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
17035000,-0.0045232926,0.004736254,4.8880033e-06,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17227000,0.00047716603,0.0036824315,-0.000566006,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17435000,-0.012888338,-0.006938455,-0.00032336128,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
17635000,0.004492602,-0.0033790702,-0.0006241299,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
17835000,0.00018617246,-0.005275671,-0.00043416754,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
