timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
9863000,9843000,6620172,487.86337,95600.75,15.0,1.1556052,0,2
9927000,9905666,6620172,487.85867,95600.82,15.0,1.155606,0,2
9991000,9968333,6620172,487.86337,95600.75,15.0,1.1556052,0,2
10055000,10032333,6620172,487.76007,95601.94,15.0,1.1556195,0,2
10115000,10095000,6620172,487.85397,95600.85,15.0,1.1556064,0,2
10179000,10159000,6620172,487.80234,95601.445,15.0,1.1556135,0,2
10243000,10221666,6620172,487.93848,95599.9,15.0,1.1555948,0,2
10307000,10284333,6620172,487.9244,95600.086,15.0,1.1555972,0,2
10367000,10347000,6620172,487.8258,95601.195,15.0,1.1556106,0,2
10431000,10411000,6620172,487.81174,95601.34,15.0,1.1556123,0,2
10495000,10473666,6620172,487.94788,95599.81,15.0,1.1555939,0,2
10559000,10536333,6620172,487.75537,95601.98,15.0,1.1556201,0,2
10619000,10599000,6620172,487.84457,95600.945,15.0,1.1556076,0,2
10683000,10663000,6620172,487.8399,95601.01,15.0,1.1556083,0,2
10747000,10725666,6620172,487.77887,95601.75,15.0,1.1556174,0,2
10811000,10788333,6620172,487.86337,95600.74,15.0,1.1556051,0,2
10871000,10851000,6620172,487.8305,95601.15,15.0,1.15561,0,2
10935000,10915000,6620172,487.87277,95600.65,15.0,1.155604,0,2
10999000,10977666,6620172,487.86337,95600.74,15.0,1.1556051,0,2
11063000,11040333,6620172,487.89154,95600.43,15.0,1.1556013,0,2
11123000,11103000,6620172,487.84927,95600.88,15.0,1.1556069,0,2
11187000,11167000,6620172,487.8258,95601.21,15.0,1.1556107,0,2
11251000,11229666,6620172,487.8164,95601.28,15.0,1.1556116,0,2
11315000,11292333,6620172,487.9056,95600.27,15.0,1.1555994,0,2
11375000,11355000,6620172,487.87744,95600.63,15.0,1.1556038,0,2
11439000,11419000,6620172,487.88684,95600.51,15.0,1.1556022,0,2
11503000,11481666,6620172,487.8399,95601.06,15.0,1.1556089,0,2
11567000,11544333,6620172,487.9244,95600.04,15.0,1.1555965,0,2
11627000,11607000,6620172,487.8211,95601.25,15.0,1.1556113,0,2
11691000,11671000,6620172,487.9338,95599.96,15.0,1.1555957,0,2
11755000,11733666,6620172,487.85867,95600.81,15.0,1.155606,0,2
11819000,11796333,6620172,487.9291,95599.98,15.0,1.1555958,0,2
11879000,11859000,6620172,487.84927,95600.91,15.0,1.155607,0,2
11943000,11923000,6620172,487.84927,95600.9,15.0,1.155607,0,2
12007000,11985666,6620172,487.84457,95600.98,15.0,1.1556078,0,2
12071000,12048333,6620172,487.9244,95600.086,15.0,1.1555972,0,2
12131000,12111000,6620172,487.88214,95600.56,15.0,1.1556029,0,2
12195000,12173666,6620172,487.88684,95600.51,15.0,1.1556022,0,2
12259000,12237666,6620172,487.80234,95601.445,15.0,1.1556135,0,2
12323000,12300333,6620172,487.7366,95602.19,15.0,1.1556226,0,2
12383000,12363000,6620172,487.87744,95600.625,15.0,1.1556036,0,2
12447000,12427000,6620172,487.86807,95600.69,15.0,1.1556044,0,2
12511000,12489666,6620172,487.85397,95600.875,15.0,1.1556067,0,2
12575000,12552333,6620172,487.9244,95600.086,15.0,1.1555972,0,2
12635000,12615000,6620172,487.90094,95600.31,15.0,1.1556,0,2
12699000,12679000,6620172,487.90094,95600.305,15.0,1.1555998,0,2
12763000,12740333,6620172,487.915,95600.16,15.0,1.155598,0,2
12827000,12804333,6620172,487.8211,95601.23,15.0,1.1556109,0,2
12887000,12867000,6620172,487.87744,95600.63,15.0,1.1556038,0,2
12951000,12931000,6620172,487.93848,95599.91,15.0,1.155595,0,2
13015000,12993666,6620172,487.80704,95601.375,15.0,1.1556127,0,2
13079000,13056333,6620172,487.80234,95601.44,15.0,1.1556135,0,2
13139000,13119000,6620172,487.77887,95601.73,15.0,1.155617,0,2
13203000,13183000,6620172,487.7413,95602.18,15.0,1.1556225,0,2
13267000,13245666,6620172,487.7507,95602.06,15.0,1.155621,0,2
13331000,13308333,6620172,487.8305,95601.15,15.0,1.15561,0,2
13391000,13371000,6620172,487.80704,95601.414,15.0,1.1556132,0,2
13455000,13435000,6620172,487.88684,95600.49,15.0,1.1556021,0,2
13519000,13497666,6620172,487.87744,95600.59,15.0,1.1556033,0,2
13583000,13560333,6620172,487.89154,95600.4,15.0,1.1556009,0,2
13643000,13623000,6620172,487.89154,95600.414,15.0,1.1556011,0,2
13707000,13687000,6620172,487.86337,95600.77,15.0,1.1556054,0,2
13771000,13749666,6620172,487.8399,95601.055,15.0,1.1556088,0,2
13835000,13812333,6620172,487.86337,95600.74,15.0,1.1556051,0,2
13895000,13875000,6620172,487.90094,95600.336,15.0,1.1556002,0,2
13959000,13939000,6620172,487.84457,95601.0,15.0,1.1556082,0,2
14023000,14001666,6620172,487.94318,95599.84,15.0,1.1555942,0,2
14087000,14064333,6620172,487.78354,95601.65,15.0,1.155616,0,2
14147000,14127000,6620172,487.88214,95600.54,15.0,1.1556026,0,2
14211000,14191000,6620172,487.94318,95599.82,15.0,1.1555939,0,2
14275000,14253666,6620172,487.94788,95599.805,15.0,1.1555938,0,2
14339000,14316333,6620172,487.86807,95600.695,15.0,1.1556045,0,2
14399000,14379000,6620172,487.8164,95601.31,15.0,1.155612,0,2
14463000,14443000,6620172,487.77887,95601.75,15.0,1.1556174,0,2
14527000,14505666,6620172,487.86807,95600.72,15.0,1.1556048,0,2
14591000,14568333,6620172,487.89154,95600.44,15.0,1.1556014,0,2
14651000,14631000,6620172,487.9056,95600.29,15.0,1.1555996,0,2
14715000,14695000,6620172,487.84927,95600.88,15.0,1.1556069,0,2
14779000,14757666,6620172,487.96198,95599.62,15.0,1.1555915,0,2
14843000,14820333,6620172,487.84457,95600.96,15.0,1.1556078,0,2
14903000,14883000,6620172,487.85867,95600.836,15.0,1.1556062,0,2
14967000,14947000,6620172,487.76007,95601.96,15.0,1.1556199,0,2
15031000,15009666,6620172,487.9103,95600.19,15.0,1.1555984,0,2
15095000,15072333,6620172,487.90094,95600.336,15.0,1.1556002,0,2
15155000,15135000,6620172,487.9056,95600.25,15.0,1.1555991,0,2
15219000,15199000,6620172,487.84457,95600.97,15.0,1.1556078,0,2
15283000,15261666,6620172,487.9056,95600.29,15.0,1.1555996,0,2
15347000,15324333,6620172,487.9197,95600.12,15.0,1.1555974,0,2
15407000,15387000,6620172,487.95728,95599.69,15.0,1.1555923,0,2
15471000,15451000,6620172,487.8164,95601.32,15.0,1.1556121,0,2
15535000,15513666,6620172,487.8211,95601.25,15.0,1.1556113,0,2
15599000,15576333,6620172,487.8164,95601.29,15.0,1.1556116,0,2
15659000,15639000,6620172,487.80234,95601.445,15.0,1.1556135,0,2
15723000,15703000,6620172,487.88684,95600.51,15.0,1.1556022,0,2
15787000,15765666,6620172,487.9197,95600.1,15.0,1.1555974,0,2
15851000,15828333,6620172,487.8399,95601.02,15.0,1.1556085,0,2
15911000,15891000,6620172,487.86807,95600.72,15.0,1.1556048,0,2
15975000,15955000,6620172,487.93848,95599.91,15.0,1.155595,0,2
16039000,16017666,6620172,487.85867,95600.836,15.0,1.1556062,0,2
16103000,16080333,6620172,487.89154,95600.445,15.0,1.1556015,0,2
16163000,16143000,6620172,487.75537,95601.99,15.0,1.1556202,0,2
16227000,16207000,6620172,487.84457,95600.96,15.0,1.1556078,0,2
16291000,16269666,6620172,487.8211,95601.22,15.0,1.1556108,0,2
16355000,16332333,6620172,487.79294,95601.586,15.0,1.1556153,0,2
16415000,16395000,6620172,487.85397,95600.87,15.0,1.1556066,0,2
16479000,16459000,6620172,487.86807,95600.71,15.0,1.1556047,0,2
16543000,16521666,6620172,487.9244,95600.06,15.0,1.1555969,0,2
16607000,16584333,6620172,487.78354,95601.664,15.0,1.1556163,0,2
16667000,16647000,6620172,487.88214,95600.555,15.0,1.1556028,0,2
16731000,16711000,6620172,487.80704,95601.4,15.0,1.1556131,0,2
16795000,16773666,6620172,487.85397,95600.87,15.0,1.1556066,0,2
16859000,16836333,6620172,487.8164,95601.31,15.0,1.155612,0,2
16919000,16899000,6620172,487.80234,95601.47,15.0,1.1556139,0,2
16983000,16963000,6620172,487.8211,95601.26,15.0,1.1556114,0,2
17047000,17025666,6620172,487.8258,95601.18,15.0,1.1556104,0,2
17111000,17088333,6620172,487.94788,95599.81,15.0,1.1555939,0,2
17171000,17151000,6620172,487.88214,95600.54,15.0,1.1556026,0,2
17235000,17215000,6620172,487.9197,95600.125,15.0,1.1555976,0,2
17299000,17277666,6620172,487.8352,95601.086,15.0,1.1556093,0,2
17363000,17340333,6620172,487.77887,95601.75,15.0,1.1556174,0,2
17423000,17403000,6620172,487.86807,95600.68,15.0,1.1556044,0,2
17487000,17467000,6620172,487.85867,95600.82,15.0,1.155606,0,2
17551000,17529666,6620172,487.8211,95601.27,15.0,1.1556115,0,2
17615000,17592333,6620172,487.81174,95601.35,15.0,1.1556125,0,2
17675000,17655000,6620172,487.79764,95601.54,15.0,1.1556147,0,2
17739000,17719000,6620172,487.88214,95600.57,15.0,1.155603,0,2
17803000,17781666,6620172,487.90094,95600.34,15.0,1.1556003,0,2
17867000,17844333,6620172,487.915,95600.164,15.0,1.1555982,0,2
17927000,17907000,6620172,487.87277,95600.65,15.0,1.155604,0,2
17991000,17971000,6620172,487.90094,95600.305,15.0,1.1555998,0,2
18055000,18033666,6620172,487.7507,95602.06,15.0,1.155621,0,2
18119000,18096333,6620172,487.86807,95600.69,15.0,1.1556044,0,2
18179000,18159000,6620172,487.87277,95600.664,15.0,1.1556041,0,2
18243000,18223000,6620172,487.8211,95601.25,15.0,1.1556113,0,2
18307000,18285666,6620172,487.79764,95601.52,15.0,1.1556145,0,2
18371000,18348333,6620172,487.8399,95601.06,15.0,1.1556089,0,2
18431000,18411000,6620172,487.79294,95601.6,15.0,1.1556154,0,2
18495000,18475000,6620172,487.7413,95602.125,15.0,1.1556218,0,2
18559000,18537666,6620172,487.84927,95600.91,15.0,1.155607,0,2
18623000,18600333,6620172,487.9056,95600.27,15.0,1.1555994,0,2
18683000,18663000,6620172,487.85867,95600.805,15.0,1.1556059,0,2
18747000,18727000,6620172,487.87277,95600.65,15.0,1.155604,0,2
18811000,18789666,6620172,487.8164,95601.28,15.0,1.1556116,0,2
18875000,18852333,6620172,487.9056,95600.26,15.0,1.1555992,0,2
18935000,18915000,6620172,487.75537,95601.98,15.0,1.1556201,0,2
18999000,18977666,6620172,487.8305,95601.125,15.0,1.1556097,0,2
19063000,19041666,6620172,487.76007,95601.96,15.0,1.1556199,0,2
19127000,19104333,6620172,487.8399,95601.02,15.0,1.1556085,0,2
19187000,19167000,6620172,487.76477,95601.875,15.0,1.1556188,0,2
19251000,19229666,6620172,487.88214,95600.54,15.0,1.1556026,0,2
19315000,19293666,6620172,487.89154,95600.414,15.0,1.1556011,0,2
19379000,19356333,6620172,487.75537,95602.01,15.0,1.1556203,0,2
19439000,19419000,6620172,487.78824,95601.63,15.0,1.1556158,0,2
19503000,19483000,6620172,487.94318,95599.875,15.0,1.1555946,0,2
19567000,19545666,6620172,487.90094,95600.32,15.0,1.1556001,0,2
19631000,19608333,6620172,487.80234,95601.46,15.0,1.1556138,0,2
19691000,19671000,6620172,487.80234,95601.44,15.0,1.1556135,0,2
19755000,19735000,6620172,487.8305,95601.13,15.0,1.1556097,0,2
19819000,19797666,6620172,487.88214,95600.52,15.0,1.1556025,0,2
19883000,19860333,6620172,487.79294,95601.59,15.0,1.1556154,0,2
19943000,19923000,6620172,487.86807,95600.68,15.0,1.1556044,0,2
20007000,19987000,6620172,487.84457,95601.0,15.0,1.1556082,0,2
20071000,20049666,6620172,487.86807,95600.72,15.0,1.1556048,0,2
20135000,20112333,6620172,487.8399,95601.02,15.0,1.1556085,0,2
20195000,20175000,6620172,487.80704,95601.375,15.0,1.1556127,0,2
20259000,20239000,6620172,487.85867,95600.81,15.0,1.155606,0,2
20323000,20301666,6620172,487.88684,95600.5,15.0,1.1556022,0,2
20387000,20364333,6620172,487.88214,95600.57,15.0,1.155603,0,2
20447000,20427000,6620172,487.86337,95600.78,15.0,1.1556056,0,2
20511000,20491000,6620172,487.85867,95600.82,15.0,1.155606,0,2
20575000,20553666,6620172,487.90094,95600.336,15.0,1.1556002,0,2
20639000,20616333,6620172,487.87744,95600.625,15.0,1.1556036,0,2
20699000,20679000,6620172,487.90094,95600.35,15.0,1.1556003,0,2
20763000,20743000,6620172,487.90094,95600.305,15.0,1.1555998,0,2
20827000,20805666,6620172,487.87277,95600.65,15.0,1.155604,0,2
20891000,20868333,6620172,487.87744,95600.59,15.0,1.1556033,0,2
20951000,20931000,6620172,487.86807,95600.69,15.0,1.1556044,0,2
21015000,20995000,6620172,487.9244,95600.055,15.0,1.1555967,0,2
21079000,21057666,6620172,487.8305,95601.15,15.0,1.15561,0,2
21139000,21119000,6620172,487.84927,95600.94,15.0,1.1556075,0,2
21203000,21183000,6620172,487.84457,95601.0,15.0,1.1556082,0,2
21267000,21247000,6620172,487.84927,95600.91,15.0,1.155607,0,2
21331000,21309666,6620172,487.88684,95600.46,15.0,1.1556017,0,2
21395000,21372333,6620172,487.79294,95601.56,15.0,1.155615,0,2
21455000,21435000,6620172,487.8211,95601.22,15.0,1.1556108,0,2
21519000,21499000,6620172,487.88214,95600.54,15.0,1.1556026,0,2
21583000,21561666,6620172,487.8258,95601.21,15.0,1.1556107,0,2
21647000,21624333,6620172,487.79294,95601.555,15.0,1.1556149,0,2
21707000,21687000,6620172,487.77417,95601.76,15.0,1.1556174,0,2
21771000,21751000,6620172,487.80704,95601.38,15.0,1.1556128,0,2
21835000,21813666,6620172,487.77417,95601.805,15.0,1.155618,0,2
21899000,21876333,6620172,487.8399,95601.055,15.0,1.1556088,0,2
21959000,21939000,6620172,487.96664,95599.555,15.0,1.1555908,0,2
22023000,22003000,6620172,487.88214,95600.52,15.0,1.1556025,0,2
22087000,22065666,6620172,487.86337,95600.77,15.0,1.1556054,0,2
22151000,22128333,6620172,487.8399,95601.06,15.0,1.1556089,0,2
22211000,22191000,6620172,487.78354,95601.66,15.0,1.1556162,0,2
22275000,22255000,6620172,487.88684,95600.47,15.0,1.1556017,0,2
22339000,22316333,6620172,487.8164,95601.29,15.0,1.1556116,0,2
22403000,22380333,6620172,487.89154,95600.44,15.0,1.1556014,0,2
22463000,22443000,6620172,487.89154,95600.4,15.0,1.1556009,0,2
22527000,22507000,6620172,487.84457,95600.98,15.0,1.1556078,0,2
22591000,22569666,6620172,487.84927,95600.91,15.0,1.155607,0,2
22655000,22632333,6620172,487.71783,95602.414,15.0,1.1556252,0,2
22715000,22695000,6620172,487.8164,95601.31,15.0,1.155612,0,2
22779000,22759000,6620172,487.87744,95600.62,15.0,1.1556035,0,2
22843000,22821666,6620172,487.9244,95600.086,15.0,1.1555972,0,2
22907000,22884333,6620172,487.77887,95601.75,15.0,1.1556174,0,2
22967000,22947000,6620172,487.79764,95601.5,15.0,1.1556143,0,2
23031000,23011000,6620172,487.88684,95600.48,15.0,1.1556019,0,2
23095000,23072333,6620172,487.86807,95600.69,15.0,1.1556044,0,2
23159000,23136333,6620172,487.81174,95601.34,15.0,1.1556123,0,2
23219000,23199000,6620172,487.9244,95600.07,15.0,1.155597,0,2
23283000,23263000,6620172,487.84927,95600.94,15.0,1.1556075,0,2
23347000,23325666,6620172,487.915,95600.16,15.0,1.155598,0,2
23411000,23388333,6620172,487.88684,95600.51,15.0,1.1556022,0,2
23471000,23451000,6620172,487.79764,95601.5,15.0,1.1556143,0,2
23535000,23515000,6620172,487.89154,95600.41,15.0,1.155601,0,2
23599000,23577666,6620172,487.75537,95601.97,15.0,1.15562,0,2
23663000,23640333,6620172,487.8211,95601.23,15.0,1.1556109,0,2
23723000,23703000,6620172,487.81174,95601.35,15.0,1.1556125,0,2
23787000,23767000,6620172,487.89624,95600.375,15.0,1.1556007,0,2
23851000,23829666,6620172,487.89154,95600.4,15.0,1.1556009,0,2
23915000,23892333,6620172,487.85867,95600.81,15.0,1.155606,0,2
23975000,23955000,6620172,487.95258,95599.73,15.0,1.1555928,0,2
24039000,24019000,6620172,487.89624,95600.37,15.0,1.1556005,0,2
24103000,24081666,6620172,487.9197,95600.125,15.0,1.1555976,0,2
24167000,24144333,6620172,487.90094,95600.31,15.0,1.1556,0,2
24227000,24207000,6620172,487.85397,95600.875,15.0,1.1556067,0,2
24291000,24271000,6620172,487.88684,95600.49,15.0,1.1556021,0,2
24355000,24333666,6620172,487.88214,95600.555,15.0,1.1556028,0,2
24419000,24396333,6620172,487.86807,95600.71,15.0,1.1556047,0,2
24479000,24459000,6620172,487.8399,95601.04,15.0,1.1556088,0,2
24543000,24523000,6620172,487.90094,95600.34,15.0,1.1556003,0,2
24607000,24585666,6620172,487.8305,95601.15,15.0,1.15561,0,2
