timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
4275000,4275000,1310988,0.0,0.0,0.0,0.15,0.010000001,0.009999999,0.009993606,1310988,0.0,0.0,0.0,0.4,0.040000003,0.040000003,0.040000003,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
5067000,4915000,1310988,0.0050463076,0.006675302,-0.00043820616,0.15,0.00022003884,0.00022002829,0.00017783864,1310988,3.009665e-05,-7.37928e-05,-2.7403124e-05,0.4,0.039982524,0.039982513,0.0399408,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
5091000,4939000,1310988,0.005035878,0.006677094,-0.00043812508,0.15,0.0002200276,0.00022002794,0.00017783881,1310988,0.00010058499,-0.0003634903,0.018510079,0.4,0.039981913,0.03997375,0.0044307895,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
5267000,5115000,1310988,0.0014276175,0.0029224413,-0.0033283231,0.15,0.00011124304,0.00011124057,9.053422e-05,1310988,9.129628e-05,-0.00035140288,0.018243492,0.4,0.03998191,0.039973747,0.004429876,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
5299000,5147000,1310988,0.0012362092,0.002848453,-0.0033286999,0.15,0.0001102399,0.00011023548,9.053447e-05,1310988,0.003353783,-0.008230855,0.010186786,0.4,0.038425706,0.038433097,0.0022370657,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6299000,6147000,1310988,0.001257757,0.0028678265,-0.0033285844,0.15,0.00010951284,0.00010950884,9.054175e-05,1310988,0.00336531,-0.008260646,0.010186551,0.4,0.03839531,0.038402695,0.0022364748,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6523000,6371000,1310988,0.0012619556,0.0028666577,-0.003328943,0.15,0.00010905196,0.00010904815,9.054221e-05,1310988,0.00336531,-0.008260646,0.010188725,0.4,0.03839531,0.038402695,0.0022363258,197388,-0.00033153288,0.00097286777,-0.00046081663,0.5,0.0018853663,0.0015174166,0.0015042862,1,0,1,0,1,0
7099000,6947000,1310988,0.0014784437,0.0030559043,-0.0033271154,0.15,8.857861e-05,8.866335e-05,9.046093e-05,1310988,0.007540805,-0.0073289955,0.011315886,0.4,0.0320581,0.03205045,0.0021081404,197388,-0.0002587838,0.0009544452,-0.00054882973,0.5,0.00178877,0.0013240929,0.0013130169,1,0,1,0,1,0
7499000,7347000,1310988,0.0015833139,0.00308666,-0.003322721,0.15,8.354952e-05,8.35974e-05,9.0305526e-05,1310988,0.011437789,-0.0071992124,0.011792951,0.4,0.025771951,0.025759092,0.0019978166,197388,-0.00023031175,0.0012359497,-0.00048744876,0.5,0.0017798409,0.0013007356,0.001292745,1,0,1,0,1,0
7899000,7747000,1310988,0.0016017153,0.0030432234,-0.0033388822,0.15,8.05665e-05,8.0577876e-05,8.9929934e-05,1310988,0.01336884,-0.008803502,0.012457032,0.4,0.021446915,0.021445367,0.0018580105,197388,-0.00026822372,0.0014741917,-0.00013787995,0.5,0.0017746955,0.0012870876,0.0012808604,1,0,1,0,1,0
8299000,8147000,1310988,0.0015257942,0.002927599,-0.0033445926,0.15,7.75184e-05,7.749759e-05,8.9421716e-05,1310988,0.014487612,-0.0127272215,0.013335945,0.4,0.018736023,0.018762222,0.0016935954,197388,-0.00024000331,0.0015328488,-0.0001669531,0.5,0.0017721386,0.0012804798,0.0012750591,1,0,1,0,1,0
8443000,8291000,1310988,0.0015257881,0.00292761,-0.0034292578,0.15,7.751958e-05,7.749877e-05,8.903023e-05,1310988,0.01494622,-0.01148597,0.013346218,0.4,0.01862313,0.018670121,0.0016898038,197388,-0.00035228863,0.0015412535,-0.00012237205,0.5,0.0017712311,0.001278155,0.0012726776,1,0,1,0,1,0
8699000,8547000,1310988,0.0013075683,0.0026273944,-0.0034424153,0.15,7.345259e-05,7.337363e-05,8.855648e-05,1310988,0.019281948,-0.017344806,0.013736429,0.4,0.016955022,0.017031213,0.0015169628,197388,-0.00031165624,0.001592197,-0.00017046205,0.5,0.0017695847,0.00127573,0.0012705667,1,0,1,0,1,0
8875000,8723000,1310988,0.0013075145,0.0026274465,-0.0035102898,0.15,7.345403e-05,7.337507e-05,8.802256e-05,1310988,0.01973337,-0.01629194,0.0138213625,0.4,0.016789451,0.016898653,0.0015096338,197388,-0.0003686365,0.0016121058,-0.00012515631,0.5,0.0017690598,0.001274222,0.0012689917,1,0,1,0,1,0
