timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,delta_terrain,eph,epv,terrain_alt,lat_lon_valid,alt_valid,lat_lon_reset_counter,alt_reset_counter,terrain_reset_counter,terrain_alt_valid,dead_reckoning
4435000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4439000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4535000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4635000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4735000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4835000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4935000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5035000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5135000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5235000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5335000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5435000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5535000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5635000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5735000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5835000,0,47.3977508,8.5456074,488.053,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
