timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
4435000,4283000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013951082,0.21516953,-0.4289993,-0.009807074,-0.0010090657,-1.1205673e-05,0.0,0.0,0.0,0.0,0.0,0.0
4443000,4291000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.013951082,0.21516953,-0.4289993,-0.0062710536,0.03907919,-5.275011e-05,0.0,0.0,0.0,0.0,0.0,0.0
4451000,4299000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.013951082,0.21516953,-0.4289993,0.004483746,0.021982962,0.00011461973,0.0,0.0,0.0,0.0,0.0,0.0
4459000,4307000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.013951082,0.21516953,-0.4289993,-0.004242511,0.034392472,3.6656857e-05,0.0,0.0,0.0,0.0,0.0,0.0
4467000,4315000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.013951082,0.21516953,-0.4289993,-0.0051325173,0.0014323089,4.0590763e-05,0.0,0.0,0.0,0.0,0.0,0.0
4475000,4323000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,-0.006472222,0.022350572,0.00015544891,0.0,0.0,0.0,0.0,0.0,0.0
4483000,4331000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,-0.012551194,0.015920237,0.00014328957,0.0,0.0,0.0,0.0,0.0,0.0
4491000,4339000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,0.011197264,0.0027486812,-8.523464e-05,0.0,0.0,0.0,0.0,0.0,0.0
4507000,4355000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921736e-05,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,0.0074441046,0.009564851,4.5835972e-05,0.0,0.0,0.0,0.0,0.0,0.0
4515000,4363000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,-0.0039737895,0.015050901,0.00016152859,0.0,0.0,0.0,0.0,0.0,0.0
4523000,4371000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,-0.017567154,0.020970635,9.191036e-05,0.0,0.0,0.0,0.0,0.0,0.0
4531000,4379000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.012479588,0.21561667,-0.42951864,0.011720698,0.020262253,-3.0994415e-06,0.0,0.0,0.0,0.0,0.0,0.0
4547000,4395000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.016791075,0.21681193,-0.43037003,-0.008711295,0.02394391,0.00012898445,0.0,0.0,0.0,0.0,0.0,0.0
4555000,4403000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.016791075,0.21681193,-0.43037003,-0.016525798,0.040357288,-0.00017732382,0.0,0.0,0.0,0.0,0.0,0.0
4563000,4411000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.016791075,0.21681193,-0.43037003,0.004829517,0.02617902,4.774332e-05,0.0,0.0,0.0,0.0,0.0,0.0
4571000,4419000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029561339,0.0,0.0,0.0,0.0,0.0,-0.016791075,0.21681193,-0.43037003,0.0028725225,0.016464457,0.0001128912,0.0,0.0,0.0,0.0,0.0,0.0
4587000,4435000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14238682,0.0,0.0,0.0,0.0,0.0,-0.016791075,0.21681193,-0.43037003,-0.02787393,0.026896233,-0.00016075373,0.0,0.0,0.0,0.0,0.0,0.0
4595000,4443000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14238682,0.0,0.0,0.0,0.0,0.0,-0.016791075,0.21681193,-0.43037003,-0.019295204,0.020727199,4.0650368e-05,0.0,0.0,0.0,0.0,0.0,0.0
