timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
4391000,4391000,197388,0.016791075,-0.21681193,0.43037003,0
4515000,4458636,197388,0.011570923,-0.21600126,0.42854628,0
4535000,4529000,197388,0.0037635555,-0.21648842,0.4324953,0
4647000,4596200,197388,0.010774803,-0.21790414,0.42783356,0
4679000,4667000,197388,0.009761758,-0.215967,0.43045494,0
4779000,4733666,197388,0.010909845,-0.21575677,0.42884073,0
4823000,4805000,197388,0.0095986,-0.21359527,0.42859185,0
4919000,4876333,197388,0.009572063,-0.21829835,0.4264456,0
4963000,4947000,197388,0.01080786,-0.21745877,0.42956632,0
5051000,5014000,197388,0.012250412,-0.21578541,0.4320097,0
5107000,5085400,197388,0.0115963435,-0.21453379,0.42901888,0
5195000,5157000,197388,0.0076342523,-0.21633966,0.42942154,0
5251000,5228600,197388,0.008114073,-0.21669789,0.42623702,0
5339000,5299500,197388,0.009907311,-0.2172062,0.42882845,0
5395000,5371800,197388,0.011770721,-0.21623595,0.42969188,0
5483000,5443000,197388,0.009371699,-0.21716179,0.42773646,0
5535000,5514200,197388,0.01117337,-0.21713255,0.42783722,0
5623000,5586000,197388,0.010831021,-0.21524303,0.4297354,0
5679000,5657400,197388,0.013316511,-0.21663423,0.4292625,0
5767000,5729000,197388,0.011093318,-0.21603498,0.4289777,0
5823000,5799800,197388,0.011326311,-0.2139896,0.4322838,0
5911000,5872000,197388,0.0076824017,-0.21429586,0.4299731,0
5963000,5943000,197388,0.007502836,-0.21918765,0.429929,0
6055000,6015000,197388,0.01108777,-0.21717659,0.42713636,0
6107000,6086200,197388,0.009028042,-0.21299879,0.42939702,0
6195000,6158000,197388,0.010300393,-0.21702261,0.42746165,0
6251000,6229400,197388,0.010042251,-0.21349578,0.42809272,0
6339000,6301000,197388,0.009021245,-0.21625283,0.42861965,0
6395000,6371800,197388,0.009519245,-0.21326481,0.43026897,0
6483000,6444000,197388,0.011174678,-0.21427365,0.42966074,0
6539000,6515800,197388,0.007818301,-0.2152611,0.42595688,0
6627000,6586500,197388,0.010256942,-0.21780172,0.42891124,0
6679000,6658200,197388,0.011381298,-0.21521766,0.42797795,0
6767000,6730000,197388,0.008754662,-0.21562307,0.43054864,0
6823000,6801400,197388,0.011216597,-0.21793106,0.42717925,0
6911000,6873000,197388,0.009563755,-0.21785943,0.42913902,0
6967000,6944600,197388,0.009960364,-0.21660788,0.4320332,0
7055000,7016000,197388,0.009326514,-0.21780697,0.42923892,0
7111000,7087000,197388,0.010446912,-0.21499117,0.42845988,0
7199000,7159000,197388,0.012357036,-0.2150921,0.4287299,0
7251000,7230200,197388,0.008473237,-0.21446748,0.42833003,0
7339000,7302000,197388,0.011737255,-0.2143323,0.429902,0
7395000,7373400,197388,0.007707558,-0.21628074,0.4295567,0
7483000,7445000,197388,0.009044728,-0.21397893,0.43244505,0
7539000,7516600,197388,0.010243282,-0.21265225,0.4342676,0
7627000,7588000,197388,0.010431943,-0.21902737,0.43052503,0
7683000,7659800,197388,0.007844834,-0.21300589,0.43016863,0
