timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
5295000,5295000,197388,0.012950965,-0.220878,0.41942903,11.833033,0
6295000,6295000,197388,0.0040938403,-0.21781358,0.4263361,11.833033,0
7287000,7287000,197388,0.011975673,-0.21711363,0.43225047,11.833033,0
8287000,8287000,197388,0.0052282736,-0.21589106,0.42851353,11.833033,0
9287000,9287000,197388,0.009894769,-0.22016245,0.42767453,11.833033,0
10287000,10287000,197388,0.011417642,-0.21606281,0.42418,11.833033,0
11287000,11287000,197388,0.012401339,-0.21451755,0.4338207,11.833033,0
12291000,12291000,197388,0.011315148,-0.21728837,0.4214256,11.833033,0
13291000,13291000,197388,0.012482085,-0.2198377,0.42826888,11.833033,0
14291000,14291000,197388,0.00709654,-0.21944827,0.4295413,11.833033,0
15295000,15295000,197388,0.006579082,-0.2193932,0.43108532,11.833033,0
16295000,16295000,197388,0.0052804668,-0.21598077,0.43220198,11.833033,0
17295000,17295000,197388,0.0085706925,-0.2162314,0.43008825,11.833033,0
18287000,18287000,197388,0.0046906327,-0.21259367,0.42267674,11.833033,0
19287000,19287000,197388,0.008290349,-0.21627432,0.4323935,11.833033,0
20287000,20287000,197388,0.010335561,-0.21695046,0.42357025,11.833033,0
21287000,21287000,197388,0.0063749356,-0.22308949,0.43163356,11.833033,0
22291000,22291000,197388,0.010780356,-0.21417756,0.4339559,11.833033,0
23291000,23291000,197388,0.003687708,-0.21060437,0.4300499,11.833033,0
24291000,24291000,197388,0.01466055,-0.22223462,0.42870122,11.833033,0
25291000,25291000,197388,0.011986914,-0.2160115,0.42455798,11.833033,0
26295000,26295000,197388,0.005134118,-0.21085241,0.4305169,11.833033,0
27295000,27295000,197388,0.008647074,-0.21554321,0.42376837,11.833033,0
28295000,28295000,197388,0.008891289,-0.21636942,0.425221,11.833033,0
29287000,29287000,197388,0.010336734,-0.21710512,0.4263786,11.833033,0
30287000,30287000,197388,0.012606335,-0.21855587,0.42900857,11.833033,0
31287000,31287000,197388,0.013675535,-0.22392215,0.42925534,11.833033,0
32287000,32287000,197388,0.009673499,-0.22258255,0.43395874,11.833033,0
33291000,33291000,197388,0.011615808,-0.21164045,0.43117237,11.833033,0
34291000,34291000,197388,0.005049631,-0.21177158,0.43256718,11.833033,0
35291000,35291000,197388,0.007751554,-0.21207076,0.42805305,11.833033,0
36291000,36291000,197388,0.008305114,-0.2115292,0.42345902,11.833033,0
37295000,37295000,197388,0.008514887,-0.21454306,0.43246335,11.833033,0
38295000,38295000,197388,0.010946968,-0.21769238,0.42691258,11.833033,0
39295000,39295000,197388,0.00786688,-0.22328687,0.44063187,11.833033,0
40287000,40287000,197388,0.0069899843,-0.21435633,0.4279011,11.833033,0
41287000,41287000,197388,0.010473396,-0.21836138,0.42834264,11.833033,0
42287000,42287000,197388,0.0057482757,-0.21178962,0.4318125,11.833033,0
43287000,43287000,197388,0.015088259,-0.21554627,0.42558718,11.833033,0
44291000,44291000,197388,0.010081875,-0.2099636,0.4240744,11.833033,0
45291000,45291000,197388,0.01294503,-0.22015546,0.42824027,11.833033,0
46291000,46291000,197388,0.010596534,-0.21738216,0.4325799,11.833033,0
47291000,47291000,197388,0.015266522,-0.21196976,0.42630866,11.833033,0
48295000,48295000,197388,0.0092657525,-0.21169767,0.4308117,11.833033,0
49295000,49295000,197388,0.011468694,-0.2196395,0.43093354,11.833033,0
50295000,50295000,197388,0.013077376,-0.21541092,0.42929718,11.833033,0
51287000,51287000,197388,0.012624623,-0.21539219,0.42892957,11.833033,0
52287000,52287000,197388,0.010609284,-0.21661186,0.4307501,11.833033,0
53287000,53287000,197388,0.009418476,-0.22070031,0.42914313,11.833033,0
54287000,54287000,197388,0.008287718,-0.22082038,0.43234897,11.833033,0
