timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
6331000,0,0,0,1,0
8355000,0,0,0,1,0
10371000,0,0,0,1,0
12387000,0,0,0,1,0
14403000,0,0,0,1,0
16419000,0,0,0,1,0
18435000,0,0,0,1,0
20451000,0,0,0,1,0
22467000,0,0,0,1,0
24483000,0,0,0,1,0
26499000,0,0,0,1,0
28515000,0,0,0,1,0
30531000,0,0,0,1,0
32555000,0,0,0,1,0
34571000,0,0,0,1,0
36587000,0,0,0,1,0
38603000,0,0,0,1,0
40619000,0,0,0,1,0
42635000,0,0,0,1,0
44651000,0,0,0,1,0
46667000,0,0,0,1,0
48691000,0,0,0,1,0
50699000,0,0,0,1,0
52715000,0,0,0,1,0
