timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
5267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.1595806,0.01840164,5.2486904e-10,0.002681504,-0.017525386,-9.8656435,8.522114e-05,0.0053050173,-0.0023009707,0.021119973,0.027119868,0.009504869,0.0003108772,0.00033200788,0.0005664419,11.8330345,11.8330345
6267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15255123,0.023384452,7.323994e-10,0.049895164,0.0179088,-9.807991,-0.0034514572,-0.0057950383,-0.0027057717,0.010432455,0.023300026,0.0108874235,0.00052564626,0.0002860688,0.000559567,11.8330345,11.8330345
7267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.14784911,0.02225865,5.6138744e-10,-0.023271639,-0.019632282,-9.742007,0.00036218954,-8.5221545e-05,0.0099495705,0.012394703,0.010539609,0.019290369,0.0003638349,0.0004067904,0.00027957687,11.8330345,11.8330345
8267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16356473,0.020932,4.726088e-10,0.029975407,0.014748453,-9.758862,0.0037071202,-0.004687164,0.005134574,0.025412342,0.026178336,0.021551922,0.00018427262,0.0003837476,0.0003688034,11.8330345,11.8330345
9267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15348656,0.023537898,6.341314e-10,-0.0548751,-0.029496394,-9.778303,0.0023222764,-0.0060080914,-0.0028762145,0.022280551,0.0067041535,0.020607129,0.00037476103,0.00043730772,0.0005026167,11.8330345,11.8330345
10267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.14423671,0.021015676,4.2227594e-10,-0.058705825,-0.024420686,-9.871294,0.0031105725,0.0040906155,0.0026205508,0.01652122,0.0102205165,0.027604856,0.00027132506,0.00022165538,0.00033546993,11.8330345,11.8330345
11267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.14980763,0.020465543,5.1940724e-10,0.05267244,-0.030837147,-9.79918,0.0041545318,0.007627294,0.004708469,0.01906626,0.01689725,0.017960105,0.0002948795,0.0003839301,0.00028397323,11.8330345,11.8330345
12267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15960701,0.019447464,4.3249831e-10,0.041850645,0.07335851,-9.730993,0.0016618127,-0.0007669907,0.0058589545,0.013600185,0.025266534,0.019903196,0.00038770327,0.00023391013,0.0003071021,11.8330345,11.8330345
13267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.17770863,0.019974982,2.3971752e-10,0.0182917,-0.028442945,-9.732047,-0.00059654796,-0.0069029136,-0.0010013488,0.0122573,0.025579628,0.039595008,0.00015209286,0.00031413496,9.778849e-05,11.8330345,11.8330345
14267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.17541425,0.021124864,5.52795e-10,-0.0039264914,-0.035817087,-9.822643,0.0056672073,0.0021731392,0.009693907,0.015386607,0.035313457,0.016982492,0.0002557501,0.00031686414,0.00037126493,11.8330345,11.8330345
15267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15469511,0.02183263,4.5889803e-10,0.018387472,-0.06387713,-9.838924,-0.001832255,0.002961435,-0.00074568525,0.025354352,0.014988619,0.011241384,0.0002711454,0.0003403675,0.000375875,11.8330345,11.8330345
16267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.1543118,0.022882842,7.492037e-10,-0.012162547,0.031029025,-9.766428,-0.0017044229,0.00014913696,-0.0020453073,0.026728263,0.012734315,0.0136636775,0.00038913783,0.0005416373,0.00044104684,11.8330345,11.8330345
17267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.1637165,0.022495227,6.746941e-10,0.05295974,0.033327457,-9.793147,0.0053476277,-0.01727859,0.0048363,0.026283255,0.016741335,0.02311698,0.00021027819,0.00030351052,0.00043119406,11.8330345,11.8330345
18267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15378931,0.020969298,4.972137e-10,-0.038402997,-0.043861605,-9.82906,0.004708469,-0.008884305,0.0038562573,0.0153596625,0.0357005,0.022226613,0.0002763607,0.00029711882,0.00026944792,11.8330345,11.8330345
19267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16741884,0.022408105,4.4117043e-10,0.012737153,0.012354249,-9.706285,-0.0032597096,-0.008671253,0.00990696,0.019480277,0.018979644,0.027173003,0.00027696686,0.00025829487,0.00024825858,11.8330345,11.8330345
20267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16950577,0.022439431,7.977546e-10,0.0031603458,0.014365381,-9.761065,-0.006966829,0.0033236255,-0.0029827405,0.022779636,0.033293106,0.016451646,0.0006018142,0.00049352134,0.0004239853,11.8330345,11.8330345
21267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.153255,0.022645896,5.369837e-10,-0.04711789,-0.10275897,-9.775526,-0.007925567,-0.0021518345,0.004133227,0.007996766,0.02968178,0.013636431,0.00035058626,0.00036692628,0.00026375038,11.8330345,11.8330345
22267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16825028,0.021198763,6.780098e-10,0.020494368,0.0076616174,-9.778303,-0.00012783185,-0.0037710364,-0.0053476277,0.018835098,0.023936719,0.017904392,0.00027126833,0.0005763997,0.0002842049,11.8330345,11.8330345
23267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16517729,0.021840235,5.6676447e-10,0.008236054,-0.0059374524,-9.807512,-0.005347627,0.0034940676,0.0007456854,0.028137986,0.019058673,0.046045803,0.00027441737,0.00058004423,0.0004459482,11.8330345,11.8330345
24267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15309264,0.020700395,4.275405e-10,-0.008427588,0.027485605,-9.76164,0.0018322552,-0.00036218975,0.001981392,0.015185616,0.017337102,0.020312548,0.00030098087,0.00025335854,0.00025515055,11.8330345,11.8330345
25267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15851313,0.022351047,4.866795e-10,-0.018866312,0.043574642,-9.793626,-0.0038562575,-0.0044528055,-0.00042610607,0.023729082,0.0153059345,0.01171189,0.00043690015,0.00020442455,0.00034868738,11.8330345,11.8330345
26267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16779695,0.021295894,5.6269395e-10,0.0092895,0.010534662,-9.902227,-0.0044315,0.005390238,0.00053263234,0.017009508,0.010559194,0.024778388,0.0003063626,0.00045855663,0.00028828354,11.8330345,11.8330345
27267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.147946,0.02014179,4.469636e-10,-0.05746084,-0.017908458,-9.766907,0.003749731,-0.004261058,0.0047510793,0.014569348,0.011386121,0.01418053,0.0002922903,0.0002829642,0.00025177927,11.8330345,11.8330345
28267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.16300817,0.021648321,8.923417e-10,-0.10409989,-0.0057459134,-9.797744,0.0014700652,0.00515588,-0.0027270776,0.020518474,0.009079807,0.024469119,0.0006612573,0.00040246497,0.00053305074,11.8330345,11.8330345
29267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.15882145,0.022647712,4.478103e-10,0.0158975,-0.050182294,-9.785677,-0.005795039,0.001619202,-0.008607337,0.021812882,0.011904101,0.018760692,0.00021346599,0.00036784826,0.00029948202,11.8330345,11.8330345
30267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.1742661,0.022088235,7.515251e-10,0.09203311,0.03371053,-9.838349,0.011952268,0.0004900217,-0.0018109496,0.017191868,0.028076284,0.013352366,0.00045989855,0.0005281948,0.00029428847,11.8330345,11.8330345
31267000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.1579355,0.021068247,3.257333e-10,-0.0386903,0.05516258,-9.828389,0.010823087,-0.009779128,0.0028549084,0.023046166,0.024463832,0.012801907,0.00011522169,0.00018555872,0.00022534722,11.8330345,11.8330345
