timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
4603000,4451000,13421772800,0.0012643129,0.008022492,0.0024498038,0,14.331255,10.053654,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4611000,4459000,13421772800,0.0011766613,0.007745293,0.002477623,0,14.340539,10.056296,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4627000,4475000,13421772800,0.0010118829,0.0072105424,0.002525877,0,14.359762,10.0617695,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4635000,4483000,13421772800,0.0009341443,0.006754012,0.0042011165,0,0.7062522,7.093797,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4643000,4491000,13421772800,0.000859603,0.0065074326,0.0040492415,0,0.70894736,7.095859,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4651000,4499000,13421772800,0.0007880236,0.006265686,0.0039043715,0,0.7159995,7.09801,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4667000,4515000,13421772800,0.00065354025,0.0058035576,0.0036345113,0,0.7426084,7.1025786,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4675000,4523000,13421772800,0.0005905613,0.0055802395,0.0035065946,0,0.76173174,7.1049967,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4683000,4531000,13421772800,0.0005303924,0.0053642956,0.0033863918,0,0.7843774,7.107503,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
4691000,4539000,13421772800,0.0004730064,0.005154055,0.0032698114,0,0.8102518,7.110098,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,128,1,1,1,1,0,0,0,0,0,0,0,0,0
