timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
4435000,4435000,0.022127042,0.020855213,-0.014084974,1.1690782,0.2312227,-0.7964311
4439000,4439000,0.026084572,0.008165513,-0.013626474,1.108968,-0.90733534,-0.4916727
4447000,4447000,-0.018927917,-0.00880965,-0.0024330474,-2.7903094,-1.3955355,0.52382445
4455000,4455000,-0.019224366,0.00090359675,-0.013035904,-1.0476528,0.015711557,-0.6635711
4467000,4467000,0.0019196746,0.028673675,-0.01096613,0.6631048,1.8475598,0.21442366
4475000,4475000,-0.0045614215,0.012884885,-0.008889331,-0.17309505,-0.39035404,0.34454942
4487000,4487000,-0.00031554233,0.027661163,-0.013157232,0.92579263,0.81982386,-0.47374326
4495000,4495000,-0.017309576,0.019083627,-0.009834078,-1.0243319,-0.20230857,0.099969715
4507000,4507000,0.003987074,-0.016315322,-0.010785382,1.6473856,-2.2164721,-0.36460838
4515000,4515000,0.012540828,-0.009427422,-0.026667569,1.1401381,-0.4006321,-1.1599381
4527000,4527000,-0.007476027,0.0036343636,-0.0059905793,-0.22065914,0.81102765,0.8914864
4535000,4535000,0.008532728,0.009493001,-0.017256577,0.9613575,0.56844604,-0.4487964
4547000,4547000,0.0064868852,0.038949028,0.010826197,-0.020834237,2.2364857,2.040317
4555000,4555000,0.01594412,0.019999415,0.0025058375,0.70132554,-0.5286863,0.10514235
4567000,4567000,0.011105072,-0.0069278576,-0.0011151846,-0.5346761,-1.4174367,-0.17752197
4575000,4575000,-0.0076986765,-0.015092614,-0.011336441,-1.2751582,-1.118518,-0.6674236
4587000,4587000,0.020808734,0.012201158,0.014812838,1.040768,1.1735648,0.846379
4595000,4595000,0.0010497291,0.010428071,0.008275709,-1.039809,0.4143094,0.025679026
4607000,4607000,-0.01036211,0.005328847,0.004985809,-0.6779594,-0.66048926,-0.05508543
4615000,4615000,-0.0028203356,-0.0254275,0.013691179,0.27360696,-2.2794728,0.36185738
4627000,4627000,0.0067704935,0.00051762845,-0.015609378,0.2335329,0.76944184,-1.296008
4635000,4635000,-0.035307948,-0.0074418746,0.006831483,-2.8773386,-0.1669348,1.119766
4647000,4647000,0.007795952,0.0033644885,0.0044372045,2.1950788,0.8365176,0.026443481
4655000,4655000,-0.004207175,-0.0058212206,0.0045304685,-0.010595918,-0.39317346,-0.22743607
4667000,4667000,-0.0031926725,0.009716347,-0.0047610616,-0.20905745,1.073635,-0.05881689
4675000,4675000,0.00997629,0.013397795,0.003930465,1.0211095,0.6009421,0.4280271
4687000,4687000,0.012329039,0.03099658,0.013361776,-0.094596386,1.0821741,0.48040548
4695000,4695000,-0.003475384,-0.0073107886,-0.014945022,-1.0680293,-2.123703,-1.7047887
