timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
4435000,4435000,0.13253237,-0.10897662,-9.838428
4439000,4439000,0.18117887,-0.077658206,-9.834097
4487000,4487000,0.008983599,-0.063711606,-9.840938
4531000,4531000,-0.09965944,-0.07403076,-9.766722
4587000,4587000,-0.06277077,0.193371,-9.833284
4635000,4635000,0.07015826,-0.10827716,-9.786491
4687000,4687000,0.014522548,-0.0026019271,-9.899456
4735000,4735000,0.022836255,-0.03741032,-9.793016
4787000,4787000,-0.038867626,-0.018355047,-9.969116
4835000,4835000,0.083974555,-0.0029379018,-9.884017
4887000,4887000,-0.058990832,-0.03408055,-9.778052
4935000,4935000,0.10040563,0.1322236,-9.758934
4987000,4987000,-0.03110842,-0.12107197,-9.851778
5035000,5035000,0.09363921,-0.07573073,-9.903107
5087000,5087000,0.019129965,0.039015345,-9.904417
5135000,5135000,0.09647697,0.08856691,-9.86782
5187000,5187000,-0.116993465,0.074069485,-9.952232
5235000,5235000,0.055028506,-0.03681893,-9.995949
5287000,5287000,-0.13875487,0.0748636,-9.907743
5335000,5335000,-0.044666335,0.19602011,-9.829241
5387000,5387000,-0.019636078,0.0104150195,-9.763333
5431000,5431000,0.09906749,-0.055530243,-9.583359
5487000,5487000,0.10143877,0.044852037,-9.856119
5535000,5535000,0.025248503,-0.053808823,-9.662126
5587000,5587000,0.003054848,-0.12730889,-9.845604
5635000,5635000,-0.2462259,-0.14898345,-9.739048
5687000,5687000,-0.00682153,0.0017750151,-9.876421
5735000,5735000,0.10821239,-0.117015176,-9.782729
5787000,5787000,-0.0006560795,-0.19691142,-9.736417
5835000,5835000,0.04835553,-0.06367886,-9.835981
5887000,5887000,-0.09134703,0.19383931,-9.825817
5935000,5935000,-0.073157005,-0.17876643,-9.7557125
5987000,5987000,-0.072904125,-0.094596766,-9.840557
6035000,6035000,-0.09575725,-0.19183435,-9.874061
6087000,6087000,-0.040593773,0.1432344,-9.656084
6135000,6135000,0.021545816,0.24600834,-9.709607
6187000,6187000,0.11513229,-0.096592024,-9.839928
6235000,6235000,-0.010284802,0.033269305,-9.773325
6287000,6287000,0.07442753,0.025042469,-9.883381
