timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
5339000,5339000,1310988,0.18914193,-0.18674773,-9.689334,11.833033,0,0,0,0,1
6339000,6339000,1310988,-0.19871874,0.10055647,-9.974244,11.833033,0,0,0,0,1
7339000,7339000,1310988,-0.090979666,-0.074220255,-9.794679,11.833033,0,0,0,0,1
8339000,8339000,1310988,-0.25857377,0.21547815,-9.80665,11.833033,0,0,0,0,1
9339000,9339000,1310988,-0.16998832,0.04309563,-9.481039,11.833033,0,0,0,0,1
10339000,10339000,1310988,-0.22744916,-0.28491,-9.433155,11.833033,0,0,0,0,1
11339000,11339000,1310988,0.08140286,-0.055066638,-9.8042555,11.833033,0,0,0,0,1
12339000,12339000,1310988,-0.06703765,0.01436521,-9.909601,11.833033,0,0,0,0,1
13339000,13339000,1310988,-0.090979666,0.25139117,-9.552865,11.833033,0,0,0,0,1
14339000,14339000,1310988,-0.02873042,-0.15083471,-9.835381,11.833033,0,0,0,0,1
15339000,15339000,1310988,0.17956513,-0.2801216,-9.919178,11.833033,0,0,0,0,1
16339000,16339000,1310988,0.25378537,-0.0023942017,-9.773131,11.833033,0,0,0,0,1
17339000,17339000,1310988,0.18674773,-0.11731588,-9.904813,11.833033,0,0,0,0,1
18339000,18339000,1310988,0.04309563,0.1412579,-9.773131,11.833033,0,0,0,0,1
19339000,19339000,1310988,0.033518825,0.10295067,-9.983821,11.833033,0,0,0,0,1
20339000,20339000,1310988,0.10534488,-0.01436521,-9.7803135,11.833033,0,0,0,0,1
21339000,21339000,1310988,0.18195933,0.29688102,-9.85214,11.833033,0,0,0,0,1
22339000,22339000,1310988,-0.062249243,0.12928689,-9.931149,11.833033,0,0,0,0,1
23339000,23339000,1310988,0.016759412,-0.023942016,-9.80665,11.833033,0,0,0,0,1
24339000,24339000,1310988,0.08379706,-0.24899697,-9.701305,11.833033,0,0,0,0,1
25339000,25339000,1310988,0.011971008,0.19393034,-9.888053,11.833033,0,0,0,0,1
26339000,26339000,1310988,-0.090979666,0.19632454,-9.797073,11.833033,0,0,0,0,1
27339000,27339000,1310988,-0.019153614,-0.021547815,-9.885659,11.833033,0,0,0,0,1
28339000,28339000,1310988,0.023942016,-0.2705448,-9.765948,11.833033,0,0,0,0,1
29339000,29339000,1310988,-0.20829555,0.12449849,-9.868899,11.833033,0,0,0,0,1
30339000,30339000,1310988,0.15083471,0.17238252,-9.744401,11.833033,0,0,0,0,1
31339000,31339000,1310988,-0.16519992,-0.22026655,-9.679757,11.833033,0,0,0,0,1
32339000,32339000,1310988,-0.24420857,0.021547815,-9.696517,11.833033,0,0,0,0,1
33339000,33339000,1310988,-0.24181437,-0.062249243,-9.832987,11.833033,0,0,0,0,1
34339000,34339000,1310988,0.2657564,0.038307227,-9.935937,11.833033,0,0,0,0,1
35339000,35339000,1310988,0.1340753,-0.076614454,-9.885659,11.833033,0,0,0,0,1
36339000,36339000,1310988,-0.021547815,-0.050278235,-9.548077,11.833033,0,0,0,0,1
37339000,37339000,1310988,-0.16519992,-0.08140286,-9.682152,11.833033,0,0,0,0,1
38339000,38339000,1310988,0.36870706,0.1340753,-9.603143,11.833033,0,0,0,0,1
39339000,39339000,1310988,0.007182605,0.033518825,-9.909601,11.833033,0,0,0,0,1
40339000,40339000,1310988,-0.031124622,-0.14844051,-9.986216,11.833033,0,0,0,0,1
41339000,41339000,1310988,-0.30645782,0.35673606,-9.787497,11.833033,0,0,0,0,1
42339000,42339000,1310988,0.09816227,0.23223756,-9.598354,11.833033,0,0,0,0,1
43339000,43339000,1310988,-0.01436521,-0.21787235,-9.9550905,11.833033,0,0,0,0,1
44339000,44339000,1310988,-0.079008654,-0.06703765,-9.797073,11.833033,0,0,0,0,1
45339000,45339000,1310988,0.15322891,0.074220255,-9.545682,11.833033,0,0,0,0,1
46339000,46339000,1310988,0.110133275,-0.2896984,-9.921572,11.833033,0,0,0,0,1
47339000,47339000,1310988,0.035913024,0.06703765,-9.842564,11.833033,0,0,0,0,1
48339000,48339000,1310988,-0.21308395,-0.076614454,-9.885659,11.833033,0,0,0,0,1
49339000,49339000,1310988,-0.10295067,0.15801731,-9.583989,11.833033,0,0,0,0,1
50339000,50339000,1310988,0.021547815,-0.10534488,-9.878476,11.833033,0,0,0,0,1
51339000,51339000,1310988,-0.047884032,-0.035913024,-9.739613,11.833033,0,0,0,0,1
52339000,52339000,1310988,0.09816227,-0.25857377,-9.742006,11.833033,0,0,0,0,1
53339000,53339000,1310988,-0.093373865,0.24181437,-9.809045,11.833033,0,0,0,0,1
