timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
2015916000,2015764000,17764060236391,6.804733e-05,0.0012487791,0.0034068946,0,0.49074927,0.2948874,0.011961819,0.015625747,0.0012139365,0.0050873505,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.08864,63.157204,0.47915512,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015924000,2015772000,17764060236391,8.0965045e-05,0.0012458401,0.0029530786,0,0.4916314,0.29425138,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015932000,2015780000,17764060236391,7.703319e-05,0.0012521785,0.0029911825,0,0.49253407,0.29464963,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015940000,2015788000,17764060236391,7.288981e-05,0.0012571147,0.0030297434,0,0.49343997,0.29504853,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015948000,2015796000,17764060236391,6.90878e-05,0.0012658698,0.0030673495,0,0.49434903,0.29544806,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015956000,2015804000,17764060236391,0.00014357656,0.0012293272,0.0030331102,0,0.49525875,0.29584822,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015972000,2015820000,17764060236391,0.00013707325,0.0012570972,0.0031107734,0,0.49709284,0.2966504,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015980000,2015828000,17764060236391,0.0001340984,0.0012707112,0.0031491222,0,0.49801475,0.29705244,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015988000,2015836000,17764060236391,0.00013120446,0.001285688,0.0031856326,0,0.49893984,0.2974551,0.01286768,0.015625747,0.0012139365,0.0048085554,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.014637,63.157204,0.4828056,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
2015996000,2015844000,17764060236391,0.00016726747,0.0014325519,0.0036593082,0,0.49984843,0.29679614,0.0120288525,0.015625747,0.0012139365,0.0044594673,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.249077,63.157204,0.4802633,0.48238713,0,959,2,1,5,5,3,0,0,0,0,0,0,0,0
