timestamp,nav_state,failure
2015916000,17,0
2016420000,17,0
2016924000,17,0
2017428000,17,0
2017932000,17,0
2018440000,17,0
2018944000,17,0
2019448000,17,0
2019952000,17,0
2020456000,17,0
2020960000,17,0
2021464000,17,0
2021972000,17,0
2022476000,17,0
2022980000,17,0
2023484000,17,0
2023988000,17,0
2024096000,4,0
2024600000,4,0
2025104000,4,0
2025608000,4,0
2026112000,4,0
2026616000,4,0
2027120000,4,0
2027624000,4,0
2028128000,4,0
2028632000,4,0
2029136000,4,0
2029692000,4,0
2030236000,4,0
2030748000,4,0
2031252000,4,0
2031756000,4,0
2032260000,4,0
2032764000,4,0
2033268000,4,0
2033772000,4,0
2034276000,4,0
2034780000,4,0
2035284000,4,0
2035788000,4,0
2036292000,4,0
2036796000,4,0
2037300000,4,0
2037804000,4,0
2038308000,4,0
2038812000,4,0
2039316000,4,0
2039820000,4,0
2040324000,4,0
2040828000,4,0
2041332000,4,0
2041844000,4,0
2042348000,4,0
2042852000,4,0
2043356000,4,0
2043860000,4,0
2044364000,4,0
2044868000,4,0
2045372000,4,0
2045876000,4,0
2046380000,4,0
2046884000,4,0
2047388000,4,0
2047892000,4,0
2048396000,4,0
2048900000,4,0
2049404000,4,0
2049908000,4,0
2050412000,4,0
2050916000,4,0
2051420000,4,0
2051924000,4,0
2052428000,4,0
2052932000,4,0
2053436000,4,0
2053940000,4,0
2054444000,4,0
2054948000,4,0
2055452000,4,0
2055956000,4,0
2056460000,4,0
2056964000,4,0
2057468000,4,0
2057972000,4,0
2058476000,4,0
2058980000,4,0
2059484000,4,0
2059988000,4,0
2060316000,18,0
2060828000,18,0
2061332000,18,0
2061836000,18,0
2062340000,18,0
2062844000,18,0
2063348000,18,0
2063852000,18,0
2064356000,18,0
2064860000,18,0
2065364000,18,0
2065868000,18,0
2066372000,18,0
2066876000,18,0
2067380000,18,0
2067884000,18,0
2068388000,18,0
2068892000,18,0
2069396000,18,0
2069900000,18,0
2070404000,18,0
