timestamp,load,ram_usage
2015568000,0.16,0.13465911
2016068000,0.1764706,0.1343799
2016568000,0.15,0.13451323
2017068000,0.18,0.13441297
2017568000,0.18,0.13443102
2018068000,0.1764706,0.13442701
2018568000,0.16393442,0.1344205
2019068000,0.1632653,0.13455985
2019568000,0.18367347,0.13459595
2020068000,0.1764706,0.13459495
2020568000,0.18,0.13460848
2021068000,0.13114753,0.13480249
2021568000,0.1764706,0.13467766
2022068000,0.15,0.13483807
2022568000,0.18367347,0.13464709
2023068000,0.18,0.13467616
2023568000,0.16,0.13454983
2024068000,0.19607843,0.1346516
2024568000,0.18367347,0.13448967
2025068000,0.15686275,0.13463706
2025568000,0.1632653,0.13447464
2026068000,0.1764706,0.13494034
2026568000,0.16,0.13491778
2027068000,0.1764706,0.13487919
2027568000,0.16,0.13471727
2028068000,0.18,0.13467064
2028568000,0.18367347,0.1346521
2029068000,0.1764706,0.13473731
2029568000,0.18,0.13497293
2030068000,0.16,0.13468719
2030568000,0.18,0.13465661
2031068000,0.16,0.1343824
2031568000,0.18,0.1346185
2032068000,0.16,0.13476288
2032568000,0.16,0.13462953
2033068000,0.19607843,0.13463455
2033568000,0.1632653,0.13468719
2034068000,0.15384616,0.1348085
2034568000,0.18367347,0.13449919
2035068000,0.16,0.1344962
2035568000,0.19607843,0.13466513
2036068000,0.18,0.1347699
2036568000,0.14,0.13471626
2037068000,0.17307693,0.13452226
2037568000,0.18,0.13457389
2038068000,0.1764706,0.13460347
2038568000,0.14754099,0.13467766
2039068000,0.15,0.13467164
2039568000,0.15,0.13470222
2040068000,0.15686275,0.13449518
2040568000,0.18,0.1347298
2041068000,0.16,0.13476539
2041568000,0.1764706,0.13474634
2042068000,0.18,0.13486566
2042568000,0.16,0.1346927
2043068000,0.18,0.13483457
2043568000,0.18,0.13476439
2044068000,0.15686275,0.13479999
2044568000,0.1632653,0.13446511
2045068000,0.14285715,0.13475186
2045568000,0.1764706,0.13490374
2046068000,0.1632653,0.13500902
2046568000,0.12857144,0.13479798
2047068000,0.15,0.13463606
2047568000,0.18,0.13471878
2048068000,0.15686275,0.13459043
2048568000,0.18,0.13468167
2049068000,0.12676056,0.1344982
2049568000,0.1632653,0.13473532
2050068000,0.16,0.13465962
2050568000,0.18,0.13474534
2051068000,0.18367347,0.13449469
2051568000,0.18,0.13470072
2052068000,0.15686275,0.1346185
2052568000,0.16,0.13457039
2053068000,0.18,0.13456637
2053568000,0.1764706,0.13472478
2054068000,0.18,0.13464607
2054568000,0.16,0.13464709
2055068000,0.18,0.13471577
2055568000,0.15,0.13448216
2056068000,0.18,0.13455886
2056568000,0.1764706,0.13496892
2057068000,0.15686275,0.1349248
2057568000,0.18367347,0.13523561
2058068000,0.16,0.13509224
2058568000,0.1764706,0.13491929
2059068000,0.1632653,0.13489072
2059568000,0.18,0.13498898
2060068000,0.16,0.13474132
2060568000,0.18,0.13461299
2061068000,0.1764706,0.13471526
2061568000,0.18,0.13474734
2062068000,0.18367347,0.13491628
2062568000,0.19607843,0.13473782
2063068000,0.16,0.1347724
2063568000,0.15,0.13457188
2064068000,0.1764706,0.13480249
2064568000,0.15,0.13473682
2065068000,0.15,0.13465862
2065568000,0.1632653,0.13454883
2066068000,0.16,0.13458994
2066568000,0.19607843,0.13484108
2067068000,0.114285715,0.13450822
2067568000,0.16,0.13466011
2068068000,0.15,0.13454682
2068568000,0.19607843,0.13459745
2069068000,0.1764706,0.13453028
2069568000,0.18,0.1345764
2070068000,0.1632653,0.13475186
2070568000,0.15,0.1348897
