timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2021020000,2021020000,0.75356466,0.74815565,0.7515581,0.74904066,nan,nan,nan,nan,nan,nan,nan,nan,0
2021120000,2021120000,0.75508857,0.74671036,0.7569617,0.743151,nan,nan,nan,nan,nan,nan,nan,nan,0
2021220000,2021220000,0.7555031,0.7512353,0.76200485,0.7474811,nan,nan,nan,nan,nan,nan,nan,nan,0
2021320000,2021320000,0.75643784,0.7510958,0.752676,0.7541756,nan,nan,nan,nan,nan,nan,nan,nan,0
2021420000,2021420000,0.75131214,0.7378663,0.74529535,0.7426385,nan,nan,nan,nan,nan,nan,nan,nan,0
2021520000,2021520000,0.73241246,0.7171374,0.7319426,0.7179004,nan,nan,nan,nan,nan,nan,nan,nan,0
2021620000,2021620000,0.7311552,0.7314435,0.7340977,0.7280312,nan,nan,nan,nan,nan,nan,nan,nan,0
2021716000,2021716000,0.7196731,0.7192578,0.7175228,0.7171406,nan,nan,nan,nan,nan,nan,nan,nan,0
2021820000,2021820000,0.7284945,0.72194517,0.72557306,0.7230418,nan,nan,nan,nan,nan,nan,nan,nan,0
2021920000,2021920000,0.7254459,0.7180965,0.7233136,0.7190983,nan,nan,nan,nan,nan,nan,nan,nan,0
2022020000,2022020000,0.72399276,0.72624034,0.7290653,0.7229185,nan,nan,nan,nan,nan,nan,nan,nan,0
2022120000,2022120000,0.72130483,0.7212132,0.7225176,0.72098166,nan,nan,nan,nan,nan,nan,nan,nan,0
2022220000,2022220000,0.7241099,0.72546875,0.7256271,0.7243065,nan,nan,nan,nan,nan,nan,nan,nan,0
2022320000,2022320000,0.7238772,0.71549386,0.724083,0.71424556,nan,nan,nan,nan,nan,nan,nan,nan,0
2022420000,2022420000,0.7192725,0.7247158,0.72094375,0.7250261,nan,nan,nan,nan,nan,nan,nan,nan,0
2022520000,2022520000,0.72198087,0.71195865,0.7234532,0.7122536,nan,nan,nan,nan,nan,nan,nan,nan,0
2022620000,2022620000,0.7250103,0.7177222,0.72433436,0.7158029,nan,nan,nan,nan,nan,nan,nan,nan,0
2022720000,2022720000,0.7219759,0.71075016,0.71965426,0.7099253,nan,nan,nan,nan,nan,nan,nan,nan,0
2022820000,2022820000,0.71985126,0.7159055,0.7193727,0.7175493,nan,nan,nan,nan,nan,nan,nan,nan,0
2022920000,2022920000,0.7107699,0.7166168,0.7154125,0.71291465,nan,nan,nan,nan,nan,nan,nan,nan,0
2023020000,2023020000,0.7158681,0.719798,0.7217819,0.7136178,nan,nan,nan,nan,nan,nan,nan,nan,0
2023120000,2023120000,0.7152177,0.71156913,0.7174789,0.7091901,nan,nan,nan,nan,nan,nan,nan,nan,0
2023220000,2023220000,0.7180126,0.714954,0.718618,0.71470386,nan,nan,nan,nan,nan,nan,nan,nan,0
2023320000,2023320000,0.71194506,0.71012133,0.70978206,0.7134789,nan,nan,nan,nan,nan,nan,nan,nan,0
2023420000,2023420000,0.7149177,0.7141644,0.7135042,0.7138633,nan,nan,nan,nan,nan,nan,nan,nan,0
2023520000,2023520000,0.7064847,0.71227765,0.7123276,0.70623755,nan,nan,nan,nan,nan,nan,nan,nan,0
2023616000,2023616000,0.71191925,0.7042456,0.7102336,0.7056194,nan,nan,nan,nan,nan,nan,nan,nan,0
2023720000,2023720000,0.7132004,0.7046237,0.7115868,0.7061113,nan,nan,nan,nan,nan,nan,nan,nan,0
2023820000,2023820000,0.7139338,0.7070708,0.71071213,0.7114739,nan,nan,nan,nan,nan,nan,nan,nan,0
2023916000,2023916000,0.7072423,0.70639384,0.712391,0.7024719,nan,nan,nan,nan,nan,nan,nan,nan,0
2024020000,2024020000,0.7116118,0.70801425,0.7097179,0.70787024,nan,nan,nan,nan,nan,nan,nan,nan,0
2024120000,2024120000,0.7115773,0.70465654,0.7083532,0.7051861,nan,nan,nan,nan,nan,nan,nan,nan,0
2024220000,2024220000,0.6852077,0.687483,0.68533033,0.686363,nan,nan,nan,nan,nan,nan,nan,nan,0
2024320000,2024320000,0.664037,0.6652131,0.66941905,0.66126895,nan,nan,nan,nan,nan,nan,nan,nan,0
2024420000,2024420000,0.65427995,0.65378267,0.6582138,0.65116763,nan,nan,nan,nan,nan,nan,nan,nan,0
2024520000,2024520000,0.6789068,0.669525,0.677961,0.6720396,nan,nan,nan,nan,nan,nan,nan,nan,0
2024620000,2024620000,0.69747746,0.6922655,0.70041037,0.6931504,nan,nan,nan,nan,nan,nan,nan,nan,0
2024720000,2024720000,0.7168218,0.7105453,0.71472263,0.7160131,nan,nan,nan,nan,nan,nan,nan,nan,0
2024820000,2024820000,0.72419685,0.72397506,0.7216245,0.72383267,nan,nan,nan,nan,nan,nan,nan,nan,0
2024920000,2024920000,0.7145031,0.7230927,0.71664083,0.716932,nan,nan,nan,nan,nan,nan,nan,nan,0
2025020000,2025020000,0.70981807,0.7101418,0.7075732,0.70979804,nan,nan,nan,nan,nan,nan,nan,nan,0
2025120000,2025120000,0.7040327,0.70741016,0.70091975,0.7103634,nan,nan,nan,nan,nan,nan,nan,nan,0
2025216000,2025216000,0.70868814,0.701387,0.707214,0.7015199,nan,nan,nan,nan,nan,nan,nan,nan,0
2025320000,2025320000,0.7074877,0.70380676,0.70498616,0.7051303,nan,nan,nan,nan,nan,nan,nan,nan,0
2025420000,2025420000,0.70727646,0.70255095,0.7107099,0.7003595,nan,nan,nan,nan,nan,nan,nan,nan,0
2025520000,2025520000,0.70347893,0.7049592,0.70492864,0.7062145,nan,nan,nan,nan,nan,nan,nan,nan,0
2025620000,2025620000,0.70759714,0.7053607,0.7113991,0.7024005,nan,nan,nan,nan,nan,nan,nan,nan,0
2025720000,2025720000,0.707719,0.7027505,0.70646614,0.7043393,nan,nan,nan,nan,nan,nan,nan,nan,0
2025820000,2025820000,0.7040454,0.706967,0.7048449,0.70667154,nan,nan,nan,nan,nan,nan,nan,nan,0
2025920000,2025920000,0.70500255,0.7058137,0.7065358,0.7042207,nan,nan,nan,nan,nan,nan,nan,nan,0
2026020000,2026020000,0.7084075,0.7048907,0.70213926,0.70706487,nan,nan,nan,nan,nan,nan,nan,nan,0
2026120000,2026120000,0.71121424,0.6985036,0.7054421,0.7008713,nan,nan,nan,nan,nan,nan,nan,nan,0
2026220000,2026220000,0.7101006,0.7002806,0.70929754,0.7034831,nan,nan,nan,nan,nan,nan,nan,nan,0
