timestamp,time_estimate,safe_time_estimate,valid
624280000,0.0,0.0,0
626320000,0.0,0.0,0
628336000,0.009927417,100.01092,1
630352000,0.04706887,100.05177,1
632376000,0.987332,101.08607,1
634400000,1.722612,101.894875,1
636416000,1.9743623,102.1718,1
638440000,8.051266,108.85639,1
640468000,32.518265,135.7701,1
642496000,33.187405,136.50615,1
644504000,32.731228,136.00435,1
646512000,31.93263,135.12589,1
648532000,31.258507,134.38435,1
650552000,9.685503,110.65405,1
652568000,7.9767075,108.774376,1
654576000,7.7285967,108.50146,1
656600000,7.7861137,108.56473,1
658616000,7.6382656,108.40209,1
660664000,6.266095,106.89271,1
662688000,5.963069,106.55937,1
664704000,0.0,0.0,0
666736000,0.0,0.0,0
