timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
614820000,55.9177329,48.6654641,0.0,0.0,0.0,0.0,0.0,100000,190,1,0,255,0,1
625232000,nan,nan,-1.0,0.0,0.0,nan,491.05734,22,190,1,1,255,0,1
625244000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,190,1,1,255,0,1
635292000,47.397984,8.5459133,-1.0,1.0,0.0,nan,490.68182,192,190,1,1,255,0,1
640668000,47.3981129,8.5460206,-1.0,1.0,0.0,nan,490.78458,192,190,1,1,255,0,1
645436000,47.3981728,8.5459294,-1.0,1.0,0.0,nan,490.71228,192,190,1,1,255,0,1
658920000,0.0,0.0,157.0,4.0,6.0,0.0,0.0,176,190,1,0,255,1,1
658940000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
658940000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
658940000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
