timestamp,speed_up,speed_down,want_takeoff
626224000,3.6000001,1.8000001,1
627224000,3.6000001,1.8000001,1
628224000,3.6000001,1.8000001,1
629224000,3.6000001,1.8000001,1
630224000,3.6000001,1.8000001,1
631224000,3.6000001,1.8000001,1
632224000,3.6000001,1.8000001,1
633224000,3.6000001,1.8000001,1
634224000,3.6000001,1.8000001,0
635224000,3.6000001,1.8000001,0
636224000,3.6000001,1.8000001,0
637224000,3.6000001,1.8000001,0
638224000,3.6000001,1.8000001,0
639224000,3.6000001,1.8000001,0
640224000,3.6000001,1.8000001,0
641224000,3.6000001,1.8000001,0
642224000,3.6000001,1.8000001,0
643224000,3.6000001,1.8000001,0
644224000,3.6000001,1.8000001,0
645224000,3.6000001,1.8000001,0
646224000,3.6000001,1.8000001,0
647224000,3.6000001,1.8000001,0
648224000,3.6000001,1.8000001,0
649224000,3.6000001,1.8000001,0
650224000,3.6000001,1.8000001,0
651224000,3.6000001,1.8000001,0
652224000,3.6000001,1.8000001,0
653224000,3.6000001,1.8000001,0
654224000,3.6000001,1.8000001,0
655224000,3.6000001,1.8000001,0
656224000,3.6000001,1.8000001,0
657224000,3.6000001,1.8000001,0
658224000,3.6000001,1.8000001,0
659224000,3.6000001,1.8000001,0
660224000,3.6000001,1.8000001,0
661224000,3.6000001,1.8000001,0
662224000,3.6000001,1.8000001,0
663224000,3.6000001,1.8000001,0
664224000,3.6000001,1.8000001,0
665224000,3.6000001,1.8000001,0
666224000,3.6000001,1.8000001,0
667224000,3.6000001,1.8000001,0
