timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
634016000,633862000,633864000,47.3981479,8.545756599999999,0,1.0,1.0,-0.013442213,-0.020228008,-0.009172906,-0.022792824,1.1260237,1.1263301,6.4188025e-06,1.4531168e-05,-3.9807965e-06,-1.8797304e-05,0,0,1
634416000,634262000,634264000,47.3981481,8.5457567,0,1.0,1.0,-0.025360929,-0.020467952,-0.016367583,-0.021759547,1.1260376,1.1262956,2.2847433e-05,1.4878407e-05,-1.2365968e-05,-1.7055572e-05,0,0,1
634816000,634662000,634664000,47.3981482,8.545756899999999,0,1.0,1.0,-0.016323388,-0.027509553,-0.016347941,-0.024315106,1.1260997,1.1263132,9.464632e-06,2.6876203e-05,-1.1076485e-05,-2.1420297e-05,0,0,1
635024000,634866000,634872000,47.3981482,8.5457568,0,1.0,1.0,-0.005532528,-0.013491159,-0.013213929,-0.021178622,1.1154746,1.115638,1.0976087e-06,6.525822e-06,-8.184879e-06,-1.7104285e-05,0,0,1
635424000,635266000,635272000,47.3981482,8.545756899999999,0,1.0,1.0,-0.009959147,-0.016960371,-0.011767359,-0.019303843,1.1169657,1.1171036,3.5519308e-06,1.0300001e-05,-6.1257906e-06,-1.40801585e-05,0,0,1
635824000,635666000,635672000,47.398148299999995,8.5457571,0,1.0,1.0,-0.030105222,-0.030279597,-0.019917522,-0.024181956,1.1183437,1.1184627,3.241667e-05,3.2789794e-05,-1.7810627e-05,-2.2395554e-05,0,0,1
636224000,636066000,636072000,47.398147699999996,8.5457574,0,1.0,1.0,-0.06145532,-0.041254546,-0.038378768,-0.031769775,1.1196004,1.1201243,0.00013493228,6.077674e-05,-6.9864705e-05,-3.945386e-05,0,0,1
636624000,636466000,636472000,47.3981446,8.5457576,0,1.0,1.0,-0.09524333,-0.041591696,-0.063651904,-0.036135074,1.1207172,1.1244713,0.00032376737,6.153538e-05,-0.00018271034,-4.9267866e-05,0,0,1
637016000,636862000,636864000,47.398137399999996,8.545757799999999,0,1.0,1.0,-0.0772183,-0.024008624,-0.06964777,-0.030775616,1.1212231,1.1279253,0.00021272007,2.0441568e-05,-0.00019597357,-3.6527672e-05,0,0,1
637424000,637266000,637272000,47.3981261,8.5457583,0,1.0,1.0,-0.076479144,-0.018490473,-0.072700724,-0.025285352,1.1225753,1.1299679,0.00020841576,1.2102913e-05,-0.00020153401,-2.5612182e-05,0,0,1
637824000,637666000,637672000,47.398111799999995,8.54576,0,1.0,1.0,-0.054362748,-0.013451982,-0.06455051,-0.020026077,1.1232765,1.1292434,0.00010523886,6.409808e-06,-0.00015873616,-1.7077793e-05,0,0,1
638224000,638066000,638072000,47.3980957,8.545764199999999,0,1.0,1.0,-0.045953076,-0.004311655,-0.056284986,-0.013041888,1.1239212,1.128534,7.515422e-05,6.5892107e-07,-0.00012158863,-9.780517e-06,0,0,1
638624000,638466000,638472000,47.398078500000004,8.5457719,0,1.0,1.0,0.021071345,-0.013222115,-0.021904394,-0.01312199,1.1245562,1.1278108,1.5792953e-05,6.2004838e-06,-6.0530147e-05,-8.18939e-06,0,0,1
639024000,638866000,638872000,47.3980622,8.5457832,0,1.0,1.0,0.014027545,-0.027596153,-0.0059346426,-0.019554952,1.1251851,1.1272135,6.9951875e-06,2.702408e-05,-3.0518888e-05,-1.6560363e-05,0,0,1
639424000,639266000,639272000,47.398046099999995,8.545797799999999,0,1.0,1.0,0.059331924,-0.060797505,0.023072721,-0.03788498,1.1257105,1.1267297,0.00012508642,0.00013122354,3.863903e-05,-6.7521774e-05,0,0,1
639824000,639666000,639672000,47.3980307,8.5458144,0,1.0,1.0,0.08154449,-0.08487699,0.049060177,-0.05877032,1.1261014,1.1263653,0.00023619556,0.00025583545,0.00012644194,-0.00015121675,0,0,1
640224000,640066000,640072000,47.398016899999995,8.5458316,0,1.0,1.0,0.09831476,-0.077936076,0.070951104,-0.067288436,1.1263561,1.1260127,0.00034325884,0.00021577135,0.00022280501,-0.00017990769,0,0,1
640624000,640466000,640472000,47.3980056,8.5458492,0,1.0,1.0,0.11368124,-0.11266216,0.08994228,-0.087454535,1.1264205,1.1258479,0.00045892008,0.0004509583,0.00032774505,-0.00030037464,0,0,1
641024000,640866000,640872000,47.3979973,8.5458654,0,1.0,1.0,0.10881123,-0.10591086,0.09832848,-0.09565735,1.1263498,1.1259955,0.00042046915,0.00039847798,0.00036895578,-0.00034397613,0,0,1
641424000,641266000,641272000,47.3979918,8.545880100000002,0,1.0,1.0,0.12792282,-0.08868654,0.11148152,-0.09255921,1.1262664,1.1264837,0.0005811857,0.00027928685,0.0004632802,-0.00031522533,0,0,1
641824000,641666000,641672000,47.397990500000006,8.5458944,0,1.0,1.0,0.13062038,-0.08646579,0.119987674,-0.08985102,1.1262047,1.1273502,0.00060598867,0.000265271,0.00052670616,-0.00029302342,0,0,1
