timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
625252000,-0.0011121727,0.0,0.0006593657,0.0,0.0,-1.1641532e-10,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
625260000,0.00013064162,-7.2759576e-11,0.00054341886,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
625452000,0.00017875899,-0.0010805267,-5.14242e-05,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
625652000,9.063876e-05,-0.00023921975,-0.00028537586,0.0,0.0,-1.1641532e-10,0,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
625852000,0.003757368,-0.0026322843,-7.558856e-05,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
626052000,0.00048076434,-0.0019984082,0.00030811405,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
626252000,-0.0016453618,-0.00038741156,-0.00040541193,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
626452000,-1.6298145e-09,9.313226e-10,-1.5133992e-09,0.0,0.0,-3.7252903e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
626652000,2.3283064e-09,9.313226e-10,-4.3364707e-09,0.0,0.0,-7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
626852000,5.966285e-10,3.259629e-09,7.043127e-09,0.0,0.0,7.450581e-09,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
627052000,9.080395e-09,-7.450581e-09,1.1641532e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
627252000,4.656613e-09,6.9849193e-10,-8.6206455e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
627452000,1.7229468e-08,1.094304e-08,-9.371433e-09,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
627652000,2.514571e-08,1.5832484e-08,4.598405e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
627852000,2.8405339e-08,-4.8894435e-09,8.294592e-09,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
628052000,6.519258e-09,-4.8894435e-09,-1.1314114e-09,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
628252000,2.2351742e-08,6.0535967e-09,1.1368684e-08,0.0,0.0,-2.9802322e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
