timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
625256000,625256000,0.0,0.0,-0.001
625260000,625260000,0.0,0.0,-0.001
625276000,625276000,0.0,0.0,-0.001
625296000,625296000,0.0,0.0,-0.001
625316000,625316000,0.0,0.0,-0.001
625336000,625336000,0.0,0.0,-0.001
625356000,625356000,0.0,0.0,-0.001
625376000,625376000,0.0,0.0,-0.001
625396000,625396000,0.0,0.0,-0.001
625416000,625416000,0.0,0.0,-0.001
625436000,625436000,0.0,0.0,-0.001
625456000,625456000,0.0,0.0,-0.001
625476000,625476000,0.0,0.0,-0.001
625496000,625496000,0.0,0.0,-0.001
625516000,625516000,0.0,0.0,-0.001
625536000,625536000,0.0,0.0,-0.001
625552000,625552000,0.0,0.0,-0.001
625576000,625576000,0.0,0.0,-0.001
625596000,625596000,0.0,0.0,-0.001
625616000,625616000,0.0,0.0,-0.001
625636000,625636000,0.0,0.0,-0.001
625656000,625656000,0.0,0.0,-0.001
625676000,625676000,0.0,0.0,-0.001
625692000,625692000,0.0,0.0,-0.001
625716000,625716000,0.0,0.0,-0.001
625736000,625736000,0.0,0.0,-0.001
625756000,625756000,0.0,0.0,-0.001
625776000,625776000,0.0,0.0,-0.001
625796000,625796000,0.0,0.0,-0.001
625816000,625816000,0.0,0.0,-0.001
625836000,625836000,0.0,0.0,-0.001
625856000,625856000,0.0,0.0,-0.001
625876000,625876000,0.0,0.0,-0.001
625896000,625896000,0.0,0.0,-0.001
625916000,625916000,0.0,0.0,-0.001
625936000,625936000,0.0,0.0,-0.001
625956000,625956000,0.0,0.0,-0.001
625976000,625976000,0.0,0.0,-0.001
625992000,625992000,0.0,0.0,-0.001
626016000,626016000,0.0,0.0,-0.001
626036000,626036000,0.0,0.0,-0.001
626056000,626056000,0.0,0.0,-0.001
626076000,626076000,0.0,0.0,-0.001
626096000,626096000,0.0,0.0,-0.001
626116000,626116000,0.0,0.0,-0.001
626136000,626136000,0.0,0.0,-0.001
626156000,626156000,0.0,0.0,-0.001
626176000,626176000,0.0,0.0,-0.001
626196000,626196000,0.0,0.0,-0.001
626216000,626216000,0.0,0.0,-0.001
626236000,626236000,0.0,0.0,-0.001
626256000,626256000,0.0,0.0,-0.001
626276000,626276000,0.0,0.0,-0.007832671
626296000,626296000,0.0,0.0,-0.010942974
626316000,626316000,0.0,0.0,-0.012836569
626336000,626336000,0.0,0.0,-0.016185122
626356000,626356000,0.0,0.0,-0.018363167
626376000,626376000,0.0,0.0,-0.021355493
626396000,626396000,0.0,0.0,-0.023678765
