timestamp,load,ram_usage
625184000,0.22,0.18255423
625684000,0.28846154,0.18272017
626184000,0.19444445,0.18286705
626684000,0.25490198,0.1827718
627184000,0.23076923,0.1830024
627684000,0.24528302,0.18297733
628184000,0.19672132,0.18296029
628684000,0.25490198,0.18291266
629184000,0.22,0.18282795
629684000,0.22222222,0.1826555
630184000,0.19672132,0.18280488
630684000,0.2,0.1827713
631184000,0.24,0.18290615
631684000,0.2264151,0.18293573
632184000,0.26415095,0.18283296
632684000,0.088607594,0.18270813
633184000,0.16666667,0.18257178
633684000,0.22413793,0.18259233
634184000,0.22222222,0.18279034
634684000,0.25,0.18283997
635184000,0.25490198,0.18278334
635684000,0.20634921,0.18256326
636188000,0.1971831,0.18267354
636684000,0.26,0.18291818
637184000,0.22222222,0.1827287
637684000,0.25490198,0.18281692
638184000,0.18309858,0.18290113
638684000,0.22950819,0.1827753
639184000,0.23076923,0.18264797
639684000,0.24,0.18283497
640184000,0.24528302,0.18280087
640684000,0.23076923,0.1827312
641184000,0.24528302,0.18286955
641684000,0.25490198,0.18293723
642184000,0.25490198,0.18288559
642684000,0.24528302,0.18289112
643184000,0.25490198,0.18295127
643684000,0.26923078,0.18283145
644184000,0.2264151,0.18278784
644684000,0.25490198,0.18276228
645184000,0.25490198,0.18284048
645684000,0.25490198,0.18272217
646184000,0.25,0.18276478
646684000,0.25,0.18286254
647184000,0.28,0.18301643
647684000,0.25,0.18300089
648184000,0.23076923,0.18282293
648684000,0.23076923,0.18273018
649184000,0.23076923,0.18291467
649684000,0.23076923,0.18289411
650184000,0.26,0.18271264
650684000,0.23076923,0.18289612
651184000,0.22,0.18279335
651684000,0.20967741,0.1828114
652184000,0.21666667,0.18291366
652684000,0.23529412,0.18282443
653184000,0.21568628,0.18276078
653684000,0.23529412,0.18299337
654184000,0.23076923,0.18295577
654684000,0.25490198,0.18282744
655184000,0.23076923,0.1830786
655684000,0.25490198,0.1829267
656184000,0.21153846,0.18285602
656684000,0.21311475,0.18283094
657184000,0.21311475,0.18273671
657684000,0.23529412,0.18270662
658184000,0.23076923,0.18296179
658684000,0.22,0.1829252
659184000,0.15189873,0.18265851
659684000,0.18333334,0.18279937
660184000,0.19672132,0.18290664
660684000,0.25490198,0.18277079
661184000,0.09756097,0.18277581
661684000,0.25,0.18313073
662184000,0.22,0.18295878
662684000,0.23076923,0.18313524
663184000,0.22,0.18299137
663684000,0.23076923,0.18295276
664184000,0.23076923,0.18284048
664684000,0.2,0.18274873
665184000,0.27450982,0.18284048
665684000,0.23076923,0.18290414
666184000,0.24,0.18301593
666684000,0.20833333,0.18282494
667184000,0.26415095,0.18273169
