timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
626104000,626104000,197388,-0.03895421,-0.20418426,0.43394712,11.832727,0
627112000,627112000,197388,-0.03817753,-0.21050014,0.4254748,11.832727,0
628104000,628104000,197388,-0.04287456,-0.20774865,0.43018916,11.832727,0
629104000,629104000,197388,-0.040769547,-0.21351662,0.42964965,11.832727,0
630112000,630112000,197388,-0.039418228,-0.21252514,0.43092093,11.832697,0
631108000,631108000,197388,-0.037141018,-0.21774675,0.43095276,11.829554,0
632104000,632104000,197388,-0.04111849,-0.2218705,0.4316831,11.82461,0
633112000,633112000,197388,-0.044712786,-0.21199612,0.4257004,11.819757,0
634104000,634104000,197388,-0.034496717,-0.21219979,0.42633685,11.816584,0
635104000,635104000,197388,-0.036640637,-0.2226891,0.43109375,11.815332,0
636112000,636112000,197388,-0.019094158,-0.101481505,0.47216147,11.814447,0
637104000,637104000,197388,-0.014121308,-0.058469992,0.47668007,11.814051,0
638116000,638116000,197388,-0.10481974,-0.13763271,0.44655144,11.814386,0
639112000,639112000,197388,-0.15495747,-0.120067514,0.4411144,11.815027,0
640108000,640108000,197388,-0.23522407,-0.11221306,0.40759373,11.815699,0
641104000,641104000,197388,-0.23585512,-0.19820331,0.3669988,11.815973,0
642112000,642112000,197388,-0.09028162,-0.33510685,0.33627176,11.815821,0
643108000,643108000,197388,0.040890384,-0.24699491,0.40979412,11.816126,0
644112000,644112000,197388,0.016693633,-0.22824049,0.4201775,11.816095,0
645112000,645112000,197388,0.030984085,-0.16686532,0.44763747,11.816034,0
646104000,646104000,197388,0.02221775,-0.24351625,0.41392106,11.815943,0
647104000,647104000,197388,0.074134246,-0.28982845,0.37416598,11.815882,0
648112000,648112000,197388,0.14403762,-0.17608649,0.42209217,11.816187,0
649108000,649108000,197388,0.15030657,-0.17140655,0.42108715,11.816278,0
650104000,650104000,197388,0.10232739,-0.18860367,0.43195,11.816309,0
651112000,651112000,197388,0.051550906,-0.19101596,0.4381311,11.8163395,0
652108000,652108000,197388,0.028327782,-0.20309724,0.4355831,11.816309,0
653104000,653104000,197388,0.038103092,-0.21318713,0.43299782,11.816278,0
654112000,654112000,197388,0.039380692,-0.21735345,0.42711416,11.816248,0
655104000,655104000,197388,0.013782151,-0.22180021,0.42194617,11.816156,0
656116000,656116000,197388,0.020586297,-0.2168417,0.42592326,11.816126,0
657112000,657112000,197388,0.015126279,-0.2116537,0.4280355,11.816065,0
658108000,658108000,197388,0.022080926,-0.21065713,0.43471125,11.816034,0
659104000,659104000,197388,0.021575479,-0.21410996,0.42812353,11.816065,0
660112000,660112000,197388,-0.07640474,-0.20797619,0.42631137,11.818018,0
661108000,661108000,197388,0.056282215,-0.18377711,0.43833786,11.822657,0
662104000,662104000,197388,0.058801316,-0.21020296,0.42684162,11.827234,0
663112000,663112000,197388,0.039015744,-0.2279407,0.42294762,11.831842,0
664108000,664108000,197388,0.027875092,-0.21312219,0.42433366,11.832727,0
665104000,665104000,197388,0.027799124,-0.21685041,0.42633066,11.832727,0
666112000,666112000,197388,0.030797543,-0.20918943,0.42978483,11.832727,0
667108000,667108000,197388,0.02839716,-0.21554838,0.42609695,11.832727,0
