timestamp,nav_state,failure
625252000,17,0
625760000,17,0
626264000,17,0
626768000,17,0
627276000,17,0
627780000,17,0
628284000,17,0
628792000,17,0
629296000,17,0
629800000,17,0
630304000,17,0
630808000,17,0
631312000,17,0
631820000,17,0
632324000,17,0
632828000,17,0
633332000,17,0
633492000,4,0
633996000,4,0
634500000,4,0
635004000,4,0
635560000,4,0
636104000,4,0
636616000,4,0
637128000,4,0
637680000,4,0
638184000,4,0
638696000,4,0
639200000,4,0
639712000,4,0
640216000,4,0
640728000,4,0
641232000,4,0
641736000,4,0
642252000,4,0
642792000,4,0
643296000,4,0
643808000,4,0
644360000,4,0
644872000,4,0
645376000,4,0
645904000,4,0
646448000,4,0
646960000,4,0
647464000,4,0
647968000,4,0
648472000,4,0
648976000,4,0
649480000,4,0
649984000,4,0
650488000,4,0
651000000,4,0
651504000,4,0
652012000,4,0
652568000,4,0
653072000,4,0
653616000,4,0
654128000,4,0
654680000,4,0
655192000,4,0
655696000,4,0
656200000,4,0
656704000,4,0
657208000,4,0
657712000,4,0
658216000,4,0
658720000,4,0
658940000,18,0
659456000,18,0
659960000,18,0
660464000,18,0
660968000,18,0
661472000,18,0
661980000,18,0
662484000,18,0
662988000,18,0
663492000,18,0
663996000,18,0
664500000,18,0
665004000,18,0
665512000,18,0
666064000,18,0
666532000,4,0
667036000,4,0
