timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
627968000,627816000,627816000,0,-488.08524,12.369666,0.0032043457,-0.004098534,12.456419,3.2972018e-08,-1.0827739e-06,0,0,1
628040000,627886666,627888000,0,-487.9819,12.369734,-0.0,-0.016156234,12.44999,3.308068e-05,-5.0450985e-06,0,0,1
628112000,627960000,627960000,0,-488.0392,12.369799,-0.0,-0.019804362,12.451501,6.412399e-06,-5.219987e-06,0,0,1
628184000,628032000,628032000,0,-487.9927,12.3698635,-0.0,-0.028824102,12.4530325,2.6869433e-05,-7.945092e-06,0,0,1
628256000,628102666,628104000,0,-488.04053,12.369926,-0.0,-0.030696573,12.454584,6.2023446e-06,-7.729286e-06,0,0,1
628328000,628176000,628176000,0,-488.14896,12.369988,0.06414795,-0.0185652,12.456156,1.32142195e-05,-5.050444e-06,0,0,1
628400000,628248000,628248000,0,-488.04504,12.370049,-0.0,-0.021356555,12.4577465,5.3294593e-06,-5.0855647e-06,0,0,1
628472000,628318666,628320000,0,-488.0736,12.37011,-0.0,-0.020472977,12.451224,6.497105e-07,-4.5362694e-06,0,0,1
628544000,628392000,628392000,0,-488.07843,12.370168,-0.0,-0.019107325,12.452739,3.0825157e-07,-3.995472e-06,0,0,1
628616000,628462666,628464000,0,-488.0269,12.370224,-0.0,-0.024378639,12.454272,1.2217276e-05,-5.013584e-06,0,0,1
628688000,628536000,628536000,0,-488.08853,12.37028,-0.0,-0.02129945,12.455828,2.9908012e-10,-4.372345e-06,0,0,1
628760000,628606666,628608000,0,-488.0228,12.370336,-0.0,-0.02687372,12.457402,1.41205655e-05,-5.5794744e-06,0,0,1
628832000,628677333,628680000,0,-488.10794,12.37039,0.019714355,-0.021104613,12.450891,1.248604e-06,-4.733938e-06,0,0,1
628904000,628752000,628752000,0,-487.91995,12.370443,-0.0,-0.040278003,12.452389,9.138741e-05,-1.59929e-05,0,0,1
628976000,628824000,628824000,0,-488.12817,12.370495,0.03942871,-0.030244991,12.453907,4.9932064e-06,-1.3351293e-05,0,0,1
