timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
625392000,625392000,-107008.37,-2875729.8,-488.06223,-0.62319064,0.0019835995,-0.00013965143,-0.78206754,0.046673786,0.0068646106,0.00936629,0.0020254601,-0.013717753,0.0064558242,0.1108824,0.11126976,0.082302466,1.5740861e-05,1.5727494e-05,0.00039055655,0.013632533,0.0137964655,0.005124697,1,1,16,0
625408000,625408000,-107008.37,-2875729.8,-488.06238,-0.623207,0.0020415077,-0.00010795274,-0.78205436,0.04750487,0.007853312,0.01011313,-0.010757407,0.0070550507,-0.008724207,0.11168232,0.11207757,0.08220348,1.5792224e-05,1.5779106e-05,0.00039074582,0.013745402,0.013910804,0.005125906,1,1,16,0
625416000,625416000,-107008.37,-2875729.8,-488.06244,-0.623197,0.0020775213,-7.0037015e-05,-0.7820622,0.04708372,0.007934304,0.010431576,-0.013553804,0.0010628415,0.0023280096,0.11208556,0.112484805,0.08242771,1.5817952e-05,1.5805394e-05,0.00039084008,0.013802307,0.013968402,0.005134433,1,1,16,0
625424000,625424000,-107008.37,-2875729.8,-488.0625,-0.6231734,0.0021158028,-6.178572e-05,-0.7820809,0.0472676,0.007279559,0.010199471,-0.008094348,0.0061229784,0.006722027,0.11248084,0.11289023,0.08265262,1.58274e-05,1.5822035e-05,0.00039017832,0.013850994,0.014021711,0.00514296,1,1,16,0
625432000,625432000,-107008.37,-2875729.8,-488.06253,-0.6231511,0.0021102652,-5.5407156e-05,-0.78209865,0.04690872,0.007543771,0.01066798,-0.00090335857,-0.0021332654,0.0064549325,0.11288742,0.11330077,0.08287821,1.5851163e-05,1.5846734e-05,0.00039016112,0.013906987,0.014078211,0.005151488,1,1,16,0
625448000,625448000,-107008.37,-2875729.8,-488.06262,-0.6231633,0.0020644856,-7.436818e-06,-0.7820891,0.047007263,0.007929529,0.010883076,0.0002975315,-0.008391444,-0.008454999,0.11370907,0.11413077,0.0833314,1.5903344e-05,1.589826e-05,0.00039034945,0.014021408,0.014194359,0.00516855,1,1,16,0
625456000,625456000,-107008.37,-2875729.8,-488.06265,-0.623178,0.002059887,-2.8846316e-05,-0.78207743,0.047605067,0.008935808,0.011326796,0.0044253464,0.002394313,-0.0055255555,0.11412325,0.11454917,0.08355901,1.5930362e-05,1.5923775e-05,0.00039044314,0.014079289,0.014252934,0.0051770825,1,1,16,0
625464000,625464000,-107008.37,-2875729.8,-488.06268,-0.6231485,0.0020894296,-4.683655e-05,-0.78210074,0.047969975,0.009047368,0.011346761,-0.0015668311,0.008519475,0.008589373,0.11453968,0.11496986,0.08378729,1.5956612e-05,1.59498e-05,0.00039053714,0.014137156,0.014311499,0.0051856157,1,1,16,0
625472000,625472000,-107008.37,-2875729.8,-488.0627,-0.62311906,0.0021131637,-6.3043417e-06,-0.78212416,0.048311684,0.009380301,0.011573531,-0.012086339,-0.0017332326,0.008589241,0.11495838,0.115392834,0.08344947,1.5982983e-05,1.5976542e-05,0.00039063048,0.014194732,0.014369805,0.005177657,1,1,16,0
625488000,625488000,-107008.37,-2875729.8,-488.06274,-0.6231402,0.0021780576,-4.0058735e-06,-0.78210706,0.047743715,0.009077855,0.011783609,-0.0060942797,0.0071880356,-0.011118214,0.11580261,0.1162457,0.08390633,1.603537e-05,1.6030019e-05,0.00039081764,0.014311318,0.014488075,0.005194727,1,1,16,0
625496000,625496000,-107008.37,-2875729.8,-488.06274,-0.6231542,0.0021866364,2.7881528e-05,-0.78209597,0.047630467,0.008198883,0.012172413,-0.007958477,-0.0033313513,-0.005259207,0.11621656,0.11667095,0.08413578,1.6045162e-05,1.6046108e-05,0.0003901576,0.0143607585,0.014542492,0.005203263,1,1,16,0
625504000,625504000,-107008.37,-2875729.8,-488.06274,-0.6231514,0.002200004,2.9755178e-05,-0.7820982,0.04665665,0.0077223787,0.012423767,-0.0028972942,0.002261458,-6.4694344e-05,0.11664425,0.11710314,0.084365904,1.6071612e-05,1.6073265e-05,0.0003902503,0.014419522,0.014601943,0.0052118,1,1,16,0
625512000,625512000,-107008.37,-2875729.8,-488.06274,-0.6231316,0.0021854334,4.77999e-05,-0.7821139,0.04678708,0.008097327,0.012184165,-0.0016987761,-0.0057280133,0.005394862,0.11707425,0.11753767,0.084596716,1.6098433e-05,1.6100115e-05,0.00039034302,0.014477819,0.014661077,0.0052203387,1,1,16,0
625528000,625528000,-107008.37,-2875729.8,-488.06274,-0.62315327,0.0021424626,0.00015049076,-0.78209674,0.04752279,0.007814638,0.011591806,0.0014969249,-0.0010676062,-0.0036599357,0.11794124,0.11841381,0.085060395,1.6149797e-05,1.6152577e-05,0.0003905322,0.014595664,0.014781035,0.00523742,1,1,16,0
625536000,625536000,-107008.36,-2875729.8,-488.06274,-0.6231509,0.0021122177,7.7127654e-05,-0.78209877,0.047831047,0.008130494,0.011776453,0.0186743,0.005457283,-6.449886e-05,0.118378244,0.11885545,0.08529326,1.6175174e-05,1.6179267e-05,0.00039062678,0.014655216,0.014841464,0.0052459617,1,1,16,0
625544000,625544000,-107008.36,-2875729.8,-488.06274,-0.6231223,0.002084877,6.888239e-05,-0.7821218,0.048373852,0.007974179,0.011769448,0.0054917033,-0.004130263,0.0083241975,0.118817605,0.11929948,0.08493954,1.6200547e-05,1.6205458e-05,0.00039072192,0.014714638,0.014901789,0.0052373474,1,1,16,0
625552000,625552000,-107008.36,-2875729.8,-488.06274,-0.6231169,0.0020835837,7.202943e-05,-0.7821259,0.048135508,0.008189058,0.012683742,-0.0007667639,-0.0008011938,0.0008674376,0.119259335,0.11974592,0.08517217,1.6226712e-05,1.6232123e-05,0.00039081578,0.014774027,0.014962213,0.005245891,1,1,16,0
625568000,625568000,-107008.36,-2875729.8,-488.06274,-0.623129,0.0020756957,7.601659e-05,-0.7821164,0.047875963,0.00845448,0.012078113,-0.004628349,-0.0006680485,0.0031311268,0.12013677,0.120640665,0.085639484,1.6262367e-05,1.6275682e-05,0.00039024936,0.014883958,0.015078526,0.00526298,1,1,16,0
625576000,625576000,-107008.36,-2875729.8,-488.0627,-0.6231092,0.0020922811,9.2946e-05,-0.782132,0.04815025,0.008713061,0.0129959555,-0.0062260595,0.00053063297,0.005395656,0.12058549,0.121094294,0.08587418,1.6288986e-05,1.630257e-05,0.00039034273,0.014944295,0.015139883,0.005271525,1,1,16,0
625584000,625584000,-107008.36,-2875729.8,-488.0627,-0.62309134,0.0021025813,2.5061936e-05,-0.78214633,0.04770618,0.00911749,0.013049658,0.011350795,0.012514959,0.0048628687,0.12103662,0.121550374,0.08610956,1.631514e-05,1.6329039e-05,0.0003904369,0.015004373,0.015200787,0.0052800714,1,1,16,0
625592000,625592000,-107008.36,-2875729.8,-488.06268,-0.6230728,0.0020928863,-9.356626e-05,-0.7821611,0.047064655,0.008932179,0.013516729,0.0244004,0.016509445,0.00512951,0.12149017,0.122008905,0.086345635,1.6340959e-05,1.6355696e-05,0.0003905315,0.015064745,0.015262036,0.005288619,1,1,16,0
625608000,625608000,-107008.36,-2875729.8,-488.06262,-0.62308645,0.0021087967,-0.00017268925,-0.78215027,0.046839863,0.009241212,0.013577641,0.012282893,0.00013114011,-0.008985449,0.12240459,0.122933395,0.08681986,1.6393264e-05,1.6408305e-05,0.0003907206,0.01518627,0.015385745,0.005305721,1,1,16,0
625616000,625616000,-107008.36,-2875729.8,-488.06277,-0.62307084,0.0021003832,-0.00018113444,-0.7821627,0.046366066,0.009392567,0.013783089,0.002695568,-0.00040156726,0.004197278,0.10308382,0.10338347,0.07867652,1.5225652e-05,1.519813e-05,0.00039051074,0.012490792,0.012627279,0.0049697147,1,1,16,0
625624000,625624000,-107008.36,-2875729.8,-488.06296,-0.62304294,0.0020908995,-0.00015568931,-0.78218484,0.04552624,0.009392962,0.01346784,-0.0042217965,-0.005992724,0.008191552,0.10343925,0.10374203,0.07888948,1.5251024e-05,1.5224342e-05,0.00039060457,0.01254316,0.012680423,0.0049782223,1,1,16,0
625632000,625632000,-107008.36,-2875729.8,-488.0631,-0.62302476,0.0020504275,-0.00013407468,-0.78219944,0.044986423,0.0087709725,0.013358386,0.0013707004,-0.01145212,0.0051289527,0.103796035,0.104101874,0.0791031,1.527464e-05,1.5247908e-05,0.00039058787,0.012594983,0.012732684,0.004986729,1,1,16,0
625648000,625648000,-107008.36,-2875729.8,-488.0634,-0.6230254,0.0020952108,-0.00015656945,-0.7821989,0.044888876,0.008851659,0.013187557,-0.0018219237,0.006922291,-0.0071252505,0.104509465,0.10482619,0.07953227,1.5310787e-05,1.529058e-05,0.000390017,0.012693267,0.012835799,0.0050037475,1,1,16,0
625656000,625656000,-107008.36,-2875729.8,-488.06354,-0.6230106,0.002078944,-0.00015645668,-0.78221077,0.04489977,0.008832384,0.013275239,0.0017733657,-0.0033308365,0.00445954,0.10487269,0.10519271,0.07974784,1.5336447e-05,1.5316367e-05,0.0003901108,0.012746257,0.012889249,0.0050122575,1,1,16,0
625664000,625664000,-107008.36,-2875729.8,-488.06366,-0.623027,0.0020943186,-0.00019433763,-0.7821975,0.044334497,0.008629323,0.013684265,0.004303273,0.008786576,-0.005527395,0.105237916,0.105561264,0.079964064,1.5361651e-05,1.5342106e-05,0.0003902052,0.01279972,0.012943469,0.0050207702,1,1,16,0
625672000,625672000,-107008.36,-2875729.8,-488.06375,-0.62303114,0.002024107,-0.00022599415,-0.78219444,0.04339407,0.007960603,0.013932466,0.016420625,-0.008923704,-0.0015325221,0.105605155,0.105931856,0.08018094,1.5385867e-05,1.536865e-05,0.00039029962,0.01285359,0.012998122,0.005029284,1,1,16,0
625688000,625688000,-107008.37,-2875729.8,-488.06396,-0.623041,0.0020322467,-0.00021477477,-0.7821865,0.0428968,0.0074322163,0.014803485,-0.004618213,0.0039927945,-0.008589972,0.10634572,0.10667921,0.080094695,1.5437312e-05,1.5418926e-05,0.00039048886,0.012960992,0.013107213,0.005031333,1,1,16,0
625696000,625696000,-107008.37,-2875729.8,-488.06406,-0.62305814,0.0020275514,-0.00023510115,-0.78217286,0.043524634,0.0070626084,0.015040297,0.0040370915,0.0021286185,-0.0056604687,0.10671907,0.107055984,0.08031214,1.5462692e-05,1.5444355e-05,0.00039058356,0.01301503,0.013162134,0.0050398484,1,1,16,0
625704000,625704000,-107008.37,-2875729.8,-488.06415,-0.6230479,0.0020038676,-0.00023829043,-0.7821811,0.04410533,0.0073421625,0.015046767,0.0036375828,-0.00426297,0.003127917,0.107094474,0.10743485,0.08053024,1.5488296e-05,1.5470147e-05,0.00039067786,0.013068709,0.013216464,0.0050483644,1,1,16,0
