timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
626160000,626160000,1310988,0.090979666,0.02633622,-9.718064,11.832727,0,0,0,0,1
627160000,627160000,1310988,-0.059855044,-0.0023942017,-9.856929,11.832727,0,0,0,0,1
628160000,628160000,1310988,0.007182605,-0.06464344,-9.888053,11.832727,0,0,0,0,1
629160000,629160000,1310988,-0.1316811,-0.045489833,-9.694122,11.832727,0,0,0,0,1
630160000,630160000,1310988,0.035913024,0.08619126,-10.453085,11.832666,0,0,0,0,1
631160000,631160000,1310988,-0.062249243,0.11252748,-9.883265,11.829309,0,0,0,0,1
632160000,632160000,1310988,-0.11731588,-0.011971008,-9.634268,11.824366,0,0,0,0,1
633160000,633160000,1310988,-0.016759412,0.045489833,-9.586384,11.819544,0,0,0,0,1
634160000,634160000,1310988,-0.047884032,-0.1388637,-10.070012,11.816553,0,0,0,0,1
635160000,635160000,1310988,-0.011971008,0.12210429,-9.552865,11.815271,0,0,0,0,1
636160000,636160000,1310988,-0.1412579,-0.18195933,-10.065224,11.814417,0,0,0,0,1
637160000,637160000,1310988,-0.80445176,-0.7206547,-9.940725,11.814051,0,0,0,0,1
638160000,638160000,1310988,-1.8866309,0.1388637,-9.631873,11.814417,0,0,0,0,1
639160000,639160000,1310988,-1.7381904,0.89064306,-9.68694,11.815058,0,0,0,0,1
640160000,640160000,1310988,-1.4149733,0.8451532,-9.866506,11.815699,0,0,0,0,1
641160000,641160000,1310988,-0.82121116,0.6536171,-10.46745,11.815973,0,0,0,0,1
642160000,642160000,1310988,-0.59136784,1.0007763,-10.125079,11.815851,0,0,0,0,1
643160000,643160000,1310988,-1.2689269,0.9576807,-10.132261,11.816126,0,0,0,0,1
644160000,644160000,1310988,-0.40940848,0.9600749,-10.070012,11.816095,0,0,0,0,1
645160000,645160000,1310988,0.44532153,0.6751649,-10.000581,11.816034,0,0,0,0,1
646160000,646160000,1310988,0.7781156,0.023942016,-10.0269165,11.815943,0,0,0,0,1
647160000,647160000,1310988,0.260968,0.7613561,-9.749189,11.815882,0,0,0,0,1
648160000,648160000,1310988,-0.21068975,0.7469909,-10.010158,11.816217,0,0,0,0,1
649160000,649160000,1310988,-0.28491,0.37828386,-9.785102,11.816278,0,0,0,0,1
650160000,650160000,1310988,0.076614454,0.5243302,-9.801862,11.8163395,0,0,0,0,1
651160000,651160000,1310988,0.1604115,0.16998832,-9.868899,11.8163395,0,0,0,0,1
652160000,652160000,1310988,0.1436521,-0.08619126,-9.722853,11.816309,0,0,0,0,1
653160000,653160000,1310988,0.050278235,0.031124622,-9.694122,11.816278,0,0,0,0,1
654160000,654160000,1310988,0.021547815,-0.047884032,-9.866506,11.816217,0,0,0,0,1
655160000,655160000,1310988,-0.055066638,0.04309563,-9.722853,11.816156,0,0,0,0,1
656160000,656160000,1310988,-0.088585466,0.06464344,-9.770737,11.816126,0,0,0,0,1
657160000,657160000,1310988,-0.031124622,0.12210429,-9.835381,11.816065,0,0,0,0,1
658160000,658160000,1310988,0.110133275,-0.04309563,-9.830592,11.816034,0,0,0,0,1
659160000,659160000,1310988,0.021547815,-0.01436521,-8.971074,11.816095,0,0,0,0,1
660160000,660160000,1310988,0.545878,0.076614454,-9.229648,11.818201,0,0,0,0,1
661160000,661160000,1310988,0.34237084,-0.18195933,-9.885659,11.822901,0,0,0,0,1
662160000,662160000,1310988,-0.14604631,-0.23463176,-9.840169,11.827448,0,0,0,0,1
663160000,663160000,1310988,-0.260968,-0.10295067,-9.737218,11.832056,0,0,0,0,1
664160000,664160000,1310988,-0.055066638,-0.11252748,-9.763555,11.832727,0,0,0,0,1
665160000,665160000,1310988,-0.04070143,0.05267244,-9.701305,11.832727,0,0,0,0,1
666160000,666160000,1310988,0.076614454,0.021547815,-9.9550905,11.832727,0,0,0,0,1
667160000,667160000,1310988,0.02633622,0.021547815,-9.864111,11.832727,0,0,0,0,1
