timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
625256000,625104000,1.7959164,0.0199608,1.8157313,1.6805434,1.8155024,1.8155665,1.8155968,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625264000,625112000,1.7959164,0.0199608,1.8158236,1.6806355,1.8155946,1.8156588,1.8156888,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625272000,625120000,1.7959164,0.0199608,1.8157645,1.6805764,1.8155357,1.8155998,1.8156301,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625280000,625128000,1.7959164,0.0199608,1.8157161,1.6805282,1.815487,1.8155512,1.8155814,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625288000,625136000,1.7959164,0.0199608,1.815693,1.6805053,1.8154641,1.8155283,1.8155586,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625296000,625144000,1.7959164,0.0199608,1.8157179,1.6805302,1.815489,1.8155532,1.8155835,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625304000,625152000,1.7959164,0.0199608,1.8158327,1.6806445,1.8156035,1.8156675,1.815698,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625312000,625160000,1.7959164,0.0199608,1.8158268,1.6806388,1.8155978,1.8156619,1.8156923,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625320000,625168000,1.7959164,0.0199608,1.8158393,1.6806511,1.8156099,1.8156741,1.8157046,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625328000,625176000,1.7959164,0.0199608,1.8156968,1.6805089,1.8154678,1.815532,1.8155624,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625336000,625184000,1.7959164,0.0199608,1.8155696,1.6803813,1.8153408,1.8154049,1.8154348,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625344000,625192000,1.7959164,0.0199608,1.8154391,1.6802509,1.8152097,1.8152742,1.8153044,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625352000,625200000,1.7959164,0.0199608,1.8153384,1.6801502,1.8151091,1.8151733,1.8152037,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625360000,625208000,1.7959164,0.0199608,1.8152833,1.6800952,1.8150543,1.8151186,1.8151488,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625368000,625216000,1.7959164,0.0199608,1.8152628,1.6800745,1.8150336,1.8150977,1.8151281,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625376000,625224000,1.7959164,0.0199608,1.8153291,1.6801411,1.8151002,1.8151643,1.8151947,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625384000,625232000,1.7959164,0.0199608,1.815363,1.6801747,1.815134,1.8151982,1.8152286,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625392000,625240000,1.7959164,0.0199608,1.8153614,1.680173,1.8151321,1.8151963,1.8152267,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625400000,625248000,1.7959164,0.0199608,1.8153659,1.6801778,1.8151369,1.8152014,1.8152314,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625408000,625256000,1.7959164,0.0199608,1.8153528,1.6801645,1.8151238,1.815188,1.8152183,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625416000,625264000,1.7959164,0.0199608,1.8154566,1.6802684,1.8152276,1.8152918,1.8153218,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625424000,625272000,1.7959164,0.0199608,1.8154402,1.6802521,1.8152113,1.8152754,1.8153057,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
625432000,625280000,1.7959164,0.0199608,1.8153908,1.6802028,1.8151616,1.8152261,1.8152562,-0.010696255,-0.010626758,-0.010696168,-0.010696199,-0.0106962,-0.016950728,-0.01669601,-0.016950296,-0.016950414,-0.016950475,0.0634666,0.14898431,0.041924074,0.61924183,0.12638324,1
