timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
2408000,0.0,0.99999994,-0.0,0.0,-0.00032964154,0.0,0.0,-0.001
2416000,0.0,0.99999994,-0.0,0.0,-0.00037129992,0.0,0.0,-0.001
2456000,0.0,0.99999994,-0.0,0.0,-0.00034420448,0.0,0.0,-0.001
2512000,0.0,1.0,-0.0,0.0,-0.00022512149,0.0,0.0,-0.001
2560000,0.0,1.0,-0.0,0.0,-8.424419e-05,0.0,0.0,-0.001
2608000,0.0,1.0,-0.0,0.0,-6.876943e-05,0.0,0.0,-0.001
2656000,0.0,1.0,-0.0,0.0,-0.00014617483,0.0,0.0,-0.001
2712000,0.0,1.0,0.0,0.0,0.000115433875,0.0,0.0,-0.001
2760000,0.0,1.0,0.0,0.0,0.00013779527,0.0,0.0,-0.001
2808000,0.0,1.0,0.0,0.0,0.00010420237,0.0,0.0,-0.001
2856000,0.0,1.0,0.0,0.0,0.00010316668,0.0,0.0,-0.001
2912000,0.0,1.0,0.0,0.0,3.1529853e-05,0.0,0.0,-0.001
2960000,0.0,1.0,-0.0,0.0,-1.19281e-07,0.0,0.0,-0.001
3008000,0.0,1.0,-0.0,0.0,-0.00012218262,0.0,0.0,-0.001
3064000,0.0,0.70209235,0.0,0.0,0.71208596,0.0,0.0,-0.001
3104000,0.0,0.7020751,0.0,0.0,0.7121029,0.0,0.0,-0.001
3160000,0.0,0.7016912,0.0,0.0,0.7124812,0.0,0.0,-0.001
3208000,0.0,0.7010751,0.0,0.0,0.71308756,0.0,0.0,-0.001
3256000,0.0,0.70069623,0.0,0.0,0.71345973,0.0,0.0,-0.001
3312000,0.0,0.700512,0.0,0.0,0.7136407,0.0,0.0,-0.001
3360000,0.0,0.7004899,0.0,0.0,0.7136623,0.0,0.0,-0.001
3408000,0.0,0.700601,0.0,0.0,0.7135533,0.0,0.0,-0.001
3456000,0.0,0.70083636,0.0,0.0,0.7133221,0.0,0.0,-0.001
3504000,0.0,0.7011618,0.0,0.0,0.7130022,0.0,0.0,-0.001
3560000,0.0,0.7015263,0.0,0.0,0.7126436,0.0,0.0,-0.001
3608000,0.0,0.7017095,0.0,0.0,0.7124632,0.0,0.0,-0.001
3664000,0.0,0.7018268,0.0,0.0,0.7123476,0.0,0.0,-0.001
3712000,0.0,0.70185614,0.0,0.0,0.7123188,0.0,0.0,-0.001
3760000,0.0,0.70193857,0.0,0.0,0.7122376,0.0,0.0,-0.001
3808000,0.0,0.70189923,0.0,0.0,0.71227634,0.0,0.0,-0.001
3864000,0.0,0.70189995,0.0,0.0,0.7122755,0.0,0.0,-0.001
3912000,0.0,0.7018148,0.0,0.0,0.7123595,0.0,0.0,-0.001
3960000,0.0,0.701827,0.0,0.0,0.71234745,0.0,0.0,-0.001
4008000,0.0,0.7017121,0.0,0.0,0.71246064,0.0,0.0,-0.001
4064000,0.0,0.7017432,0.0,0.0,0.71243,0.0,0.0,-0.001
4112000,0.0,0.70183235,0.0,0.0,0.71234214,0.0,0.0,-0.001
4160000,0.0,0.70185065,0.0,0.0,0.71232414,0.0,0.0,-0.001
4208000,0.0,0.70185834,0.0,0.0,0.7123166,0.0,0.0,-0.001
4264000,0.0,0.70185536,0.0,0.0,0.7123195,0.0,0.0,-0.001
4312000,0.0,0.7018609,0.0,0.0,0.712314,0.0,0.0,-0.001
4360000,0.0,0.7017854,0.0,0.0,0.7123884,0.0,0.0,-0.001
4408000,0.0,0.7016866,0.0,0.0,0.7124858,0.0,0.0,-0.001
4464000,0.0,0.70165634,0.0,0.0,0.71251553,0.0,0.0,-0.001
4512000,0.0,0.70176077,0.0,0.0,0.7124128,0.0,0.0,-0.001
4560000,0.0,0.70180506,0.0,0.0,0.712369,0.0,0.0,-0.001
4608000,0.0,0.7018527,0.0,0.0,0.7123221,0.0,0.0,-0.001
4664000,0.0,0.7019476,0.0,0.0,0.7122286,0.0,0.0,-0.001
4712000,0.0,0.7020912,0.0,0.0,0.71208704,0.0,0.0,-0.001
4760000,0.0,0.7020673,0.0,0.0,0.7121106,0.0,0.0,-0.001
4808000,0.0,0.7020109,0.0,0.0,0.7121662,0.0,0.0,-0.001
4864000,0.0,0.701994,0.0,0.0,0.71218294,0.0,0.0,-0.001
4912000,0.0,0.70204085,0.0,0.0,0.7121367,0.0,0.0,-0.001
4960000,0.0,0.70221007,0.0,0.0,0.7119698,0.0,0.0,-0.001
5008000,0.0,0.7023828,0.0,0.0,0.71179944,0.0,0.0,-0.001
5056000,0.0,0.7023801,0.0,0.0,0.71180207,0.0,0.0,-0.001
5112000,0.0,0.7023381,0.0,0.0,0.71184355,0.0,0.0,-0.001
5160000,0.0,0.7024337,0.0,0.0,0.7117492,0.0,0.0,-0.001
5208000,0.0,0.70243365,0.0,0.0,0.71174926,0.0,0.0,-0.001
5256000,0.0,0.70243484,0.0,0.0,0.71174806,0.0,0.0,-0.001
5312000,0.0,0.702416,0.0,0.0,0.71176666,0.0,0.0,-0.001
5360000,0.0,0.70237416,0.0,0.0,0.7118079,0.0,0.0,-0.001
5408000,0.0,0.70233697,0.0,0.0,0.7118447,0.0,0.0,-0.001
